dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
concrete,3,8,,9.276911181696628,0.7015883647269132,,777,124,2582264110,100,5.0,0.25,10,tt_type1
concrete,3,8,,9.338834549207391,0.6975912744264032,,777,124,1011906602,100,5.0,0.25,10,tt_type1
concrete,3,8,,9.250470068144374,0.7032870101565054,,777,124,1729841207,100,5.0,0.25,10,tt_type1
concrete,3,8,,9.295155799106904,0.7004134564663796,,777,124,3653141251,100,5.0,0.25,10,tt_type1
concrete,3,8,,9.3482602483459,0.6969805232427528,,777,124,826749499,100,5.0,0.25,10,tt_type1
concrete,3,8,,9.290828861824611,0.7006923093436301,,777,124,1399498030,100,5.0,0.25,10,tt_type1
concrete,3,8,,9.264125240616956,0.702410372001816,,777,124,358916519,100,5.0,0.25,10,tt_type1
concrete,3,8,,9.276441389207678,0.7016185877165263,,777,124,328531638,100,5.0,0.25,10,tt_type1
concrete,3,8,,9.266221829439132,0.7022756601596729,,777,126,787755760,100,5.0,0.25,10,tt_type1
concrete,3,8,,9.343283713735053,0.6973030614447975,,777,124,4192420569,100,5.0,0.25,10,tt_type1
concrete,3,12,,9.339031856808992,0.6975784959216875,,1545,124,2582264110,100,5.0,0.25,10,tt_type1
concrete,3,12,,9.461051072021887,0.6896242878436822,,1545,116,1011906602,100,5.0,0.25,10,tt_type1
concrete,3,12,,9.391098361748636,0.6941970053730039,,1545,124,1729841207,100,5.0,0.25,10,tt_type1
concrete,3,12,,9.475588564582882,0.6886697319235578,,1545,116,3653141251,100,5.0,0.25,10,tt_type1
concrete,3,12,,9.345083019383805,0.697186465016562,,1545,124,826749499,100,5.0,0.25,10,tt_type1
concrete,3,12,,9.391116012608325,0.6941958558395595,,1545,116,1399498030,100,5.0,0.25,10,tt_type1
concrete,3,12,,9.355809166143366,0.6964909363784343,,1545,124,358916519,100,5.0,0.25,10,tt_type1
concrete,3,12,,9.343895815010296,0.6972633993180999,,1545,124,328531638,100,5.0,0.25,10,tt_type1
concrete,3,12,,9.438342575913394,0.6911124326732985,,1545,124,787755760,100,5.0,0.25,10,tt_type1
concrete,3,12,,9.336917964978142,0.6977153867697852,,1545,124,4192420569,100,5.0,0.25,10,tt_type1
concrete,3,16,,9.460720502609275,0.6896459765384455,,2569,116,2582264110,100,5.0,0.25,10,tt_type1
concrete,3,16,,9.51652555357522,0.6859738667853195,,2569,116,1011906602,100,5.0,0.25,10,tt_type1
concrete,3,16,,9.473885191528701,0.6887816540317031,,2569,116,1729841207,100,5.0,0.25,10,tt_type1
concrete,3,16,,9.45766758600212,0.6898462429089115,,2569,116,3653141251,100,5.0,0.25,10,tt_type1
concrete,3,16,,9.586043578736353,0.6813692004919139,,2569,116,826749499,100,5.0,0.25,10,tt_type1
concrete,3,16,,9.505080705292817,0.6867287263857527,,2569,116,1399498030,100,5.0,0.25,10,tt_type1
concrete,3,16,,9.583607041827943,0.6815311561582955,,2569,116,358916519,100,5.0,0.25,10,tt_type1
concrete,3,16,,9.483155020857515,0.6881723259061873,,2569,116,328531638,100,5.0,0.25,10,tt_type1
concrete,3,16,,9.521759115652577,0.6856283778433668,,2569,116,787755760,100,5.0,0.25,10,tt_type1
