dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
energy_efficiency,2,4,,1.18340307651861,0.9862990586695854,,73,53,2582264110,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,4,,1.128488020780054,0.9875411222280173,,73,53,1011906602,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,4,,1.1838172802062144,0.9862894660401811,,73,54,1729841207,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,4,,1.148362948356501,0.9870984062683938,,73,55,3653141251,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,4,,1.2081516702496327,0.9857200089280272,,73,53,826749499,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,4,,1.1112158313192377,0.9879195848630227,,73,55,1399498030,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,4,,1.1519538703544205,0.9870175937492902,,73,54,358916519,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,4,,1.1312107515979402,0.9874809300199152,,73,55,328531638,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,4,,1.1766594871817695,0.9864547626266535,,73,53,787755760,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,4,,1.18322146781945,0.986303263524647,,73,54,4192420569,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,8,,1.0671865792340576,0.9888579339501052,,137,53,2582264110,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,8,,1.0671229842083791,0.9888592618507324,,137,53,1011906602,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,8,,1.0675326954592674,0.9888507054573739,,137,37,1729841207,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,8,,1.0654436444938484,0.988894298792087,,137,53,3653141251,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,8,,1.0670114853366581,0.9888615898201554,,137,53,826749499,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,8,,1.0549249356017671,0.9891125008362703,,137,40,1399498030,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,8,,1.0679647356386721,0.9888416791896721,,137,42,358916519,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,8,,1.0676012663024472,0.9888492731057756,,137,53,328531638,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,8,,1.067228141300127,0.9888570660675589,,137,53,787755760,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,8,,1.067309333076424,0.9888553705556468,,137,53,4192420569,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,12,,1.0701970911390353,0.9887949821932852,,201,53,2582264110,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,12,,1.0700840766440924,0.9887973486033148,,201,51,1011906602,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,12,,1.0700760263985383,0.9887975171578375,,201,53,1729841207,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,12,,1.0691903343872904,0.9888160538658132,,201,53,3653141251,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,12,,1.0695902205136607,0.9888076865226134,,201,53,826749499,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,12,,1.069471249989817,0.9888101762262727,,201,53,1399498030,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,12,,1.069891527394865,0.9888013798156161,,201,53,358916519,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,12,,1.0701299798512067,0.9887963874663946,,201,53,328531638,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,12,,1.0705296564401459,0.9887880171601267,,201,38,787755760,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,12,,1.0698466445109105,0.9888023193797019,,201,53,4192420569,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,16,,1.0713683081588805,0.9887704433698965,,265,51,2582264110,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,16,,1.071412798655199,0.9887695106954507,,265,51,1011906602,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,16,,1.0713505270659422,0.9887708161121768,,265,51,1729841207,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,16,,1.0727109200647786,0.9887422805367531,,265,38,3653141251,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,16,,1.0721296149013824,0.988754478412578,,265,51,826749499,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,16,,1.0720653245394225,0.9887558270498444,,265,51,1399498030,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,16,,1.0712191697020483,0.9887735695444672,,265,53,358916519,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,16,,1.07169239855226,0.9887636484295226,,265,51,328531638,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,16,,1.0709727948945602,0.9887787329912165,,265,43,787755760,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,16,,1.0708730504098085,0.9887808230674175,,265,53,4192420569,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,64,,1.0814255193379791,0.9885586243141822,,1033,51,2582264110,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,64,,1.0811573127853806,0.9885642988083447,,1033,51,1011906602,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,64,,1.0812786392265048,0.9885617320574006,,1033,51,1729841207,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,64,,1.0815278485725663,0.9885564589452536,,1033,50,3653141251,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,64,,1.0783296983983999,0.988624037512478,,1033,51,826749499,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,64,,1.080199472319115,0.9885845525218905,,1033,49,1399498030,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,64,,1.0805860604757151,0.9885763802044633,,1033,51,358916519,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,64,,1.0782553128495391,0.9886256069360561,,1033,50,328531638,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,64,,1.0819628452724557,0.9885472517784277,,1033,50,787755760,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,64,,1.0798190533123877,0.9885925915713731,,1033,51,4192420569,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,144,,1.092688562026869,0.9883190594747211,,2313,49,2582264110,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,144,,1.0912575193923013,0.9883496353926098,,2313,51,1011906602,100,5.0,0.25,10,cpd_type1
energy_efficiency,2,144,,1.0918674193597793,0.9883366090583043,,2313,50,1729841207,100,5.0,0.25,10,cpd_type1
