dataset,num_channels,num_layers,val_rmse,val_r2,val_accuracy,num_params,seed,model_type,early_stopping
energy_efficiency,16,1,20.492090673889123,-3.1082565506568365,,193,42,mlp,10
energy_efficiency,16,1,20.52654925118106,-3.122084685866085,,193,43,mlp,10
energy_efficiency,16,1,20.363252211539038,-3.056759849256755,,193,44,mlp,10
energy_efficiency,16,1,20.070610323590344,-2.940997658019891,,193,45,mlp,10
energy_efficiency,16,1,20.2117048299001,-2.9966021075648803,,193,46,mlp,10
energy_efficiency,64,1,9.51379474205989,0.11449182814925252,,769,42,mlp,10
energy_efficiency,64,1,10.033348701411585,0.015134712039452158,,769,43,mlp,10
energy_efficiency,64,1,9.811427563224598,0.058220088969219264,,769,44,mlp,10
energy_efficiency,64,1,9.746488666602003,0.07064554982487914,,769,45,mlp,10
energy_efficiency,64,1,9.60335869939812,0.0977407980486017,,769,46,mlp,10
energy_efficiency,256,1,3.3167264062786033,0.892377192883212,,3073,42,mlp,10
energy_efficiency,256,1,3.3218435030576665,0.8920448524493227,,3073,43,mlp,10
energy_efficiency,256,1,3.2961147141103813,0.8937106736462158,,3073,44,mlp,10
energy_efficiency,256,1,3.322330041744222,0.8920132265150027,,3073,45,mlp,10
energy_efficiency,256,1,3.4584892007179686,0.8829806001434776,,3073,46,mlp,10
energy_efficiency,16,3,20.94296493829275,-3.291028015051465,,801,42,mlp,10
energy_efficiency,16,3,20.00110355579244,-2.9137486918450035,,801,43,mlp,10
energy_efficiency,16,3,20.257410043271847,-3.0146977691259833,,801,44,mlp,10
energy_efficiency,16,3,19.83614508784257,-2.8494578712023597,,801,45,mlp,10
energy_efficiency,16,3,19.668989676752144,-2.784853931032329,,801,46,mlp,10
energy_efficiency,64,3,11.55990538936862,-0.3073551378268853,,9345,42,mlp,10
energy_efficiency,64,3,11.758999067614425,-0.35277550408139735,,9345,43,mlp,10
energy_efficiency,64,3,11.702690747095163,-0.3398509109175527,,9345,44,mlp,10
energy_efficiency,64,3,12.192261315610862,-0.4542984565980135,,9345,45,mlp,10
energy_efficiency,64,3,12.01416384440844,-0.41212167579760695,,9345,46,mlp,10
energy_efficiency,256,3,3.2786157183748825,0.8948362529399287,,135681,42,mlp,10
energy_efficiency,256,3,3.366527826458997,0.8891209654682668,,135681,43,mlp,10
energy_efficiency,256,3,3.268687861372281,0.8954721737103564,,135681,44,mlp,10
energy_efficiency,256,3,3.2847945005220405,0.8944395024693231,,135681,45,mlp,10
energy_efficiency,256,3,3.4007621404608175,0.8868544356651847,,135681,46,mlp,10
energy_efficiency,16,5,20.292336352174058,-3.028553385546328,,1409,42,mlp,10
energy_efficiency,16,5,20.52419614913384,-3.1211396531844597,,1409,43,mlp,10
energy_efficiency,16,5,19.530822589899362,-2.7318664094231444,,1409,44,mlp,10
energy_efficiency,16,5,20.23458729778236,-3.0056566517915577,,1409,45,mlp,10
energy_efficiency,16,5,20.778411803387115,-3.2238619647842786,,1409,46,mlp,10
energy_efficiency,64,5,12.217199231439555,-0.46025375263317847,,17921,42,mlp,10
energy_efficiency,64,5,12.792469503745306,-0.6010090958035588,,17921,43,mlp,10
energy_efficiency,64,5,12.57785544755258,-0.5477407498961815,,17921,44,mlp,10
energy_efficiency,64,5,11.905147606344709,-0.3866108284694969,,17921,45,mlp,10
energy_efficiency,64,5,12.942818843564599,-0.638863427449258,,17921,46,mlp,10
energy_efficiency,256,5,3.4184304713975995,0.8856757079330833,,268289,42,mlp,10
energy_efficiency,256,5,3.329588760212787,0.8915408460705889,,268289,43,mlp,10
energy_efficiency,256,5,3.5197110310809654,0.8788009998096832,,268289,44,mlp,10
energy_efficiency,256,5,3.1901475847233565,0.9004350296104767,,268289,45,mlp,10
energy_efficiency,256,5,3.33154519953645,0.8914133491869145,,268289,46,mlp,10
