dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
energy_efficiency,1,4,,1.1714500828698948,0.9865744343216724,,168,81,2582264110,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,4,,0.9606041347533628,0.9909723664484329,,168,127,1011906602,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,4,,0.9746205764669472,0.9907069949999365,,168,125,1729841207,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,4,,0.9695958038801814,0.9908025703786372,,168,124,3653141251,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,4,,0.9619718702196459,0.9909466405444148,,168,125,826749499,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,4,,0.9626808395462844,0.9909332910493207,,168,127,1399498030,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,4,,1.1733838896536957,0.9865300724158323,,168,81,358916519,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,4,,0.969937476383616,0.990796087135867,,168,124,328531638,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,4,,0.959460463485615,0.9909938498016753,,168,127,787755760,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,4,,0.9689196909378167,0.990815392903351,,168,124,4192420569,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,8,,1.1259311364603417,0.9875975159507502,,424,96,2582264110,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,8,,1.125892955328139,0.9875983570907431,,424,96,1011906602,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,8,,1.1259597062441167,0.9875968865325351,,424,96,1729841207,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,8,,1.1262036659135286,0.9875915112295857,,424,96,3653141251,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,8,,1.126206817306182,0.9875914417855299,,424,96,826749499,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,8,,1.1258891665157933,0.987598440557681,,424,96,1399498030,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,8,,1.1259748747891858,0.9875965523492569,,424,96,358916519,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,8,,1.1260063812074184,0.987595858206456,,424,96,328531638,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,8,,1.1259810151354555,0.9875964170679591,,424,96,787755760,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,8,,1.1259034392649394,0.9875981261298062,,424,96,4192420569,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,12,,1.1325245333406837,0.9874518339801756,,552,96,2582264110,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,12,,1.132518860277023,0.9874519596928895,,552,96,1011906602,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,12,,1.1325140096876816,0.9874520671794177,,552,96,1729841207,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,12,,1.132535019971349,0.9874516015991754,,552,96,3653141251,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,12,,1.132518875172486,0.987451959362813,,552,96,826749499,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,12,,1.1325275700881599,0.987451766686865,,552,96,1399498030,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,12,,1.1325310067864787,0.9874516905305595,,552,96,358916519,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,12,,1.132523159011502,0.9874518644347922,,552,96,328531638,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,12,,1.132519788440421,0.9874519391252206,,552,96,787755760,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,12,,1.132526397794942,0.9874517926645128,,552,96,4192420569,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,16,,1.1312572508342387,0.9874799007879055,,680,96,2582264110,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,16,,1.1312540956995272,0.9874799706262106,,680,96,1011906602,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,16,,1.1312552350673117,0.9874799454065445,,680,96,1729841207,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,16,,1.1312572624157395,0.9874799005315509,,680,96,3653141251,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,16,,1.1312527831161991,0.9874799996799349,,680,96,826749499,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,16,,1.1312564225636856,0.9874799191215351,,680,96,1399498030,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,16,,1.1312565960592087,0.9874799152812419,,680,96,358916519,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,16,,1.131255922302836,0.9874799301947185,,680,96,328531638,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,16,,1.1312569549051201,0.9874799073382484,,680,96,787755760,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,1,16,,1.1312538512786021,0.987479976036413,,680,96,4192420569,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,2,4,,0.5856068198477262,0.996644963338533,,282,75,2582264110,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,2,4,,0.5544071756584038,0.9969929357740681,,282,82,1011906602,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,2,4,,0.5174401240607825,0.9973805794921933,,282,114,1729841207,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,2,4,,0.5137206567054544,0.9974181020259256,,282,100,3653141251,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,2,4,,0.573873976484302,0.9967780553079428,,282,81,826749499,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,2,4,,0.5096788531632435,0.9974585694372244,,282,100,1399498030,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,2,4,,0.5156576383170625,0.9973985952487465,,282,114,358916519,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,2,4,,0.5235571393407755,0.997318281482523,,282,100,328531638,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,2,4,,0.5557154868684211,0.9969787266583925,,282,82,787755760,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,2,4,,0.5223918759707024,0.9973302054183131,,282,100,4192420569,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,2,8,,0.80146228553408,0.9937157826165294,,930,117,2582264110,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,2,8,,0.9490111558643183,0.9911889502374196,,930,79,1011906602,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,2,8,,0.7867557061195338,0.9939442934543208,,930,104,1729841207,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,2,8,,0.9861124376795415,0.9904865532487441,,930,71,3653141251,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,2,8,,0.7982730354319855,0.9937656965424988,,930,104,826749499,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,2,8,,0.9557457730678086,0.9910634520376281,,930,79,1399498030,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,2,8,,0.9068654117230711,0.991954172917358,,930,79,358916519,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,2,8,,0.9129230850908456,0.9918463249941666,,930,79,328531638,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,2,8,,0.7336708750488363,0.9947339184943877,,930,104,787755760,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,2,8,,0.8107116388911666,0.9935698984083591,,930,114,4192420569,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,2,12,,0.9020201980975324,0.9920399179662547,,1692,79,2582264110,100,5.0,0.25,10,tnml_polynomial
energy_efficiency,2,12,,0.9020673397255091,0.9920390859205146,,1692,79,1011906602,100,5.0,0.25,10,tnml_polynomial
