dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
energy_efficiency,,4,,26.10728225231805,-5.668195860053329,,168,12,2582264110,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,4,,26.094462520567664,-5.661648760038134,,168,11,1011906602,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,4,,26.099964693487095,-5.6644583528922805,,168,11,1729841207,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,4,,26.096934133307215,-5.662910774589661,,168,11,3653141251,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,4,,26.106933291836494,-5.66801760164523,,168,11,826749499,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,4,,26.108981786649355,-5.669064062002136,,168,11,1399498030,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,4,,26.11510251766199,-5.672191287125528,,168,11,358916519,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,4,,26.111692677477855,-5.670449029315161,,168,11,328531638,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,4,,26.120551059708635,-5.6749756918267895,,168,11,787755760,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,4,,26.09594621165002,-5.66240632381941,,168,11,4192420569,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,8,,26.110265987678527,-5.669720129682413,,424,11,2582264110,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,8,,26.09189634237096,-5.660338586493643,,424,11,1011906602,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,8,,26.09840453613814,-5.663661624388358,,424,11,1729841207,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,8,,26.12697313865049,-5.678258355386467,,424,11,3653141251,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,8,,26.102663462946328,-5.665836651043677,,424,11,826749499,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,8,,26.098113379649785,-5.663512944227233,,424,12,1399498030,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,8,,26.111522915318805,-5.670362295286695,,424,11,358916519,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,8,,26.10544305016055,-5.667256372893999,,424,12,328531638,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,8,,26.091693830422717,-5.660235198614812,,424,11,787755760,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,8,,26.1123571126123,-5.670788504594796,,424,11,4192420569,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,12,,26.09750004825981,-5.66319974966231,,552,11,2582264110,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,12,,26.10238460365387,-5.665694227220477,,552,11,1011906602,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,12,,26.111140776638983,-5.670167056977727,,552,11,1729841207,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,12,,26.112444878884993,-5.6708333470595615,,552,11,3653141251,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,12,,26.108973216974903,-5.669059684068214,,552,11,826749499,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,12,,26.096722618586583,-5.662802769718843,,552,11,1399498030,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,12,,26.10111727765539,-5.665046975818298,,552,11,358916519,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,12,,26.102071450812733,-5.6655342902188695,,552,12,328531638,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,12,,26.113887383678954,-5.671570388337507,,552,11,787755760,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,12,,26.10685022637293,-5.667975169921382,,552,11,4192420569,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,16,,26.102614428006333,-5.665811606963892,,680,11,2582264110,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,16,,26.118794713432163,-5.674078071058482,,680,11,1011906602,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,16,,26.109577546125145,-5.669368417298118,,680,11,1729841207,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,16,,26.10965996621961,-5.669410523750556,,680,11,3653141251,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,16,,26.100985804901573,-5.66497983157585,,680,11,826749499,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,16,,26.09907211232526,-5.664002530952809,,680,12,1399498030,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,16,,26.111738227042153,-5.670472301365406,,680,11,358916519,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,16,,26.112001703255313,-5.6706069166586195,,680,11,328531638,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,16,,26.102320678056433,-5.665661578252154,,680,11,787755760,100,5.0,0.25,10,tnml_sin-cos
energy_efficiency,,16,,26.105756672131356,-5.667416570186173,,680,11,4192420569,100,5.0,0.25,10,tnml_sin-cos
