dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
energy_efficiency,3,8,,0.49849651296205866,0.9975688639231878,,720,33,2582264110,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,8,,0.4926151999291682,0.9976258911066546,,720,33,1011906602,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,8,,0.5017869713915786,0.9975366632815728,,720,34,1729841207,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,8,,0.48285606730865904,0.9977190256351268,,720,33,3653141251,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,8,,0.4841803961642957,0.9977064964244857,,720,33,826749499,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,8,,0.4804746715030021,0.9977414692093632,,720,33,1399498030,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,8,,0.48803268717358256,0.9976698555722072,,720,33,358916519,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,8,,0.49985207105933027,0.997555624003202,,720,33,328531638,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,8,,0.4897014636356837,0.9976538929597905,,720,35,787755760,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,8,,0.49955422014291606,0.997558536235662,,720,34,4192420569,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,12,,0.5040643069923783,0.9975142530767318,,1512,32,2582264110,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,12,,0.4906863178641208,0.9976444468092492,,1512,33,1011906602,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,12,,0.49265164408149525,0.9976255398158838,,1512,33,1729841207,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,12,,0.4909379970782355,0.997642029803546,,1512,33,3653141251,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,12,,0.5017842705878052,0.9975366897986869,,1512,33,826749499,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,12,,0.5014862262969793,0.9975396151893232,,1512,33,1399498030,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,12,,0.49603645150997794,0.9975927998449807,,1512,32,358916519,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,12,,0.49397889174363246,0.9976127285648776,,1512,30,328531638,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,12,,0.49781859024080005,0.9975754717997634,,1512,33,787755760,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,12,,0.4915361608261199,0.9976362803543158,,1512,33,4192420569,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,16,,0.492523118159005,0.9976267785811682,,2592,31,2582264110,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,16,,0.49778127503347197,0.9975758352589972,,2592,33,1011906602,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,16,,0.5092049852710573,0.9974632929704592,,2592,33,1729841207,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,16,,0.5016506696954808,0.9975380013448971,,2592,31,3653141251,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,16,,0.5013806370621067,0.9975406511611457,,2592,30,826749499,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,16,,0.5002874350084974,0.9975513641163382,,2592,30,1399498030,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,16,,0.5033138408708442,0.9975216492765565,,2592,30,358916519,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,16,,0.49135628230131656,0.9976380100525096,,2592,30,328531638,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,16,,0.5014337907569388,0.9975401296794716,,2592,30,787755760,100,5.0,0.25,10,tt_cumsum
energy_efficiency,3,16,,0.5043863412797276,0.9975110758970094,,2592,30,4192420569,100,5.0,0.25,10,tt_cumsum
energy_efficiency,4,8,,0.4609758230978872,0.9979210630629965,,1296,55,2582264110,100,5.0,0.25,10,tt_cumsum
energy_efficiency,4,8,,0.4579446126401273,0.9979483138481083,,1296,66,1011906602,100,5.0,0.25,10,tt_cumsum
energy_efficiency,4,8,,0.4566463455883219,0.9979599303657861,,1296,51,1729841207,100,5.0,0.25,10,tt_cumsum
energy_efficiency,4,8,,0.4609906575448982,0.9979209292582524,,1296,47,3653141251,100,5.0,0.25,10,tt_cumsum
energy_efficiency,4,8,,0.45675167952688817,0.997958989097535,,1296,46,826749499,100,5.0,0.25,10,tt_cumsum
energy_efficiency,4,8,,0.45167306546105374,0.9980041246939416,,1296,47,1399498030,100,5.0,0.25,10,tt_cumsum
energy_efficiency,4,8,,0.46743833259680606,0.9978623644327853,,1296,55,358916519,100,5.0,0.25,10,tt_cumsum
energy_efficiency,4,8,,0.46628297508919614,0.9978729184714045,,1296,58,328531638,100,5.0,0.25,10,tt_cumsum
energy_efficiency,4,8,,0.46686215850664137,0.9978676309719778,,1296,47,787755760,100,5.0,0.25,10,tt_cumsum
