dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
energy_efficiency,3,8,,0.4973882609806976,0.9975796616572635,,777,67,2582264110,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,8,,0.5037330797831224,0.9975175188366314,,777,65,1011906602,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,8,,0.49684921040958363,0.9975849049566505,,777,65,1729841207,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,8,,0.5021160968387135,0.9975334307835915,,777,65,3653141251,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,8,,0.49024759439179844,0.9976486571344155,,777,65,826749499,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,8,,0.5047178498316871,0.9975078031249034,,777,104,1399498030,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,8,,0.4981708681801381,0.9975720391838796,,777,64,358916519,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,8,,0.5041397428592027,0.9975135090109349,,777,74,328531638,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,8,,0.4950398241805078,0.9976024631322633,,777,65,787755760,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,8,,0.5037406127372996,0.9975174445887512,,777,66,4192420569,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,12,,0.5020240859995934,0.9975343346793671,,1545,74,2582264110,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,12,,0.5013875483466705,0.9975405833588591,,1545,65,1011906602,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,12,,0.5040347707582546,0.997514544378659,,1545,74,1729841207,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,12,,0.5104791313449212,0.9974505822580243,,1545,64,3653141251,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,12,,0.5044331872580008,0.9975106135470627,,1545,104,826749499,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,12,,0.5027894438313956,0.9975268109178093,,1545,84,1399498030,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,12,,0.5021920670455597,0.9975326843428759,,1545,74,358916519,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,12,,0.5054879245747727,0.9975001923698466,,1545,104,328531638,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,12,,0.5018594040862276,0.9975359520674346,,1545,74,787755760,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,12,,0.500693070189819,0.9975473917778065,,1545,74,4192420569,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,16,,0.503026766856029,0.9975244756132663,,2569,74,2582264110,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,16,,0.5007236344723778,0.9975470923348816,,2569,74,1011906602,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,16,,0.5025458876814349,0.9975292064116833,,2569,84,1729841207,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,16,,0.4989529799499143,0.997564409563257,,2569,74,3653141251,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,16,,0.49688272966341407,0.9975845790834772,,2569,74,826749499,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,16,,0.5050307437952981,0.9975047121501319,,2569,104,1399498030,100,5.0,0.25,10,tt_cumsum_type1
energy_efficiency,3,16,,0.499385723900236,0.997560182936168,,2569,74,358916519,100,5.0,0.25,10,tt_cumsum_type1
