dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
concrete,3,4,,0.48979367236716514,0.7758052604090926,,190,209,42,100,1000.0,0.75,10,cpd_type1
concrete,3,4,,0.5015678200274106,0.7648968717933451,,190,214,43,100,1000.0,0.75,10,cpd_type1
concrete,3,4,,0.5037632050960984,0.7628342534799498,,190,224,44,100,1000.0,0.75,10,cpd_type1
concrete,3,4,,0.501581137768809,0.7648843866054744,,190,202,45,100,1000.0,0.75,10,cpd_type1
concrete,3,4,,0.5043379129215982,0.762292813544761,,190,214,46,100,1000.0,0.75,10,cpd_type1
concrete,3,8,,0.49158357262019836,0.7741636734582092,,370,192,42,100,1000.0,0.75,10,cpd_type1
concrete,3,8,,0.49899173844729683,0.7673056767456232,,370,192,43,100,1000.0,0.75,10,cpd_type1
concrete,3,8,,1.0030652419959838,0.059719475091586705,,370,13,44,100,1000.0,0.75,10,cpd_type1
concrete,3,8,,0.5012397864476508,0.7652042938337746,,370,199,45,100,1000.0,0.75,10,cpd_type1
concrete,3,8,,0.4911980955775967,0.774517715342345,,370,254,46,100,1000.0,0.75,10,cpd_type1
concrete,3,12,,0.5025661781950459,0.7639600065552693,,550,190,42,100,1000.0,0.75,10,cpd_type1
concrete,3,12,,1.0217618191933355,0.024340184421461797,,550,13,43,100,1000.0,0.75,10,cpd_type1
concrete,3,12,,1.028139176541284,0.01212295534279395,,550,13,44,100,1000.0,0.75,10,cpd_type1
concrete,3,12,,1.0072202066564364,0.051913554278966156,,550,13,45,100,1000.0,0.75,10,cpd_type1
concrete,3,12,,0.5027556246180384,0.763782018610246,,550,190,46,100,1000.0,0.75,10,cpd_type1
concrete,3,16,,0.4982444286232407,0.7680021393302331,,730,184,42,100,1000.0,0.75,10,cpd_type1
concrete,3,16,,0.5009327308562491,0.7654918737659501,,730,180,43,100,1000.0,0.75,10,cpd_type1
concrete,3,16,,0.498673424002286,0.7676024605738043,,730,184,44,100,1000.0,0.75,10,cpd_type1
concrete,3,16,,0.9993414659134249,0.0666879048631338,,730,11,45,100,1000.0,0.75,10,cpd_type1
concrete,3,16,,0.5009921744684879,0.7654362142477529,,730,189,46,100,1000.0,0.75,10,cpd_type1
concrete,3,64,,0.4982833450041866,0.7679658965979476,,2890,184,42,100,1000.0,0.75,10,cpd_type1
concrete,3,64,,0.49826874953171285,0.7679794896582139,,2890,184,43,100,1000.0,0.75,10,cpd_type1
