dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
concrete,3,4,,0.37357147754465214,0.8695793086151452,,240,81,42,100,5.0,0.75,10,tt
concrete,3,4,,0.37438835650802277,0.869008309984736,,240,95,43,100,5.0,0.75,10,tt
concrete,3,4,,0.40149867853773863,0.849350630521309,,240,60,44,100,5.0,0.75,10,tt
concrete,3,4,,0.37631224803082103,0.8676585814652601,,240,76,45,100,5.0,0.75,10,tt
concrete,3,4,,0.4055782161953885,0.8462736486418625,,240,53,46,100,5.0,0.75,10,tt
concrete,3,8,,0.3848662309179857,0.8615736743132497,,800,62,42,100,5.0,0.75,10,tt
concrete,3,8,,0.370728744911083,0.8715566572198955,,800,87,43,100,5.0,0.75,10,tt
concrete,3,8,,0.38665095915258213,0.8602868573444397,,800,60,44,100,5.0,0.75,10,tt
concrete,3,8,,0.3836118179506649,0.8624745628884785,,800,64,45,100,5.0,0.75,10,tt
concrete,3,8,,0.37118818985348434,0.8712380997177576,,800,76,46,100,5.0,0.75,10,tt
concrete,3,12,,0.40099414460427313,0.8497290126498469,,1680,49,42,100,5.0,0.75,10,tt
concrete,3,12,,0.39910503842201683,0.8511415478336666,,1680,49,43,100,5.0,0.75,10,tt
concrete,3,12,,0.36644522912919325,0.8745076588083185,,1680,87,44,100,5.0,0.75,10,tt
concrete,3,12,,0.3975614551142397,0.8522907745226576,,1680,49,45,100,5.0,0.75,10,tt
concrete,3,12,,0.3717417592782681,0.8708537566619632,,1680,83,46,100,5.0,0.75,10,tt
concrete,4,4,,0.33235443030189554,0.8967709281499705,,400,73,42,100,5.0,0.75,10,tt
concrete,4,4,,0.3105399634783331,0.9098773251608235,,400,114,43,100,5.0,0.75,10,tt
concrete,4,4,,0.32439663431554,0.9016551194347328,,400,85,44,100,5.0,0.75,10,tt
concrete,4,4,,0.31969454485132875,0.9044854510165483,,400,104,45,100,5.0,0.75,10,tt
concrete,4,4,,0.326506167777671,0.9003718979043445,,400,115,46,100,5.0,0.75,10,tt
concrete,4,8,,0.32019496767989314,0.9041861961762544,,1440,90,42,100,5.0,0.75,10,tt
concrete,4,8,,0.33358651907087966,0.8960041375193125,,1440,88,43,100,5.0,0.75,10,tt
concrete,4,8,,0.3327862401034071,0.8965025142033454,,1440,64,44,100,5.0,0.75,10,tt
concrete,4,8,,0.32204621691952395,0.9030750732135372,,1440,82,45,100,5.0,0.75,10,tt
concrete,4,8,,0.33718138650151996,0.8937506548008871,,1440,82,46,100,5.0,0.75,10,tt
concrete,4,12,,0.32854319126190384,0.8991248901909847,,3120,78,42,100,5.0,0.75,10,tt
