dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
hearth,2,4,,,,0.5111111111111111,240,10,42,100,5.0,0.25,10,cpd
hearth,2,4,,,,0.5111111111111111,240,9,43,100,5.0,0.25,10,cpd
hearth,2,4,,,,0.4666666666666667,240,9,44,100,5.0,0.25,10,cpd
hearth,2,4,,,,0.4888888888888889,240,10,45,100,5.0,0.25,10,cpd
hearth,2,4,,,,0.4888888888888889,240,10,46,100,5.0,0.25,10,cpd
hearth,2,8,,,,0.5111111111111111,480,9,42,100,5.0,0.25,10,cpd
hearth,2,8,,,,0.5111111111111111,480,10,43,100,5.0,0.25,10,cpd
hearth,2,8,,,,0.5111111111111111,480,9,44,100,5.0,0.25,10,cpd
hearth,2,8,,,,0.5555555555555556,480,9,45,100,5.0,0.25,10,cpd
hearth,2,8,,,,0.5777777777777777,480,9,46,100,5.0,0.25,10,cpd
hearth,2,12,,,,0.5555555555555556,720,10,42,100,5.0,0.25,10,cpd
hearth,2,12,,,,0.4888888888888889,720,10,43,100,5.0,0.25,10,cpd
hearth,2,12,,,,0.5111111111111111,720,9,44,100,5.0,0.25,10,cpd
hearth,2,12,,,,0.5111111111111111,720,9,45,100,5.0,0.25,10,cpd
hearth,2,12,,,,0.5111111111111111,720,10,46,100,5.0,0.25,10,cpd
hearth,2,16,,,,0.5333333333333333,960,10,42,100,5.0,0.25,10,cpd
hearth,2,16,,,,0.4888888888888889,960,10,43,100,5.0,0.25,10,cpd
hearth,2,16,,,,0.4888888888888889,960,10,44,100,5.0,0.25,10,cpd
hearth,2,16,,,,0.5111111111111111,960,10,45,100,5.0,0.25,10,cpd
hearth,2,16,,,,0.4888888888888889,960,10,46,100,5.0,0.25,10,cpd
hearth,2,64,,,,0.5111111111111111,3840,10,42,100,5.0,0.25,10,cpd
hearth,2,64,,,,0.4888888888888889,3840,9,43,100,5.0,0.25,10,cpd
hearth,2,64,,,,0.5111111111111111,3840,8,44,100,5.0,0.25,10,cpd
hearth,2,64,,,,0.5333333333333333,3840,9,45,100,5.0,0.25,10,cpd
hearth,2,64,,,,0.5333333333333333,3840,9,46,100,5.0,0.25,10,cpd
hearth,2,144,,,,0.4888888888888889,8640,9,42,100,5.0,0.25,10,cpd
hearth,2,144,,,,0.4666666666666667,8640,8,43,100,5.0,0.25,10,cpd
hearth,2,144,,,,0.5777777777777777,8640,9,44,100,5.0,0.25,10,cpd
hearth,2,144,,,,0.5111111111111111,8640,9,45,100,5.0,0.25,10,cpd
hearth,2,144,,,,0.5111111111111111,8640,9,46,100,5.0,0.25,10,cpd
hearth,2,256,,,,0.4444444444444444,15360,8,42,100,5.0,0.25,10,cpd
hearth,2,256,,,,0.4444444444444444,15360,8,43,100,5.0,0.25,10,cpd
hearth,2,256,,,,0.4444444444444444,15360,9,44,100,5.0,0.25,10,cpd
hearth,2,256,,,,0.4888888888888889,15360,9,45,100,5.0,0.25,10,cpd
hearth,2,256,,,,0.4666666666666667,15360,8,46,100,5.0,0.25,10,cpd
hearth,3,4,,,,0.5111111111111111,288,12,42,100,5.0,0.25,10,cpd
hearth,3,4,,,,0.4888888888888889,288,14,43,100,5.0,0.25,10,cpd
hearth,3,4,,,,0.5333333333333333,288,14,44,100,5.0,0.25,10,cpd
hearth,3,4,,,,0.5111111111111111,288,9,45,100,5.0,0.25,10,cpd
hearth,3,4,,,,0.5333333333333333,288,12,46,100,5.0,0.25,10,cpd
hearth,3,8,,,,0.5777777777777777,576,15,42,100,5.0,0.25,10,cpd
hearth,3,8,,,,0.5111111111111111,576,11,43,100,5.0,0.25,10,cpd
hearth,3,8,,,,0.5555555555555556,576,12,44,100,5.0,0.25,10,cpd
hearth,3,8,,,,0.5111111111111111,576,14,45,100,5.0,0.25,10,cpd
hearth,3,8,,,,0.5555555555555556,576,13,46,100,5.0,0.25,10,cpd
hearth,3,12,,,,0.5555555555555556,864,12,42,100,5.0,0.25,10,cpd
hearth,3,12,,,,0.5111111111111111,864,12,43,100,5.0,0.25,10,cpd
hearth,3,12,,,,0.6,864,11,44,100,5.0,0.25,10,cpd
hearth,3,12,,,,0.5333333333333333,864,10,45,100,5.0,0.25,10,cpd
hearth,3,12,,,,0.5777777777777777,864,13,46,100,5.0,0.25,10,cpd
hearth,3,16,,,,0.5555555555555556,1152,9,42,100,5.0,0.25,10,cpd
hearth,3,16,,,,0.5555555555555556,1152,9,43,100,5.0,0.25,10,cpd
hearth,3,16,,,,0.5333333333333333,1152,12,44,100,5.0,0.25,10,cpd
hearth,3,16,,,,0.6222222222222222,1152,11,45,100,5.0,0.25,10,cpd
hearth,3,16,,,,0.5333333333333333,1152,12,46,100,5.0,0.25,10,cpd
hearth,3,64,,,,0.5111111111111111,4608,9,42,100,5.0,0.25,10,cpd
hearth,3,64,,,,0.5555555555555556,4608,9,43,100,5.0,0.25,10,cpd
hearth,3,64,,,,0.6,4608,8,44,100,5.0,0.25,10,cpd
hearth,3,64,,,,0.5777777777777777,4608,8,45,100,5.0,0.25,10,cpd
hearth,3,64,,,,0.5333333333333333,4608,8,46,100,5.0,0.25,10,cpd
hearth,3,144,,,,0.6,10368,9,42,100,5.0,0.25,10,cpd
hearth,3,144,,,,0.5333333333333333,10368,8,43,100,5.0,0.25,10,cpd
hearth,3,144,,,,0.5333333333333333,10368,7,44,100,5.0,0.25,10,cpd
hearth,3,144,,,,0.5111111111111111,10368,9,45,100,5.0,0.25,10,cpd
hearth,3,144,,,,0.5555555555555556,10368,7,46,100,5.0,0.25,10,cpd
hearth,3,256,,,,0.6,18432,8,42,100,5.0,0.25,10,cpd
hearth,3,256,,,,0.6,18432,10,43,100,5.0,0.25,10,cpd
hearth,3,256,,,,0.5333333333333333,18432,10,44,100,5.0,0.25,10,cpd
hearth,3,256,,,,0.6,18432,7,45,100,5.0,0.25,10,cpd
hearth,3,256,,,,0.5333333333333333,18432,8,46,100,5.0,0.25,10,cpd
hearth,4,4,,,,0.4444444444444444,336,12,42,100,5.0,0.25,10,cpd
hearth,4,4,,,,0.5333333333333333,336,13,43,100,5.0,0.25,10,cpd
hearth,4,4,,,,0.4666666666666667,336,18,44,100,5.0,0.25,10,cpd
hearth,4,4,,,,0.4222222222222222,336,16,45,100,5.0,0.25,10,cpd
hearth,4,4,,,,0.6,336,17,46,100,5.0,0.25,10,cpd
hearth,4,8,,,,0.5555555555555556,672,16,42,100,5.0,0.25,10,cpd
hearth,4,8,,,,0.4444444444444444,672,11,43,100,5.0,0.25,10,cpd
hearth,4,8,,,,0.4444444444444444,672,11,44,100,5.0,0.25,10,cpd
hearth,4,8,,,,0.5111111111111111,672,14,45,100,5.0,0.25,10,cpd
hearth,4,8,,,,0.5777777777777777,672,14,46,100,5.0,0.25,10,cpd
hearth,4,12,,,,0.5333333333333333,1008,9,42,100,5.0,0.25,10,cpd
hearth,4,12,,,,0.4888888888888889,1008,11,43,100,5.0,0.25,10,cpd
hearth,4,12,,,,0.5333333333333333,1008,12,44,100,5.0,0.25,10,cpd
hearth,4,12,,,,0.5111111111111111,1008,12,45,100,5.0,0.25,10,cpd
hearth,4,12,,,,0.4444444444444444,1008,11,46,100,5.0,0.25,10,cpd
hearth,4,16,,,,0.4222222222222222,1344,10,42,100,5.0,0.25,10,cpd
