dataset,num_channels,num_layers,val_rmse,val_r2,val_accuracy,num_params,seed,model_type,early_stopping
hearth,16,1,,,0.5111111111111111,309,42,mlp,12
hearth,16,1,,,0.5555555555555556,309,43,mlp,12
hearth,16,1,,,0.4666666666666667,309,44,mlp,12
hearth,16,1,,,0.26666666666666666,309,45,mlp,12
hearth,16,1,,,0.4222222222222222,309,46,mlp,12
hearth,64,1,,,0.5111111111111111,1221,42,mlp,12
hearth,64,1,,,0.4666666666666667,1221,43,mlp,12
hearth,64,1,,,0.5111111111111111,1221,44,mlp,12
hearth,64,1,,,0.5111111111111111,1221,45,mlp,12
hearth,64,1,,,0.5333333333333333,1221,46,mlp,12
hearth,256,1,,,0.4666666666666667,4869,42,mlp,12
hearth,256,1,,,0.4666666666666667,4869,43,mlp,12
hearth,256,1,,,0.4888888888888889,4869,44,mlp,12
hearth,256,1,,,0.5111111111111111,4869,45,mlp,12
hearth,256,1,,,0.5111111111111111,4869,46,mlp,12
hearth,16,3,,,0.5111111111111111,917,42,mlp,12
hearth,16,3,,,0.5111111111111111,917,43,mlp,12
hearth,16,3,,,0.5111111111111111,917,44,mlp,12
hearth,16,3,,,0.5111111111111111,917,45,mlp,12
hearth,16,3,,,0.5111111111111111,917,46,mlp,12
hearth,64,3,,,0.4888888888888889,9797,42,mlp,12
hearth,64,3,,,0.4888888888888889,9797,43,mlp,12
hearth,64,3,,,0.5111111111111111,9797,44,mlp,12
hearth,64,3,,,0.5111111111111111,9797,45,mlp,12
hearth,64,3,,,0.5111111111111111,9797,46,mlp,12
hearth,256,3,,,0.4222222222222222,137477,42,mlp,12
hearth,256,3,,,0.4444444444444444,137477,43,mlp,12
hearth,256,3,,,0.4888888888888889,137477,44,mlp,12
hearth,256,3,,,0.4222222222222222,137477,45,mlp,12
hearth,256,3,,,0.4666666666666667,137477,46,mlp,12
hearth,16,5,,,0.4888888888888889,1525,42,mlp,12
hearth,16,5,,,0.5111111111111111,1525,43,mlp,12
hearth,16,5,,,0.5111111111111111,1525,44,mlp,12
hearth,16,5,,,0.5111111111111111,1525,45,mlp,12
hearth,16,5,,,0.4888888888888889,1525,46,mlp,12
hearth,64,5,,,0.4666666666666667,18373,42,mlp,12
hearth,64,5,,,0.5111111111111111,18373,43,mlp,12
hearth,64,5,,,0.5333333333333333,18373,44,mlp,12
hearth,64,5,,,0.5111111111111111,18373,45,mlp,12
hearth,64,5,,,0.4666666666666667,18373,46,mlp,12
hearth,256,5,,,0.4444444444444444,270085,42,mlp,12
hearth,256,5,,,0.4888888888888889,270085,43,mlp,12
hearth,256,5,,,0.4888888888888889,270085,44,mlp,12
hearth,256,5,,,0.4888888888888889,270085,45,mlp,12
hearth,256,5,,,0.4444444444444444,270085,46,mlp,12
