dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
hearth,1,4,,,,0.4222222222222222,276,13,42,100,5.0,0.25,12,tnml_polynomial
hearth,1,4,,,,0.5111111111111111,276,58,43,100,5.0,0.25,12,tnml_polynomial
hearth,1,4,,,,0.4888888888888889,276,33,44,100,5.0,0.25,12,tnml_polynomial
hearth,1,4,,,,0.5777777777777777,276,47,45,100,5.0,0.25,12,tnml_polynomial
hearth,1,4,,,,0.4,276,21,46,100,5.0,0.25,12,tnml_polynomial
hearth,1,8,,,,0.5777777777777777,820,36,42,100,5.0,0.25,12,tnml_polynomial
hearth,1,8,,,,0.5111111111111111,820,50,43,100,5.0,0.25,12,tnml_polynomial
hearth,1,8,,,,0.5333333333333333,820,26,44,100,5.0,0.25,12,tnml_polynomial
hearth,1,8,,,,0.24444444444444444,820,20,45,100,5.0,0.25,12,tnml_polynomial
hearth,1,8,,,,0.4888888888888889,820,36,46,100,5.0,0.25,12,tnml_polynomial
hearth,1,12,,,,0.5333333333333333,1428,34,42,100,5.0,0.25,12,tnml_polynomial
hearth,1,12,,,,0.4888888888888889,1428,18,43,100,5.0,0.25,12,tnml_polynomial
hearth,1,12,,,,0.4222222222222222,1428,35,44,100,5.0,0.25,12,tnml_polynomial
hearth,1,12,,,,0.5111111111111111,1428,32,45,100,5.0,0.25,12,tnml_polynomial
hearth,1,12,,,,0.5111111111111111,1428,26,46,100,5.0,0.25,12,tnml_polynomial
hearth,1,16,,,,0.4444444444444444,2228,16,42,100,5.0,0.25,12,tnml_polynomial
hearth,1,16,,,,0.5333333333333333,2228,34,43,100,5.0,0.25,12,tnml_polynomial
hearth,1,16,,,,0.5333333333333333,2228,22,44,100,5.0,0.25,12,tnml_polynomial
hearth,1,16,,,,0.4666666666666667,2228,18,45,100,5.0,0.25,12,tnml_polynomial
hearth,1,16,,,,0.4888888888888889,2228,28,46,100,5.0,0.25,12,tnml_polynomial
hearth,2,4,,,,0.5333333333333333,453,24,42,100,5.0,0.25,12,tnml_polynomial
hearth,2,4,,,,0.5333333333333333,453,33,43,100,5.0,0.25,12,tnml_polynomial
hearth,2,4,,,,0.3333333333333333,453,23,44,100,5.0,0.25,12,tnml_polynomial
hearth,2,4,,,,0.4888888888888889,453,28,45,100,5.0,0.25,12,tnml_polynomial
hearth,2,4,,,,0.28888888888888886,453,21,46,100,5.0,0.25,12,tnml_polynomial
hearth,2,8,,,,0.5777777777777777,1533,27,42,100,5.0,0.25,12,tnml_polynomial
hearth,2,8,,,,0.5555555555555556,1533,23,43,100,5.0,0.25,12,tnml_polynomial
hearth,2,8,,,,0.24444444444444444,1533,13,44,100,5.0,0.25,12,tnml_polynomial
hearth,2,8,,,,0.5555555555555556,1533,20,45,100,5.0,0.25,12,tnml_polynomial
hearth,2,8,,,,0.5555555555555556,1533,29,46,100,5.0,0.25,12,tnml_polynomial
hearth,2,12,,,,0.6,3015,24,42,100,5.0,0.25,12,tnml_polynomial
hearth,2,12,,,,0.5555555555555556,3015,26,43,100,5.0,0.25,12,tnml_polynomial
hearth,2,12,,,,0.5777777777777777,3015,23,44,100,5.0,0.25,12,tnml_polynomial
hearth,2,12,,,,0.3333333333333333,3015,20,45,100,5.0,0.25,12,tnml_polynomial
hearth,2,12,,,,0.5777777777777777,3015,31,46,100,5.0,0.25,12,tnml_polynomial
hearth,2,16,,,,0.5777777777777777,4911,21,42,100,5.0,0.25,12,tnml_polynomial
hearth,2,16,,,,0.5555555555555556,4911,20,43,100,5.0,0.25,12,tnml_polynomial
hearth,2,16,,,,0.5777777777777777,4911,18,44,100,5.0,0.25,12,tnml_polynomial
hearth,2,16,,,,0.5777777777777777,4911,24,45,100,5.0,0.25,12,tnml_polynomial
hearth,2,16,,,,0.6222222222222222,4911,43,46,100,5.0,0.25,12,tnml_polynomial
hearth,3,4,,,,0.37777777777777777,656,27,42,100,5.0,0.25,12,tnml_polynomial
hearth,3,4,,,,0.35555555555555557,656,19,43,100,5.0,0.25,12,tnml_polynomial
hearth,3,4,,,,0.37777777777777777,656,35,44,100,5.0,0.25,12,tnml_polynomial
hearth,3,4,,,,0.37777777777777777,656,16,45,100,5.0,0.25,12,tnml_polynomial
hearth,3,4,,,,0.3333333333333333,656,23,46,100,5.0,0.25,12,tnml_polynomial
hearth,3,8,,,,0.37777777777777777,2128,19,42,100,5.0,0.25,12,tnml_polynomial
hearth,3,8,,,,0.4222222222222222,2128,23,43,100,5.0,0.25,12,tnml_polynomial
hearth,3,8,,,,0.37777777777777777,2128,18,44,100,5.0,0.25,12,tnml_polynomial
hearth,3,8,,,,0.4,2128,22,45,100,5.0,0.25,12,tnml_polynomial
hearth,3,8,,,,0.37777777777777777,2128,20,46,100,5.0,0.25,12,tnml_polynomial
hearth,3,12,,,,0.35555555555555557,4496,17,42,100,5.0,0.25,12,tnml_polynomial
hearth,3,12,,,,0.4,4496,22,43,100,5.0,0.25,12,tnml_polynomial
hearth,3,12,,,,0.3111111111111111,4496,20,44,100,5.0,0.25,12,tnml_polynomial
hearth,3,12,,,,0.37777777777777777,4496,16,45,100,5.0,0.25,12,tnml_polynomial
hearth,3,12,,,,0.37777777777777777,4496,19,46,100,5.0,0.25,12,tnml_polynomial
hearth,3,16,,,,0.4222222222222222,7760,28,42,100,5.0,0.25,12,tnml_polynomial
hearth,3,16,,,,0.4666666666666667,7760,21,43,100,5.0,0.25,12,tnml_polynomial
hearth,3,16,,,,0.4222222222222222,7760,23,44,100,5.0,0.25,12,tnml_polynomial
hearth,3,16,,,,0.35555555555555557,7760,16,45,100,5.0,0.25,12,tnml_polynomial
hearth,3,16,,,,0.4444444444444444,7760,22,46,100,5.0,0.25,12,tnml_polynomial
hearth,4,4,,,,0.26666666666666666,820,7,42,100,5.0,0.25,12,tnml_polynomial
hearth,4,4,,,,0.17777777777777778,820,7,43,100,5.0,0.25,12,tnml_polynomial
hearth,4,4,,,,0.4,820,9,44,100,5.0,0.25,12,tnml_polynomial
hearth,4,4,,,,0.2222222222222222,820,6,45,100,5.0,0.25,12,tnml_polynomial
hearth,4,4,,,,0.3111111111111111,820,7,46,100,5.0,0.25,12,tnml_polynomial
hearth,4,8,,,,0.4,2765,19,42,100,5.0,0.25,12,tnml_polynomial
hearth,4,8,,,,0.24444444444444444,2765,5,43,100,5.0,0.25,12,tnml_polynomial
hearth,4,8,,,,0.3111111111111111,2765,9,44,100,5.0,0.25,12,tnml_polynomial
hearth,4,8,,,,0.4666666666666667,2765,13,45,100,5.0,0.25,12,tnml_polynomial
hearth,4,8,,,,0.35555555555555557,2765,7,46,100,5.0,0.25,12,tnml_polynomial
hearth,4,12,,,,0.5777777777777777,5765,24,42,100,5.0,0.25,12,tnml_polynomial
hearth,4,12,,,,0.35555555555555557,5765,7,43,100,5.0,0.25,12,tnml_polynomial
hearth,4,12,,,,0.3111111111111111,5765,6,44,100,5.0,0.25,12,tnml_polynomial
hearth,4,12,,,,0.5111111111111111,5765,18,45,100,5.0,0.25,12,tnml_polynomial
hearth,4,12,,,,0.5111111111111111,5765,10,46,100,5.0,0.25,12,tnml_polynomial
hearth,4,16,,,,0.37777777777777777,9885,18,42,100,5.0,0.25,12,tnml_polynomial
hearth,4,16,,,,0.4,9885,19,43,100,5.0,0.25,12,tnml_polynomial
hearth,4,16,,,,0.5555555555555556,9885,26,44,100,5.0,0.25,12,tnml_polynomial
hearth,4,16,,,,0.4888888888888889,9885,21,45,100,5.0,0.25,12,tnml_polynomial
hearth,4,16,,,,0.4444444444444444,9885,19,46,100,5.0,0.25,12,tnml_polynomial
hearth,5,4,,,,0.4,984,6,42,100,5.0,0.25,12,tnml_polynomial
hearth,5,4,,,,0.3333333333333333,984,5,43,100,5.0,0.25,12,tnml_polynomial
hearth,5,4,,,,0.37777777777777777,984,8,44,100,5.0,0.25,12,tnml_polynomial
hearth,5,4,,,,0.26666666666666666,984,6,45,100,5.0,0.25,12,tnml_polynomial
hearth,5,4,,,,0.2222222222222222,984,5,46,100,5.0,0.25,12,tnml_polynomial
hearth,5,8,,,,0.28888888888888886,3444,8,42,100,5.0,0.25,12,tnml_polynomial
hearth,5,8,,,,0.28888888888888886,3444,5,43,100,5.0,0.25,12,tnml_polynomial
hearth,5,8,,,,0.24444444444444444,3444,6,44,100,5.0,0.25,12,tnml_polynomial
hearth,5,8,,,,0.3111111111111111,3444,8,45,100,5.0,0.25,12,tnml_polynomial
hearth,5,8,,,,0.4222222222222222,3444,8,46,100,5.0,0.25,12,tnml_polynomial
hearth,5,12,,,,0.3333333333333333,7092,8,42,100,5.0,0.25,12,tnml_polynomial
hearth,5,12,,,,0.28888888888888886,7092,7,43,100,5.0,0.25,12,tnml_polynomial
hearth,5,12,,,,0.4222222222222222,7092,6,44,100,5.0,0.25,12,tnml_polynomial
hearth,5,12,,,,0.28888888888888886,7092,8,45,100,5.0,0.25,12,tnml_polynomial
hearth,5,12,,,,0.35555555555555557,7092,6,46,100,5.0,0.25,12,tnml_polynomial
hearth,5,16,,,,0.3333333333333333,12084,5,42,100,5.0,0.25,12,tnml_polynomial
hearth,5,16,,,,0.35555555555555557,12084,12,43,100,5.0,0.25,12,tnml_polynomial
hearth,5,16,,,,0.4,12084,21,44,100,5.0,0.25,12,tnml_polynomial
hearth,5,16,,,,0.37777777777777777,12084,7,45,100,5.0,0.25,12,tnml_polynomial
hearth,5,16,,,,0.4,12084,9,46,100,5.0,0.25,12,tnml_polynomial
hearth,6,4,,,,0.28888888888888886,1148,4,42,100,5.0,0.25,12,tnml_polynomial
hearth,6,4,,,,0.3333333333333333,1148,3,43,100,5.0,0.25,12,tnml_polynomial
hearth,6,4,,,,0.26666666666666666,1148,5,44,100,5.0,0.25,12,tnml_polynomial
hearth,6,4,,,,0.2222222222222222,1148,3,45,100,5.0,0.25,12,tnml_polynomial
hearth,6,4,,,,0.35555555555555557,1148,4,46,100,5.0,0.25,12,tnml_polynomial
hearth,6,8,,,,0.3333333333333333,4165,4,42,100,5.0,0.25,12,tnml_polynomial
hearth,6,8,,,,0.2,4165,4,43,100,5.0,0.25,12,tnml_polynomial
hearth,6,8,,,,0.3333333333333333,4165,4,44,100,5.0,0.25,12,tnml_polynomial
hearth,6,8,,,,0.17777777777777778,4165,4,45,100,5.0,0.25,12,tnml_polynomial
hearth,6,8,,,,0.3333333333333333,4165,6,46,100,5.0,0.25,12,tnml_polynomial
hearth,6,12,,,,0.26666666666666666,8477,5,42,100,5.0,0.25,12,tnml_polynomial
hearth,6,12,,,,0.4,8477,19,43,100,5.0,0.25,12,tnml_polynomial
hearth,6,12,,,,0.3111111111111111,8477,5,44,100,5.0,0.25,12,tnml_polynomial
hearth,6,12,,,,0.28888888888888886,8477,5,45,100,5.0,0.25,12,tnml_polynomial
hearth,6,12,,,,0.17777777777777778,8477,4,46,100,5.0,0.25,12,tnml_polynomial
hearth,6,16,,,,0.28888888888888886,14357,4,42,100,5.0,0.25,12,tnml_polynomial
hearth,6,16,,,,0.26666666666666666,14357,5,43,100,5.0,0.25,12,tnml_polynomial
hearth,6,16,,,,0.15555555555555556,14357,4,44,100,5.0,0.25,12,tnml_polynomial
hearth,6,16,,,,0.24444444444444444,14357,3,45,100,5.0,0.25,12,tnml_polynomial
hearth,6,16,,,,0.26666666666666666,14357,5,46,100,5.0,0.25,12,tnml_polynomial
