dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
hearth,,4,,,,0.37777777777777777,276,20,2582264110,100,5.0,0.25,12,tnml_sin-cos
hearth,,4,,,,0.37777777777777777,276,15,1011906602,100,5.0,0.25,12,tnml_sin-cos
hearth,,4,,,,0.35555555555555557,276,18,1729841207,100,5.0,0.25,12,tnml_sin-cos
hearth,,4,,,,0.3333333333333333,276,15,3653141251,100,5.0,0.25,12,tnml_sin-cos
hearth,,4,,,,0.26666666666666666,276,15,826749499,100,5.0,0.25,12,tnml_sin-cos
hearth,,4,,,,0.28888888888888886,276,22,1399498030,100,5.0,0.25,12,tnml_sin-cos
hearth,,4,,,,0.4222222222222222,276,20,358916519,100,5.0,0.25,12,tnml_sin-cos
hearth,,4,,,,0.35555555555555557,276,13,328531638,100,5.0,0.25,12,tnml_sin-cos
hearth,,4,,,,0.35555555555555557,276,14,787755760,100,5.0,0.25,12,tnml_sin-cos
hearth,,4,,,,0.4,276,28,4192420569,100,5.0,0.25,12,tnml_sin-cos
hearth,,8,,,,0.3111111111111111,820,19,2582264110,100,5.0,0.25,12,tnml_sin-cos
hearth,,8,,,,0.4,820,13,1011906602,100,5.0,0.25,12,tnml_sin-cos
hearth,,8,,,,0.35555555555555557,820,14,1729841207,100,5.0,0.25,12,tnml_sin-cos
hearth,,8,,,,0.37777777777777777,820,16,3653141251,100,5.0,0.25,12,tnml_sin-cos
hearth,,8,,,,0.35555555555555557,820,18,826749499,100,5.0,0.25,12,tnml_sin-cos
hearth,,8,,,,0.4222222222222222,820,14,1399498030,100,5.0,0.25,12,tnml_sin-cos
hearth,,8,,,,0.35555555555555557,820,34,358916519,100,5.0,0.25,12,tnml_sin-cos
hearth,,8,,,,0.26666666666666666,820,14,328531638,100,5.0,0.25,12,tnml_sin-cos
hearth,,8,,,,0.35555555555555557,820,14,787755760,100,5.0,0.25,12,tnml_sin-cos
hearth,,8,,,,0.35555555555555557,820,13,4192420569,100,5.0,0.25,12,tnml_sin-cos
hearth,,12,,,,0.35555555555555557,1428,15,2582264110,100,5.0,0.25,12,tnml_sin-cos
hearth,,12,,,,0.3111111111111111,1428,16,1011906602,100,5.0,0.25,12,tnml_sin-cos
hearth,,12,,,,0.3111111111111111,1428,19,1729841207,100,5.0,0.25,12,tnml_sin-cos
hearth,,12,,,,0.35555555555555557,1428,19,3653141251,100,5.0,0.25,12,tnml_sin-cos
hearth,,12,,,,0.4444444444444444,1428,13,826749499,100,5.0,0.25,12,tnml_sin-cos
hearth,,12,,,,0.37777777777777777,1428,15,1399498030,100,5.0,0.25,12,tnml_sin-cos
hearth,,12,,,,0.3111111111111111,1428,13,358916519,100,5.0,0.25,12,tnml_sin-cos
hearth,,12,,,,0.3333333333333333,1428,16,328531638,100,5.0,0.25,12,tnml_sin-cos
hearth,,12,,,,0.35555555555555557,1428,17,787755760,100,5.0,0.25,12,tnml_sin-cos
hearth,,12,,,,0.4888888888888889,1428,15,4192420569,100,5.0,0.25,12,tnml_sin-cos
hearth,,16,,,,0.3111111111111111,2228,15,2582264110,100,5.0,0.25,12,tnml_sin-cos
hearth,,16,,,,0.4222222222222222,2228,15,1011906602,100,5.0,0.25,12,tnml_sin-cos
hearth,,16,,,,0.37777777777777777,2228,15,1729841207,100,5.0,0.25,12,tnml_sin-cos
hearth,,16,,,,0.4,2228,21,3653141251,100,5.0,0.25,12,tnml_sin-cos
hearth,,16,,,,0.3111111111111111,2228,13,826749499,100,5.0,0.25,12,tnml_sin-cos
hearth,,16,,,,0.4,2228,13,1399498030,100,5.0,0.25,12,tnml_sin-cos
hearth,,16,,,,0.4666666666666667,2228,15,358916519,100,5.0,0.25,12,tnml_sin-cos
hearth,,16,,,,0.26666666666666666,2228,19,328531638,100,5.0,0.25,12,tnml_sin-cos
hearth,,16,,,,0.4222222222222222,2228,14,787755760,100,5.0,0.25,12,tnml_sin-cos
hearth,,16,,,,0.3111111111111111,2228,13,4192420569,100,5.0,0.25,12,tnml_sin-cos
