dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
hearth,2,4,,,,0.5111111111111111,268,15,42,100,5.0,0.25,10,tt_cumsum_type1
hearth,2,4,,,,0.5333333333333333,268,13,43,100,5.0,0.25,10,tt_cumsum_type1
hearth,2,4,,,,0.5111111111111111,268,12,44,100,5.0,0.25,10,tt_cumsum_type1
hearth,2,4,,,,0.5111111111111111,268,12,45,100,5.0,0.25,10,tt_cumsum_type1
hearth,2,4,,,,0.5111111111111111,268,12,46,100,5.0,0.25,10,tt_cumsum_type1
hearth,2,8,,,,0.4888888888888889,488,12,42,100,5.0,0.25,10,tt_cumsum_type1
hearth,2,8,,,,0.5111111111111111,488,11,43,100,5.0,0.25,10,tt_cumsum_type1
hearth,2,8,,,,0.5333333333333333,488,11,44,100,5.0,0.25,10,tt_cumsum_type1
hearth,2,8,,,,0.5111111111111111,488,11,45,100,5.0,0.25,10,tt_cumsum_type1
hearth,2,8,,,,0.5111111111111111,488,13,46,100,5.0,0.25,10,tt_cumsum_type1
hearth,2,12,,,,0.5333333333333333,708,11,42,100,5.0,0.25,10,tt_cumsum_type1
hearth,2,12,,,,0.4888888888888889,708,12,43,100,5.0,0.25,10,tt_cumsum_type1
hearth,2,12,,,,0.5111111111111111,708,13,44,100,5.0,0.25,10,tt_cumsum_type1
hearth,2,12,,,,0.5333333333333333,708,13,45,100,5.0,0.25,10,tt_cumsum_type1
hearth,2,12,,,,0.5111111111111111,708,11,46,100,5.0,0.25,10,tt_cumsum_type1
hearth,2,16,,,,0.4888888888888889,928,11,42,100,5.0,0.25,10,tt_cumsum_type1
hearth,2,16,,,,0.4888888888888889,928,12,43,100,5.0,0.25,10,tt_cumsum_type1
hearth,2,16,,,,0.4888888888888889,928,12,44,100,5.0,0.25,10,tt_cumsum_type1
hearth,2,16,,,,0.5111111111111111,928,11,45,100,5.0,0.25,10,tt_cumsum_type1
hearth,2,16,,,,0.5111111111111111,928,13,46,100,5.0,0.25,10,tt_cumsum_type1
hearth,3,4,,,,0.5777777777777777,664,16,42,100,5.0,0.25,10,tt_cumsum_type1
hearth,3,4,,,,0.5777777777777777,664,16,43,100,5.0,0.25,10,tt_cumsum_type1
hearth,3,4,,,,0.5555555555555556,664,14,44,100,5.0,0.25,10,tt_cumsum_type1
hearth,3,4,,,,0.5333333333333333,664,12,45,100,5.0,0.25,10,tt_cumsum_type1
hearth,3,4,,,,0.5555555555555556,664,16,46,100,5.0,0.25,10,tt_cumsum_type1
hearth,3,8,,,,0.6,1632,16,42,100,5.0,0.25,10,tt_cumsum_type1
hearth,3,8,,,,0.5555555555555556,1632,14,43,100,5.0,0.25,10,tt_cumsum_type1
hearth,3,8,,,,0.5333333333333333,1632,16,44,100,5.0,0.25,10,tt_cumsum_type1
hearth,3,8,,,,0.5777777777777777,1632,16,45,100,5.0,0.25,10,tt_cumsum_type1
hearth,3,8,,,,0.5555555555555556,1632,16,46,100,5.0,0.25,10,tt_cumsum_type1
hearth,3,12,,,,0.5111111111111111,2952,11,42,100,5.0,0.25,10,tt_cumsum_type1
hearth,3,12,,,,0.5777777777777777,2952,17,43,100,5.0,0.25,10,tt_cumsum_type1
hearth,3,12,,,,0.5111111111111111,2952,15,44,100,5.0,0.25,10,tt_cumsum_type1
hearth,3,12,,,,0.5777777777777777,2952,16,45,100,5.0,0.25,10,tt_cumsum_type1
hearth,3,12,,,,0.5777777777777777,2952,25,46,100,5.0,0.25,10,tt_cumsum_type1
