dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
hearth,2,4,0.25,,,0.5111111111111111,240,11,42,100,5.0,0.25,10,tt_lin
hearth,2,4,0.25,,,0.4888888888888889,240,12,43,100,5.0,0.25,10,tt_lin
hearth,2,4,0.25,,,0.5333333333333333,240,12,44,100,5.0,0.25,10,tt_lin
hearth,2,4,0.25,,,0.5111111111111111,240,11,45,100,5.0,0.25,10,tt_lin
hearth,2,4,0.25,,,0.5333333333333333,240,11,46,100,5.0,0.25,10,tt_lin
hearth,2,4,0.5,,,0.5555555555555556,240,11,42,100,5.0,0.25,10,tt_lin
hearth,2,4,0.5,,,0.4888888888888889,240,11,43,100,5.0,0.25,10,tt_lin
hearth,2,4,0.5,,,0.5777777777777777,240,13,44,100,5.0,0.25,10,tt_lin
hearth,2,4,0.5,,,0.5333333333333333,240,11,45,100,5.0,0.25,10,tt_lin
hearth,2,4,0.5,,,0.5111111111111111,240,11,46,100,5.0,0.25,10,tt_lin
hearth,2,4,0.75,,,0.5111111111111111,240,11,42,100,5.0,0.25,10,tt_lin
hearth,2,4,0.75,,,0.5555555555555556,240,13,43,100,5.0,0.25,10,tt_lin
hearth,2,4,0.75,,,0.5111111111111111,240,11,44,100,5.0,0.25,10,tt_lin
hearth,2,4,0.75,,,0.5111111111111111,240,11,45,100,5.0,0.25,10,tt_lin
hearth,2,4,0.75,,,0.5333333333333333,240,12,46,100,5.0,0.25,10,tt_lin
hearth,2,8,0.25,,,0.5111111111111111,480,12,42,100,5.0,0.25,10,tt_lin
hearth,2,8,0.25,,,0.5111111111111111,480,11,43,100,5.0,0.25,10,tt_lin
hearth,2,8,0.25,,,0.5111111111111111,480,12,44,100,5.0,0.25,10,tt_lin
hearth,2,8,0.25,,,0.5111111111111111,480,12,45,100,5.0,0.25,10,tt_lin
hearth,2,8,0.25,,,0.5555555555555556,480,11,46,100,5.0,0.25,10,tt_lin
hearth,2,8,0.5,,,0.4888888888888889,480,11,42,100,5.0,0.25,10,tt_lin
hearth,2,8,0.5,,,0.4888888888888889,480,11,43,100,5.0,0.25,10,tt_lin
hearth,2,8,0.5,,,0.5333333333333333,480,11,44,100,5.0,0.25,10,tt_lin
hearth,2,8,0.5,,,0.5333333333333333,480,12,45,100,5.0,0.25,10,tt_lin
hearth,2,8,0.5,,,0.5555555555555556,480,12,46,100,5.0,0.25,10,tt_lin
hearth,2,8,0.75,,,0.5111111111111111,480,11,42,100,5.0,0.25,10,tt_lin
hearth,2,8,0.75,,,0.5111111111111111,480,11,43,100,5.0,0.25,10,tt_lin
hearth,2,8,0.75,,,0.5333333333333333,480,11,44,100,5.0,0.25,10,tt_lin
hearth,2,8,0.75,,,0.5111111111111111,480,11,45,100,5.0,0.25,10,tt_lin
hearth,2,8,0.75,,,0.5111111111111111,480,11,46,100,5.0,0.25,10,tt_lin
hearth,2,12,0.25,,,0.5111111111111111,720,12,42,100,5.0,0.25,10,tt_lin
hearth,2,12,0.25,,,0.5333333333333333,720,12,43,100,5.0,0.25,10,tt_lin
hearth,2,12,0.25,,,0.5333333333333333,720,12,44,100,5.0,0.25,10,tt_lin
hearth,2,12,0.25,,,0.5333333333333333,720,11,45,100,5.0,0.25,10,tt_lin
hearth,2,12,0.25,,,0.4888888888888889,720,11,46,100,5.0,0.25,10,tt_lin
hearth,2,12,0.5,,,0.4888888888888889,720,11,42,100,5.0,0.25,10,tt_lin
hearth,2,12,0.5,,,0.5333333333333333,720,11,43,100,5.0,0.25,10,tt_lin
hearth,2,12,0.5,,,0.5111111111111111,720,12,44,100,5.0,0.25,10,tt_lin
hearth,2,12,0.5,,,0.5111111111111111,720,12,45,100,5.0,0.25,10,tt_lin
hearth,2,12,0.5,,,0.5111111111111111,720,12,46,100,5.0,0.25,10,tt_lin
hearth,2,12,0.75,,,0.5111111111111111,720,11,42,100,5.0,0.25,10,tt_lin
hearth,2,12,0.75,,,0.5333333333333333,720,12,43,100,5.0,0.25,10,tt_lin
hearth,2,12,0.75,,,0.4888888888888889,720,11,44,100,5.0,0.25,10,tt_lin
hearth,2,12,0.75,,,0.5333333333333333,720,12,45,100,5.0,0.25,10,tt_lin
hearth,2,12,0.75,,,0.4888888888888889,720,11,46,100,5.0,0.25,10,tt_lin
hearth,2,16,0.25,,,0.4888888888888889,960,12,42,100,5.0,0.25,10,tt_lin
hearth,2,16,0.25,,,0.4888888888888889,960,11,43,100,5.0,0.25,10,tt_lin
hearth,2,16,0.25,,,0.4888888888888889,960,11,44,100,5.0,0.25,10,tt_lin
hearth,2,16,0.25,,,0.5111111111111111,960,11,45,100,5.0,0.25,10,tt_lin
hearth,2,16,0.25,,,0.5111111111111111,960,11,46,100,5.0,0.25,10,tt_lin
hearth,2,16,0.5,,,0.5333333333333333,960,11,42,100,5.0,0.25,10,tt_lin
hearth,2,16,0.5,,,0.5333333333333333,960,12,43,100,5.0,0.25,10,tt_lin
hearth,2,16,0.5,,,0.5333333333333333,960,12,44,100,5.0,0.25,10,tt_lin
hearth,2,16,0.5,,,0.5333333333333333,960,11,45,100,5.0,0.25,10,tt_lin
hearth,2,16,0.5,,,0.5111111111111111,960,11,46,100,5.0,0.25,10,tt_lin
hearth,2,16,0.75,,,0.5333333333333333,960,12,42,100,5.0,0.25,10,tt_lin
hearth,2,16,0.75,,,0.5333333333333333,960,12,43,100,5.0,0.25,10,tt_lin
hearth,2,16,0.75,,,0.4888888888888889,960,11,44,100,5.0,0.25,10,tt_lin
hearth,2,16,0.75,,,0.4888888888888889,960,11,45,100,5.0,0.25,10,tt_lin
hearth,2,16,0.75,,,0.5111111111111111,960,12,46,100,5.0,0.25,10,tt_lin
hearth,3,4,0.25,,,0.5333333333333333,432,14,42,100,5.0,0.25,10,tt_lin
hearth,3,4,0.25,,,0.5777777777777777,432,11,43,100,5.0,0.25,10,tt_lin
hearth,3,4,0.25,,,0.5777777777777777,432,16,44,100,5.0,0.25,10,tt_lin
hearth,3,4,0.25,,,0.5111111111111111,432,12,45,100,5.0,0.25,10,tt_lin
hearth,3,4,0.25,,,0.5111111111111111,432,13,46,100,5.0,0.25,10,tt_lin
hearth,3,4,0.5,,,0.5111111111111111,432,11,42,100,5.0,0.25,10,tt_lin
hearth,3,4,0.5,,,0.5111111111111111,432,14,43,100,5.0,0.25,10,tt_lin
hearth,3,4,0.5,,,0.6,432,14,44,100,5.0,0.25,10,tt_lin
hearth,3,4,0.5,,,0.5777777777777777,432,14,45,100,5.0,0.25,10,tt_lin
hearth,3,4,0.5,,,0.5333333333333333,432,16,46,100,5.0,0.25,10,tt_lin
hearth,3,4,0.75,,,0.5111111111111111,432,13,42,100,5.0,0.25,10,tt_lin
hearth,3,4,0.75,,,0.5333333333333333,432,11,43,100,5.0,0.25,10,tt_lin
hearth,3,4,0.75,,,0.5111111111111111,432,11,44,100,5.0,0.25,10,tt_lin
hearth,3,4,0.75,,,0.5555555555555556,432,13,45,100,5.0,0.25,10,tt_lin
hearth,3,4,0.75,,,0.6,432,13,46,100,5.0,0.25,10,tt_lin
hearth,3,8,0.25,,,0.5555555555555556,1248,13,42,100,5.0,0.25,10,tt_lin
hearth,3,8,0.25,,,0.5333333333333333,1248,13,43,100,5.0,0.25,10,tt_lin
hearth,3,8,0.25,,,0.5333333333333333,1248,11,44,100,5.0,0.25,10,tt_lin
hearth,3,8,0.25,,,0.5777777777777777,1248,11,45,100,5.0,0.25,10,tt_lin
hearth,3,8,0.25,,,0.5555555555555556,1248,13,46,100,5.0,0.25,10,tt_lin
hearth,3,8,0.5,,,0.5333333333333333,1248,11,42,100,5.0,0.25,10,tt_lin
hearth,3,8,0.5,,,0.4888888888888889,1248,15,43,100,5.0,0.25,10,tt_lin
hearth,3,8,0.5,,,0.5555555555555556,1248,13,44,100,5.0,0.25,10,tt_lin
hearth,3,8,0.5,,,0.5333333333333333,1248,14,45,100,5.0,0.25,10,tt_lin
hearth,3,8,0.5,,,0.5111111111111111,1248,14,46,100,5.0,0.25,10,tt_lin
hearth,3,8,0.75,,,0.5777777777777777,1248,13,42,100,5.0,0.25,10,tt_lin
hearth,3,8,0.75,,,0.5333333333333333,1248,15,43,100,5.0,0.25,10,tt_lin
hearth,3,8,0.75,,,0.5555555555555556,1248,15,44,100,5.0,0.25,10,tt_lin
hearth,3,8,0.75,,,0.6222222222222222,1248,12,45,100,5.0,0.25,10,tt_lin
hearth,3,8,0.75,,,0.5777777777777777,1248,11,46,100,5.0,0.25,10,tt_lin
hearth,3,12,0.25,,,0.5333333333333333,2448,11,42,100,5.0,0.25,10,tt_lin
hearth,3,12,0.25,,,0.5777777777777777,2448,11,43,100,5.0,0.25,10,tt_lin
