dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
iris,2,4,,,,1.0,60,15,42,100,5.0,0.25,10,cpd
iris,2,4,,,,1.0,60,14,43,100,5.0,0.25,10,cpd
iris,2,4,,,,1.0,60,13,44,100,5.0,0.25,10,cpd
iris,2,4,,,,1.0,60,14,45,100,5.0,0.25,10,cpd
iris,2,4,,,,1.0,60,14,46,100,5.0,0.25,10,cpd
iris,2,8,,,,1.0,120,14,42,100,5.0,0.25,10,cpd
iris,2,8,,,,1.0,120,11,43,100,5.0,0.25,10,cpd
iris,2,8,,,,1.0,120,13,44,100,5.0,0.25,10,cpd
iris,2,8,,,,1.0,120,12,45,100,5.0,0.25,10,cpd
iris,2,8,,,,1.0,120,11,46,100,5.0,0.25,10,cpd
iris,2,12,,,,1.0,180,13,42,100,5.0,0.25,10,cpd
iris,2,12,,,,1.0,180,13,43,100,5.0,0.25,10,cpd
iris,2,12,,,,1.0,180,13,44,100,5.0,0.25,10,cpd
iris,2,12,,,,1.0,180,13,45,100,5.0,0.25,10,cpd
iris,2,12,,,,1.0,180,13,46,100,5.0,0.25,10,cpd
iris,2,16,,,,1.0,240,13,42,100,5.0,0.25,10,cpd
iris,2,16,,,,1.0,240,13,43,100,5.0,0.25,10,cpd
iris,2,16,,,,1.0,240,13,44,100,5.0,0.25,10,cpd
iris,2,16,,,,1.0,240,13,45,100,5.0,0.25,10,cpd
iris,2,16,,,,1.0,240,13,46,100,5.0,0.25,10,cpd
iris,2,64,,,,1.0,960,10,42,100,5.0,0.25,10,cpd
iris,2,64,,,,1.0,960,11,43,100,5.0,0.25,10,cpd
iris,2,64,,,,1.0,960,11,44,100,5.0,0.25,10,cpd
iris,2,64,,,,1.0,960,12,45,100,5.0,0.25,10,cpd
iris,2,64,,,,1.0,960,11,46,100,5.0,0.25,10,cpd
iris,2,144,,,,1.0,2160,11,42,100,5.0,0.25,10,cpd
iris,2,144,,,,1.0,2160,10,43,100,5.0,0.25,10,cpd
iris,2,144,,,,1.0,2160,10,44,100,5.0,0.25,10,cpd
iris,2,144,,,,1.0,2160,11,45,100,5.0,0.25,10,cpd
iris,2,144,,,,1.0,2160,10,46,100,5.0,0.25,10,cpd
iris,2,256,,,,1.0,3840,11,42,100,5.0,0.25,10,cpd
iris,2,256,,,,1.0,3840,11,43,100,5.0,0.25,10,cpd
iris,2,256,,,,1.0,3840,11,44,100,5.0,0.25,10,cpd
iris,2,256,,,,1.0,3840,11,45,100,5.0,0.25,10,cpd
iris,2,256,,,,1.0,3840,11,46,100,5.0,0.25,10,cpd
iris,3,4,,,,0.9545454545454546,80,11,42,100,5.0,0.25,10,cpd
iris,3,4,,,,0.9090909090909091,80,12,43,100,5.0,0.25,10,cpd
iris,3,4,,,,0.9545454545454546,80,11,44,100,5.0,0.25,10,cpd
iris,3,4,,,,0.9090909090909091,80,11,45,100,5.0,0.25,10,cpd
iris,3,4,,,,0.8636363636363636,80,11,46,100,5.0,0.25,10,cpd
iris,3,8,,,,0.9090909090909091,160,11,42,100,5.0,0.25,10,cpd
iris,3,8,,,,0.9545454545454546,160,19,43,100,5.0,0.25,10,cpd
iris,3,8,,,,0.9545454545454546,160,11,44,100,5.0,0.25,10,cpd
iris,3,8,,,,1.0,160,19,45,100,5.0,0.25,10,cpd
iris,3,8,,,,0.9090909090909091,160,11,46,100,5.0,0.25,10,cpd
iris,3,12,,,,1.0,240,13,42,100,5.0,0.25,10,cpd
iris,3,12,,,,1.0,240,19,43,100,5.0,0.25,10,cpd
iris,3,12,,,,0.9090909090909091,240,11,44,100,5.0,0.25,10,cpd
iris,3,12,,,,0.9090909090909091,240,11,45,100,5.0,0.25,10,cpd
iris,3,12,,,,0.9090909090909091,240,11,46,100,5.0,0.25,10,cpd
iris,3,16,,,,1.0,320,19,42,100,5.0,0.25,10,cpd
iris,3,16,,,,1.0,320,19,43,100,5.0,0.25,10,cpd
iris,3,16,,,,0.9090909090909091,320,11,44,100,5.0,0.25,10,cpd
iris,3,16,,,,0.9545454545454546,320,11,45,100,5.0,0.25,10,cpd
iris,3,16,,,,0.9545454545454546,320,11,46,100,5.0,0.25,10,cpd
iris,3,64,,,,1.0,1280,15,42,100,5.0,0.25,10,cpd
iris,3,64,,,,1.0,1280,14,43,100,5.0,0.25,10,cpd
iris,3,64,,,,0.9545454545454546,1280,11,44,100,5.0,0.25,10,cpd
iris,3,64,,,,0.9545454545454546,1280,10,45,100,5.0,0.25,10,cpd
iris,3,64,,,,1.0,1280,15,46,100,5.0,0.25,10,cpd
iris,3,144,,,,1.0,2880,10,42,100,5.0,0.25,10,cpd
iris,3,144,,,,1.0,2880,10,43,100,5.0,0.25,10,cpd
iris,3,144,,,,1.0,2880,12,44,100,5.0,0.25,10,cpd
