dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
iris,2,4,,,,1.0,58,19,2582264110,100,5.0,0.25,10,cpd_type1
iris,2,4,,,,1.0,58,19,1011906602,100,5.0,0.25,10,cpd_type1
iris,2,4,,,,1.0,58,19,1729841207,100,5.0,0.25,10,cpd_type1
iris,2,4,,,,1.0,58,19,3653141251,100,5.0,0.25,10,cpd_type1
iris,2,4,,,,1.0,58,19,826749499,100,5.0,0.25,10,cpd_type1
iris,2,4,,,,1.0,58,19,1399498030,100,5.0,0.25,10,cpd_type1
iris,2,4,,,,1.0,58,18,358916519,100,5.0,0.25,10,cpd_type1
iris,2,4,,,,1.0,58,19,328531638,100,5.0,0.25,10,cpd_type1
iris,2,4,,,,1.0,58,19,787755760,100,5.0,0.25,10,cpd_type1
iris,2,4,,,,1.0,58,19,4192420569,100,5.0,0.25,10,cpd_type1
iris,2,8,,,,1.0,106,18,2582264110,100,5.0,0.25,10,cpd_type1
iris,2,8,,,,1.0,106,17,1011906602,100,5.0,0.25,10,cpd_type1
iris,2,8,,,,1.0,106,17,1729841207,100,5.0,0.25,10,cpd_type1
iris,2,8,,,,1.0,106,17,3653141251,100,5.0,0.25,10,cpd_type1
iris,2,8,,,,1.0,106,18,826749499,100,5.0,0.25,10,cpd_type1
iris,2,8,,,,1.0,106,18,1399498030,100,5.0,0.25,10,cpd_type1
iris,2,8,,,,1.0,106,19,358916519,100,5.0,0.25,10,cpd_type1
iris,2,8,,,,1.0,106,17,328531638,100,5.0,0.25,10,cpd_type1
iris,2,8,,,,1.0,106,18,787755760,100,5.0,0.25,10,cpd_type1
iris,2,8,,,,1.0,106,18,4192420569,100,5.0,0.25,10,cpd_type1
iris,2,12,,,,1.0,154,16,2582264110,100,5.0,0.25,10,cpd_type1
iris,2,12,,,,1.0,154,16,1011906602,100,5.0,0.25,10,cpd_type1
iris,2,12,,,,1.0,154,16,1729841207,100,5.0,0.25,10,cpd_type1
iris,2,12,,,,1.0,154,16,3653141251,100,5.0,0.25,10,cpd_type1
iris,2,12,,,,1.0,154,16,826749499,100,5.0,0.25,10,cpd_type1
iris,2,12,,,,1.0,154,17,1399498030,100,5.0,0.25,10,cpd_type1
iris,2,12,,,,1.0,154,17,358916519,100,5.0,0.25,10,cpd_type1
iris,2,12,,,,1.0,154,17,328531638,100,5.0,0.25,10,cpd_type1
iris,2,12,,,,1.0,154,16,787755760,100,5.0,0.25,10,cpd_type1
iris,2,12,,,,1.0,154,16,4192420569,100,5.0,0.25,10,cpd_type1
iris,2,16,,,,1.0,202,15,2582264110,100,5.0,0.25,10,cpd_type1
iris,2,16,,,,1.0,202,15,1011906602,100,5.0,0.25,10,cpd_type1
iris,2,16,,,,1.0,202,16,1729841207,100,5.0,0.25,10,cpd_type1
iris,2,16,,,,1.0,202,16,3653141251,100,5.0,0.25,10,cpd_type1
iris,2,16,,,,1.0,202,16,826749499,100,5.0,0.25,10,cpd_type1
iris,2,16,,,,1.0,202,16,1399498030,100,5.0,0.25,10,cpd_type1
iris,2,16,,,,1.0,202,15,358916519,100,5.0,0.25,10,cpd_type1
iris,2,16,,,,1.0,202,15,328531638,100,5.0,0.25,10,cpd_type1
iris,2,16,,,,1.0,202,15,787755760,100,5.0,0.25,10,cpd_type1
iris,2,16,,,,1.0,202,16,4192420569,100,5.0,0.25,10,cpd_type1
iris,2,64,,,,1.0,778,15,2582264110,100,5.0,0.25,10,cpd_type1
iris,2,64,,,,1.0,778,15,1011906602,100,5.0,0.25,10,cpd_type1
iris,2,64,,,,1.0,778,15,1729841207,100,5.0,0.25,10,cpd_type1
iris,2,64,,,,1.0,778,15,3653141251,100,5.0,0.25,10,cpd_type1
iris,2,64,,,,1.0,778,15,826749499,100,5.0,0.25,10,cpd_type1
iris,2,64,,,,1.0,778,15,1399498030,100,5.0,0.25,10,cpd_type1
iris,2,64,,,,1.0,778,15,358916519,100,5.0,0.25,10,cpd_type1
iris,2,64,,,,1.0,778,15,328531638,100,5.0,0.25,10,cpd_type1
iris,2,64,,,,1.0,778,15,787755760,100,5.0,0.25,10,cpd_type1
iris,2,64,,,,1.0,778,15,4192420569,100,5.0,0.25,10,cpd_type1
iris,2,144,,,,1.0,1738,15,2582264110,100,5.0,0.25,10,cpd_type1
iris,2,144,,,,1.0,1738,15,1011906602,100,5.0,0.25,10,cpd_type1
iris,2,144,,,,1.0,1738,15,1729841207,100,5.0,0.25,10,cpd_type1
iris,2,144,,,,1.0,1738,15,3653141251,100,5.0,0.25,10,cpd_type1
iris,2,144,,,,1.0,1738,15,826749499,100,5.0,0.25,10,cpd_type1
