dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
iris,1,4,,,,1.0,44,21,2582264110,100,5.0,0.25,10,tnml_polynomial
iris,1,4,,,,1.0,44,15,1011906602,100,5.0,0.25,10,tnml_polynomial
iris,1,4,,,,1.0,44,23,1729841207,100,5.0,0.25,10,tnml_polynomial
iris,1,4,,,,0.7272727272727273,44,11,3653141251,100,5.0,0.25,10,tnml_polynomial
iris,1,4,,,,1.0,44,21,826749499,100,5.0,0.25,10,tnml_polynomial
iris,1,4,,,,1.0,44,21,1399498030,100,5.0,0.25,10,tnml_polynomial
iris,1,4,,,,1.0,44,21,358916519,100,5.0,0.25,10,tnml_polynomial
iris,1,4,,,,0.7727272727272727,44,12,328531638,100,5.0,0.25,10,tnml_polynomial
iris,1,4,,,,1.0,44,21,787755760,100,5.0,0.25,10,tnml_polynomial
iris,1,4,,,,0.9545454545454546,44,15,4192420569,100,5.0,0.25,10,tnml_polynomial
iris,1,8,,,,1.0,44,21,2582264110,100,5.0,0.25,10,tnml_polynomial
iris,1,8,,,,1.0,44,15,1011906602,100,5.0,0.25,10,tnml_polynomial
iris,1,8,,,,1.0,44,23,1729841207,100,5.0,0.25,10,tnml_polynomial
iris,1,8,,,,0.7272727272727273,44,11,3653141251,100,5.0,0.25,10,tnml_polynomial
iris,1,8,,,,1.0,44,21,826749499,100,5.0,0.25,10,tnml_polynomial
iris,1,8,,,,1.0,44,21,1399498030,100,5.0,0.25,10,tnml_polynomial
iris,1,8,,,,1.0,44,21,358916519,100,5.0,0.25,10,tnml_polynomial
iris,1,8,,,,0.7727272727272727,44,12,328531638,100,5.0,0.25,10,tnml_polynomial
iris,1,8,,,,1.0,44,21,787755760,100,5.0,0.25,10,tnml_polynomial
iris,1,8,,,,0.9545454545454546,44,15,4192420569,100,5.0,0.25,10,tnml_polynomial
iris,1,12,,,,1.0,44,21,2582264110,100,5.0,0.25,10,tnml_polynomial
iris,1,12,,,,1.0,44,15,1011906602,100,5.0,0.25,10,tnml_polynomial
iris,1,12,,,,1.0,44,23,1729841207,100,5.0,0.25,10,tnml_polynomial
iris,1,12,,,,0.7272727272727273,44,11,3653141251,100,5.0,0.25,10,tnml_polynomial
iris,1,12,,,,1.0,44,21,826749499,100,5.0,0.25,10,tnml_polynomial
iris,1,12,,,,1.0,44,21,1399498030,100,5.0,0.25,10,tnml_polynomial
iris,1,12,,,,1.0,44,21,358916519,100,5.0,0.25,10,tnml_polynomial
iris,1,12,,,,0.7727272727272727,44,12,328531638,100,5.0,0.25,10,tnml_polynomial
iris,1,12,,,,1.0,44,21,787755760,100,5.0,0.25,10,tnml_polynomial
iris,1,12,,,,0.9545454545454546,44,15,4192420569,100,5.0,0.25,10,tnml_polynomial
iris,1,16,,,,1.0,44,21,2582264110,100,5.0,0.25,10,tnml_polynomial
iris,1,16,,,,1.0,44,15,1011906602,100,5.0,0.25,10,tnml_polynomial
iris,1,16,,,,1.0,44,23,1729841207,100,5.0,0.25,10,tnml_polynomial
iris,1,16,,,,0.7272727272727273,44,11,3653141251,100,5.0,0.25,10,tnml_polynomial
iris,1,16,,,,1.0,44,21,826749499,100,5.0,0.25,10,tnml_polynomial
iris,1,16,,,,1.0,44,21,1399498030,100,5.0,0.25,10,tnml_polynomial
iris,1,16,,,,1.0,44,21,358916519,100,5.0,0.25,10,tnml_polynomial
iris,1,16,,,,0.7727272727272727,44,12,328531638,100,5.0,0.25,10,tnml_polynomial
iris,1,16,,,,1.0,44,21,787755760,100,5.0,0.25,10,tnml_polynomial
iris,1,16,,,,0.9545454545454546,44,15,4192420569,100,5.0,0.25,10,tnml_polynomial
iris,2,4,,,,1.0,99,22,2582264110,100,5.0,0.25,10,tnml_polynomial
iris,2,4,,,,1.0,99,21,1011906602,100,5.0,0.25,10,tnml_polynomial
iris,2,4,,,,1.0,99,20,1729841207,100,5.0,0.25,10,tnml_polynomial
