Dataset,Mean_Train_Accuracy,SEM_Train_Accuracy,Mean_Test_Accuracy,SEM_Test_Accuracy,Mean_Train_RMSE,SEM_Train_RMSE,Mean_Test_RMSE,SEM_Test_RMSE,Mean_Train_R2,SEM_Train_R2,Mean_Test_R2,SEM_Test_R2
abalone,NaN,NaN,NaN,NaN,2.5323,0.2298,2.3590,0.1284,0.3683,0.1199,0.4514,0.0620
adult,54.7346,0.6398,54.7127,0.6454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ai4i,NaN,NaN,NaN,NaN,0.1564,0.0014,0.1410,0.0018,0.2788,0.0127,0.2852,0.0178
appliances,NaN,NaN,NaN,NaN,98.7241,0.7487,105.3605,0.8682,0.0803,0.0141,0.0761,0.0154
bank,89.3134,0.1431,89.5724,0.2342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
bike,NaN,NaN,NaN,NaN,161.0793,5.6623,155.7143,5.7797,0.2205,0.0548,0.2085,0.0586
breast,85.5779,0.3777,86.7442,0.4651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
car_evaluation,84.5161,0.8918,82.1538,0.9851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
concrete,NaN,NaN,NaN,NaN,11.8518,0.0664,12.2409,0.1245,0.5018,0.0056,0.4011,0.0123
energy_efficiency,NaN,NaN,NaN,NaN,3.1082,0.0667,2.9458,0.0593,0.9047,0.0041,0.9113,0.0036
hearth,64.9057,0.6077,56.5217,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
iris,74.6667,3.5711,67.8261,5.0704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mushrooms,98.7197,0.1202,98.4906,0.0804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
obesity,NaN,NaN,NaN,NaN,1.3466,0.0282,1.4149,0.0288,0.5234,0.0194,0.4972,0.0201
popularity,NaN,NaN,NaN,NaN,12005.5911,858.6015,10930.5835,77.1742,-0.2330,0.1913,-0.0578,0.0150
realstate,NaN,NaN,NaN,NaN,16.2112,0.0000,14.9648,0.0000,-0.3721,0.0000,-0.3429,0.0000
student_dropout,75.2713,0.3532,73.6446,0.7424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
student_perf,NaN,NaN,NaN,NaN,2.2536,0.0275,2.9820,0.0591,0.2838,0.0177,0.1200,0.0355
wine,95.1613,1.1116,94.8148,0.9072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
winequalityc,52.6545,0.9353,53.1282,0.2827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
