dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
mushrooms,1,4,,,,0.9909762100082035,1512,239,42,100,5.0,0.25,51,tnml_polynomial
mushrooms,1,4,,,,0.9909762100082035,1512,295,43,100,5.0,0.25,51,tnml_polynomial
mushrooms,1,4,,,,0.9909762100082035,1512,253,44,100,5.0,0.25,51,tnml_polynomial
mushrooms,1,4,,,,0.9934372436423298,1512,227,45,100,5.0,0.25,51,tnml_polynomial
mushrooms,1,4,,,,0.9909762100082035,1512,243,46,100,5.0,0.25,51,tnml_polynomial
mushrooms,1,8,,,,0.9909762100082035,5800,179,42,100,5.0,0.25,51,tnml_polynomial
mushrooms,1,8,,,,0.9909762100082035,5800,182,43,100,5.0,0.25,51,tnml_polynomial
mushrooms,1,8,,,,0.9909762100082035,5800,184,44,100,5.0,0.25,51,tnml_polynomial
mushrooms,1,8,,,,0.9909762100082035,5800,175,45,100,5.0,0.25,51,tnml_polynomial
mushrooms,1,8,,,,0.9909762100082035,5800,175,46,100,5.0,0.25,51,tnml_polynomial
mushrooms,1,12,,,,0.9909762100082035,12648,163,42,100,5.0,0.25,51,tnml_polynomial
mushrooms,1,12,,,,0.9909762100082035,12648,165,43,100,5.0,0.25,51,tnml_polynomial
mushrooms,1,12,,,,0.9909762100082035,12648,156,44,100,5.0,0.25,51,tnml_polynomial
mushrooms,1,12,,,,0.9909762100082035,12648,166,45,100,5.0,0.25,51,tnml_polynomial
mushrooms,1,12,,,,0.9942575881870386,12648,125,46,100,5.0,0.25,51,tnml_polynomial
mushrooms,1,16,,,,0.9909762100082035,22184,138,42,100,5.0,0.25,51,tnml_polynomial
mushrooms,1,16,,,,0.9909762100082035,22184,137,43,100,5.0,0.25,51,tnml_polynomial
mushrooms,1,16,,,,0.9909762100082035,22184,108,44,100,5.0,0.25,51,tnml_polynomial
mushrooms,1,16,,,,0.9909762100082035,22184,109,45,100,5.0,0.25,51,tnml_polynomial
mushrooms,1,16,,,,0.9909762100082035,22184,137,46,100,5.0,0.25,51,tnml_polynomial
mushrooms,2,4,,,,0.9893355209187858,2298,194,42,100,5.0,0.25,51,tnml_polynomial
mushrooms,2,4,,,,0.9909762100082035,2298,264,43,100,5.0,0.25,51,tnml_polynomial
mushrooms,2,4,,,,0.9909762100082035,2298,241,44,100,5.0,0.25,51,tnml_polynomial
mushrooms,2,4,,,,0.9319114027891715,2298,74,45,100,5.0,0.25,51,tnml_polynomial
mushrooms,2,4,,,,0.985233798195242,2298,138,46,100,5.0,0.25,51,tnml_polynomial
mushrooms,2,8,,,,0.9942575881870386,8994,122,42,100,5.0,0.25,51,tnml_polynomial
mushrooms,2,8,,,,0.9909762100082035,8994,155,43,100,5.0,0.25,51,tnml_polynomial
mushrooms,2,8,,,,0.9909762100082035,8994,163,44,100,5.0,0.25,51,tnml_polynomial
mushrooms,2,8,,,,0.9934372436423298,8994,125,45,100,5.0,0.25,51,tnml_polynomial
mushrooms,2,8,,,,0.9909762100082035,8994,163,46,100,5.0,0.25,51,tnml_polynomial
mushrooms,2,12,,,,0.9942575881870386,19836,106,42,100,5.0,0.25,51,tnml_polynomial
mushrooms,2,12,,,,0.992616899097621,19836,116,43,100,5.0,0.25,51,tnml_polynomial
mushrooms,2,12,,,,0.9909762100082035,19836,138,44,100,5.0,0.25,51,tnml_polynomial
mushrooms,2,12,,,,0.9950779327317474,19836,122,45,100,5.0,0.25,51,tnml_polynomial
mushrooms,2,12,,,,0.9909762100082035,19836,135,46,100,5.0,0.25,51,tnml_polynomial
mushrooms,2,16,,,,0.9909762100082035,34836,103,42,100,5.0,0.25,51,tnml_polynomial
mushrooms,2,16,,,,0.9909762100082035,34836,87,43,100,5.0,0.25,51,tnml_polynomial
mushrooms,2,16,,,,0.9909762100082035,34836,104,44,100,5.0,0.25,51,tnml_polynomial
mushrooms,2,16,,,,0.9909762100082035,34836,116,45,100,5.0,0.25,51,tnml_polynomial
mushrooms,2,16,,,,0.9909762100082035,34836,103,46,100,5.0,0.25,51,tnml_polynomial
mushrooms,3,4,,,,0.9909762100082035,3104,260,42,100,5.0,0.25,51,tnml_polynomial
mushrooms,3,4,,,,0.9909762100082035,3104,257,43,100,5.0,0.25,51,tnml_polynomial
mushrooms,3,4,,,,0.9909762100082035,3104,216,44,100,5.0,0.25,51,tnml_polynomial
mushrooms,3,4,,,,0.985233798195242,3104,182,45,100,5.0,0.25,51,tnml_polynomial
mushrooms,3,4,,,,0.9909762100082035,3104,260,46,100,5.0,0.25,51,tnml_polynomial
mushrooms,3,8,,,,0.9950779327317474,12064,117,42,100,5.0,0.25,51,tnml_polynomial
mushrooms,3,8,,,,0.9909762100082035,12064,161,43,100,5.0,0.25,51,tnml_polynomial
mushrooms,3,8,,,,0.9909762100082035,12064,162,44,100,5.0,0.25,51,tnml_polynomial
mushrooms,3,8,,,,0.9909762100082035,12064,175,45,100,5.0,0.25,51,tnml_polynomial
mushrooms,3,8,,,,0.9909762100082035,12064,149,46,100,5.0,0.25,51,tnml_polynomial
mushrooms,3,12,,,,0.9909762100082035,26912,131,42,100,5.0,0.25,51,tnml_polynomial
mushrooms,3,12,,,,0.9909762100082035,26912,138,43,100,5.0,0.25,51,tnml_polynomial
mushrooms,3,12,,,,0.9958982772764561,26912,102,44,100,5.0,0.25,51,tnml_polynomial
mushrooms,3,12,,,,0.9917965545529123,26912,125,45,100,5.0,0.25,51,tnml_polynomial
mushrooms,3,12,,,,0.9950779327317474,26912,104,46,100,5.0,0.25,51,tnml_polynomial
mushrooms,3,16,,,,0.9909762100082035,47648,106,42,100,5.0,0.25,51,tnml_polynomial
mushrooms,3,16,,,,0.9909762100082035,47648,90,43,100,5.0,0.25,51,tnml_polynomial
mushrooms,3,16,,,,0.9909762100082035,47648,82,44,100,5.0,0.25,51,tnml_polynomial
mushrooms,3,16,,,,0.9909762100082035,47648,135,45,100,5.0,0.25,51,tnml_polynomial
mushrooms,3,16,,,,0.9909762100082035,47648,87,46,100,5.0,0.25,51,tnml_polynomial
mushrooms,4,4,,,,0.9712879409351928,3880,127,42,100,5.0,0.25,51,tnml_polynomial
mushrooms,4,4,,,,0.9909762100082035,3880,202,43,100,5.0,0.25,51,tnml_polynomial
mushrooms,4,4,,,,0.9860541427399507,3880,172,44,100,5.0,0.25,51,tnml_polynomial
mushrooms,4,4,,,,0.985233798195242,3880,176,45,100,5.0,0.25,51,tnml_polynomial
mushrooms,4,4,,,,0.9893355209187858,3880,179,46,100,5.0,0.25,51,tnml_polynomial
mushrooms,4,8,,,,0.9934372436423298,15170,111,42,100,5.0,0.25,51,tnml_polynomial
mushrooms,4,8,,,,0.9909762100082035,15170,138,43,100,5.0,0.25,51,tnml_polynomial
mushrooms,4,8,,,,0.992616899097621,15170,129,44,100,5.0,0.25,51,tnml_polynomial
mushrooms,4,8,,,,0.9909762100082035,15170,138,45,100,5.0,0.25,51,tnml_polynomial
mushrooms,4,8,,,,0.9909762100082035,15170,159,46,100,5.0,0.25,51,tnml_polynomial
mushrooms,4,12,,,,0.9909762100082035,33770,126,42,100,5.0,0.25,51,tnml_polynomial
mushrooms,4,12,,,,0.9909762100082035,33770,132,43,100,5.0,0.25,51,tnml_polynomial
mushrooms,4,12,,,,0.9876948318293683,33770,79,44,100,5.0,0.25,51,tnml_polynomial
mushrooms,4,12,,,,0.9909762100082035,33770,130,45,100,5.0,0.25,51,tnml_polynomial
mushrooms,4,12,,,,0.9909762100082035,33770,137,46,100,5.0,0.25,51,tnml_polynomial
mushrooms,4,16,,,,0.9909762100082035,59730,126,42,100,5.0,0.25,51,tnml_polynomial
mushrooms,4,16,,,,0.9909762100082035,59730,126,43,100,5.0,0.25,51,tnml_polynomial
