dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
mushrooms,,4,,,,0.9909762100082035,1512,258,42,100,5.0,0.25,51,tnml_sin-cos
mushrooms,,4,,,,0.9909762100082035,1512,250,43,100,5.0,0.25,51,tnml_sin-cos
mushrooms,,4,,,,0.9909762100082035,1512,253,44,100,5.0,0.25,51,tnml_sin-cos
mushrooms,,4,,,,0.9909762100082035,1512,251,45,100,5.0,0.25,51,tnml_sin-cos
mushrooms,,4,,,,0.9909762100082035,1512,239,46,100,5.0,0.25,51,tnml_sin-cos
mushrooms,,8,,,,0.9860541427399507,5800,91,42,100,5.0,0.25,51,tnml_sin-cos
mushrooms,,8,,,,0.9909762100082035,5800,173,43,100,5.0,0.25,51,tnml_sin-cos
mushrooms,,8,,,,0.9909762100082035,5800,185,44,100,5.0,0.25,51,tnml_sin-cos
mushrooms,,8,,,,0.9909762100082035,5800,115,45,100,5.0,0.25,51,tnml_sin-cos
mushrooms,,8,,,,0.9909762100082035,5800,183,46,100,5.0,0.25,51,tnml_sin-cos
mushrooms,,12,,,,0.9909762100082035,12648,155,42,100,5.0,0.25,51,tnml_sin-cos
mushrooms,,12,,,,0.9909762100082035,12648,142,43,100,5.0,0.25,51,tnml_sin-cos
mushrooms,,12,,,,0.9909762100082035,12648,138,44,100,5.0,0.25,51,tnml_sin-cos
mushrooms,,12,,,,0.9909762100082035,12648,152,45,100,5.0,0.25,51,tnml_sin-cos
mushrooms,,12,,,,0.9909762100082035,12648,138,46,100,5.0,0.25,51,tnml_sin-cos
mushrooms,,16,,,,0.9909762100082035,22184,125,42,100,5.0,0.25,51,tnml_sin-cos
mushrooms,,16,,,,0.9909762100082035,22184,115,43,100,5.0,0.25,51,tnml_sin-cos
mushrooms,,16,,,,0.9909762100082035,22184,116,44,100,5.0,0.25,51,tnml_sin-cos
mushrooms,,16,,,,0.9909762100082035,22184,109,45,100,5.0,0.25,51,tnml_sin-cos
mushrooms,,16,,,,0.9909762100082035,22184,132,46,100,5.0,0.25,51,tnml_sin-cos
