dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
mushrooms,3,8,,,,0.9909762100082035,4851,23,2582264110,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,8,,,,0.9909762100082035,4851,25,1011906602,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,8,,,,0.9909762100082035,4851,23,1729841207,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,8,,,,0.9909762100082035,4851,23,3653141251,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,8,,,,0.9909762100082035,4851,24,826749499,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,8,,,,0.9909762100082035,4851,25,1399498030,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,8,,,,0.9909762100082035,4851,22,358916519,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,8,,,,0.9909762100082035,4851,26,328531638,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,8,,,,0.9909762100082035,4851,24,787755760,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,8,,,,0.9909762100082035,4851,24,4192420569,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,12,,,,0.9909762100082035,9651,21,2582264110,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,12,,,,0.9909762100082035,9651,21,1011906602,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,12,,,,0.9909762100082035,9651,23,1729841207,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,12,,,,0.9909762100082035,9651,21,3653141251,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,12,,,,0.9909762100082035,9651,23,826749499,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,12,,,,0.9909762100082035,9651,20,1399498030,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,12,,,,0.9909762100082035,9651,21,358916519,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,12,,,,0.9909762100082035,9651,18,328531638,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,12,,,,0.9909762100082035,9651,21,787755760,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,12,,,,0.9909762100082035,9651,23,4192420569,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,16,,,,0.9909762100082035,16051,18,2582264110,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,16,,,,0.9909762100082035,16051,18,1011906602,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,16,,,,0.9909762100082035,16051,18,1729841207,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,16,,,,0.9909762100082035,16051,17,3653141251,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,16,,,,0.9909762100082035,16051,17,826749499,100,5.0,0.25,10,tt_cumsum_type1
mushrooms,3,16,,,,0.9909762100082035,16051,18,1399498030,100,5.0,0.25,10,tt_cumsum_type1
