dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
mushrooms,2,4,0.25,,,0.9909762100082035,451,22,42,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,4,0.25,,,0.9909762100082035,451,22,43,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,4,0.25,,,0.9909762100082035,451,22,44,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,4,0.25,,,0.9909762100082035,451,22,45,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,4,0.25,,,0.9909762100082035,451,22,46,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,4,0.5,,,0.9909762100082035,451,22,42,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,4,0.5,,,0.9909762100082035,451,21,43,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,4,0.5,,,0.9909762100082035,451,22,44,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,4,0.5,,,0.9909762100082035,451,21,45,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,4,0.5,,,0.9909762100082035,451,22,46,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,4,0.75,,,0.9909762100082035,451,24,42,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,4,0.75,,,0.9909762100082035,451,21,43,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,4,0.75,,,0.9909762100082035,451,22,44,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,4,0.75,,,0.9909762100082035,451,21,45,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,4,0.75,,,0.9909762100082035,451,22,46,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,8,0.25,,,0.9909762100082035,851,20,42,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,8,0.25,,,0.9909762100082035,851,18,43,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,8,0.25,,,0.9909762100082035,851,20,44,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,8,0.25,,,0.9909762100082035,851,20,45,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,8,0.25,,,0.9909762100082035,851,21,46,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,8,0.5,,,0.9909762100082035,851,21,42,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,8,0.5,,,0.9909762100082035,851,20,43,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,8,0.5,,,0.9909762100082035,851,21,44,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,8,0.5,,,0.9909762100082035,851,18,45,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,8,0.5,,,0.9909762100082035,851,21,46,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,8,0.75,,,0.9909762100082035,851,21,42,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,8,0.75,,,0.9909762100082035,851,18,43,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,8,0.75,,,0.9909762100082035,851,18,44,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,8,0.75,,,0.9909762100082035,851,20,45,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,8,0.75,,,0.9909762100082035,851,18,46,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,12,0.25,,,0.9909762100082035,1251,20,42,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,12,0.25,,,0.9909762100082035,1251,20,43,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,12,0.25,,,0.9909762100082035,1251,20,44,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,12,0.25,,,0.9909762100082035,1251,20,45,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,12,0.25,,,0.9909762100082035,1251,18,46,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,12,0.5,,,0.9909762100082035,1251,18,42,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,12,0.5,,,0.9909762100082035,1251,20,43,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,12,0.5,,,0.9909762100082035,1251,18,44,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,12,0.5,,,0.9909762100082035,1251,18,45,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,12,0.5,,,0.9909762100082035,1251,20,46,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,12,0.75,,,0.9909762100082035,1251,18,42,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,12,0.75,,,0.9909762100082035,1251,18,43,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,12,0.75,,,0.9909762100082035,1251,18,44,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,12,0.75,,,0.9909762100082035,1251,18,45,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,12,0.75,,,0.9909762100082035,1251,18,46,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,16,0.25,,,0.9909762100082035,1651,18,42,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,16,0.25,,,0.9909762100082035,1651,18,43,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,16,0.25,,,0.9909762100082035,1651,18,44,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,16,0.25,,,0.9909762100082035,1651,18,45,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,16,0.25,,,0.9909762100082035,1651,18,46,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,16,0.5,,,0.9909762100082035,1651,18,42,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,16,0.5,,,0.9909762100082035,1651,18,43,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,16,0.5,,,0.9909762100082035,1651,18,44,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,16,0.5,,,0.9909762100082035,1651,18,45,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,16,0.5,,,0.9909762100082035,1651,18,46,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,16,0.75,,,0.9909762100082035,1651,18,42,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,16,0.75,,,0.9909762100082035,1651,18,43,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,16,0.75,,,0.9909762100082035,1651,18,44,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,16,0.75,,,0.9909762100082035,1651,18,45,100,5.0,0.25,10,tt_lin_type1
mushrooms,2,16,0.75,,,0.9909762100082035,1651,18,46,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,4,0.25,,,0.9909762100082035,1651,27,42,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,4,0.25,,,0.9909762100082035,1651,27,43,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,4,0.25,,,0.9909762100082035,1651,27,44,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,4,0.25,,,0.9909762100082035,1651,30,45,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,4,0.25,,,0.9909762100082035,1651,28,46,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,4,0.5,,,0.9909762100082035,1651,28,42,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,4,0.5,,,0.9909762100082035,1651,25,43,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,4,0.5,,,0.9909762100082035,1651,27,44,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,4,0.5,,,0.9909762100082035,1651,27,45,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,4,0.5,,,0.9909762100082035,1651,29,46,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,4,0.75,,,0.9909762100082035,1651,27,42,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,4,0.75,,,0.9909762100082035,1651,28,43,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,4,0.75,,,0.9909762100082035,1651,27,44,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,4,0.75,,,0.9909762100082035,1651,28,45,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,4,0.75,,,0.9909762100082035,1651,30,46,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,8,0.25,,,0.9909762100082035,4851,25,42,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,8,0.25,,,0.9909762100082035,4851,25,43,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,8,0.25,,,0.9909762100082035,4851,23,44,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,8,0.25,,,0.9909762100082035,4851,23,45,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,8,0.25,,,0.9909762100082035,4851,24,46,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,8,0.5,,,0.9909762100082035,4851,23,42,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,8,0.5,,,0.9909762100082035,4851,24,43,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,8,0.5,,,0.9909762100082035,4851,24,44,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,8,0.5,,,0.9909762100082035,4851,25,45,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,8,0.5,,,0.9909762100082035,4851,24,46,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,8,0.75,,,0.9909762100082035,4851,23,42,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,8,0.75,,,0.9909762100082035,4851,23,43,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,8,0.75,,,0.9909762100082035,4851,23,44,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,8,0.75,,,0.9909762100082035,4851,25,45,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,8,0.75,,,0.9909762100082035,4851,25,46,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,12,0.25,,,0.9909762100082035,9651,21,42,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,12,0.25,,,0.9909762100082035,9651,24,43,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,12,0.25,,,0.9909762100082035,9651,18,44,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,12,0.25,,,0.9909762100082035,9651,23,45,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,12,0.25,,,0.9909762100082035,9651,22,46,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,12,0.5,,,0.9909762100082035,9651,21,42,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,12,0.5,,,0.9909762100082035,9651,18,43,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,12,0.5,,,0.9909762100082035,9651,23,44,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,12,0.5,,,0.9909762100082035,9651,21,45,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,12,0.5,,,0.9909762100082035,9651,17,46,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,12,0.75,,,0.9909762100082035,9651,20,42,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,12,0.75,,,0.9909762100082035,9651,23,43,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,12,0.75,,,0.9909762100082035,9651,17,44,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,12,0.75,,,0.9909762100082035,9651,19,45,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,12,0.75,,,0.9909762100082035,9651,24,46,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,16,0.25,,,0.9909762100082035,16051,18,42,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,16,0.25,,,0.9909762100082035,16051,22,43,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,16,0.25,,,0.9909762100082035,16051,17,44,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,16,0.25,,,0.9909762100082035,16051,18,45,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,16,0.25,,,0.9909762100082035,16051,18,46,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,16,0.5,,,0.9909762100082035,16051,18,42,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,16,0.5,,,0.9909762100082035,16051,18,43,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,16,0.5,,,0.9909762100082035,16051,20,44,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,16,0.5,,,0.9909762100082035,16051,20,45,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,16,0.5,,,0.9909762100082035,16051,20,46,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,16,0.75,,,0.9909762100082035,16051,18,42,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,16,0.75,,,0.9909762100082035,16051,17,43,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,16,0.75,,,0.9909762100082035,16051,18,44,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,16,0.75,,,0.9909762100082035,16051,18,45,100,5.0,0.25,10,tt_lin_type1
mushrooms,3,16,0.75,,,0.9909762100082035,16051,20,46,100,5.0,0.25,10,tt_lin_type1
mushrooms,4,4,0.25,,,0.9909762100082035,3651,30,42,100,5.0,0.25,10,tt_lin_type1
