dataset,n_estimators,max_depth,val_rmse,val_r2,val_accuracy,num_params,seed,model_type,learning_rate
mushrooms,50,3,,,0.9745693191140279,,42,xgboost,0.1
mushrooms,50,3,,,0.9745693191140279,,43,xgboost,0.1
mushrooms,50,3,,,0.9745693191140279,,44,xgboost,0.1
mushrooms,50,3,,,0.9745693191140279,,45,xgboost,0.1
mushrooms,50,3,,,0.9745693191140279,,46,xgboost,0.1
mushrooms,50,6,,,0.9909762100082035,,42,xgboost,0.1
mushrooms,50,6,,,0.9909762100082035,,43,xgboost,0.1
mushrooms,50,6,,,0.9909762100082035,,44,xgboost,0.1
mushrooms,50,6,,,0.9909762100082035,,45,xgboost,0.1
mushrooms,50,6,,,0.9909762100082035,,46,xgboost,0.1
mushrooms,50,9,,,0.9909762100082035,,42,xgboost,0.1
mushrooms,50,9,,,0.9909762100082035,,43,xgboost,0.1
mushrooms,50,9,,,0.9909762100082035,,44,xgboost,0.1
mushrooms,50,9,,,0.9909762100082035,,45,xgboost,0.1
mushrooms,50,9,,,0.9909762100082035,,46,xgboost,0.1
mushrooms,100,3,,,0.9868744872846595,,42,xgboost,0.1
mushrooms,100,3,,,0.9868744872846595,,43,xgboost,0.1
mushrooms,100,3,,,0.9868744872846595,,44,xgboost,0.1
mushrooms,100,3,,,0.9868744872846595,,45,xgboost,0.1
mushrooms,100,3,,,0.9868744872846595,,46,xgboost,0.1
mushrooms,100,6,,,0.9909762100082035,,42,xgboost,0.1
mushrooms,100,6,,,0.9909762100082035,,43,xgboost,0.1
mushrooms,100,6,,,0.9909762100082035,,44,xgboost,0.1
mushrooms,100,6,,,0.9909762100082035,,45,xgboost,0.1
mushrooms,100,6,,,0.9909762100082035,,46,xgboost,0.1
mushrooms,100,9,,,0.9909762100082035,,42,xgboost,0.1
mushrooms,100,9,,,0.9909762100082035,,43,xgboost,0.1
mushrooms,100,9,,,0.9909762100082035,,44,xgboost,0.1
mushrooms,100,9,,,0.9909762100082035,,45,xgboost,0.1
mushrooms,100,9,,,0.9909762100082035,,46,xgboost,0.1
mushrooms,200,3,,,0.9885151763740772,,42,xgboost,0.1
mushrooms,200,3,,,0.9885151763740772,,43,xgboost,0.1
mushrooms,200,3,,,0.9885151763740772,,44,xgboost,0.1
mushrooms,200,3,,,0.9885151763740772,,45,xgboost,0.1
mushrooms,200,3,,,0.9885151763740772,,46,xgboost,0.1
mushrooms,200,6,,,0.9909762100082035,,42,xgboost,0.1
mushrooms,200,6,,,0.9909762100082035,,43,xgboost,0.1
mushrooms,200,6,,,0.9909762100082035,,44,xgboost,0.1
mushrooms,200,6,,,0.9909762100082035,,45,xgboost,0.1
mushrooms,200,6,,,0.9909762100082035,,46,xgboost,0.1
mushrooms,200,9,,,0.9909762100082035,,42,xgboost,0.1
mushrooms,200,9,,,0.9909762100082035,,43,xgboost,0.1
mushrooms,200,9,,,0.9909762100082035,,44,xgboost,0.1
mushrooms,200,9,,,0.9909762100082035,,45,xgboost,0.1
mushrooms,200,9,,,0.9909762100082035,,46,xgboost,0.1
mushrooms,500,3,,,0.9909762100082035,,42,xgboost,0.1
mushrooms,500,3,,,0.9909762100082035,,43,xgboost,0.1
mushrooms,500,3,,,0.9909762100082035,,44,xgboost,0.1
mushrooms,500,3,,,0.9909762100082035,,45,xgboost,0.1
mushrooms,500,3,,,0.9909762100082035,,46,xgboost,0.1
mushrooms,500,6,,,0.9909762100082035,,42,xgboost,0.1
mushrooms,500,6,,,0.9909762100082035,,43,xgboost,0.1
mushrooms,500,6,,,0.9909762100082035,,44,xgboost,0.1
mushrooms,500,6,,,0.9909762100082035,,45,xgboost,0.1
mushrooms,500,6,,,0.9909762100082035,,46,xgboost,0.1
mushrooms,500,9,,,0.9909762100082035,,42,xgboost,0.1
mushrooms,500,9,,,0.9909762100082035,,43,xgboost,0.1
mushrooms,500,9,,,0.9909762100082035,,44,xgboost,0.1
mushrooms,500,9,,,0.9909762100082035,,45,xgboost,0.1
mushrooms,500,9,,,0.9909762100082035,,46,xgboost,0.1
