dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
obesity,2,4,,1.2525818470664938,0.564099822979155,,320,18,2582264110,100,5.0,0.25,10,cpd
obesity,2,4,,1.2519778534668464,0.5645201028047595,,320,19,1011906602,100,5.0,0.25,10,cpd
obesity,2,4,,1.254499130426279,0.5627643672880029,,320,20,1729841207,100,5.0,0.25,10,cpd
obesity,2,4,,1.289644352604842,0.5379225872264533,,320,18,3653141251,100,5.0,0.25,10,cpd
obesity,2,4,,1.2556170433867941,0.5619847586691447,,320,19,826749499,100,5.0,0.25,10,cpd
obesity,2,4,,1.2425427547319217,0.5710590580352645,,320,21,1399498030,100,5.0,0.25,10,cpd
obesity,2,4,,1.2500703295408064,0.5658460935146964,,320,18,358916519,100,5.0,0.25,10,cpd
obesity,2,4,,1.1958370346113614,0.6026997695491886,,320,19,328531638,100,5.0,0.25,10,cpd
obesity,2,4,,1.2624437457568811,0.5572088941560216,,320,18,787755760,100,5.0,0.25,10,cpd
obesity,2,4,,1.2393403003927357,0.5732672614580684,,320,18,4192420569,100,5.0,0.25,10,cpd
obesity,2,8,,1.2223793833916399,0.5848673885040567,,640,17,2582264110,100,5.0,0.25,10,cpd
obesity,2,8,,1.2494250018451611,0.5662942270580587,,640,17,1011906602,100,5.0,0.25,10,cpd
obesity,2,8,,1.2184420106766882,0.5875374259195323,,640,17,1729841207,100,5.0,0.25,10,cpd
obesity,2,8,,1.2270159159139795,0.5817121876632909,,640,17,3653141251,100,5.0,0.25,10,cpd
obesity,2,8,,1.193542312424586,0.6042230856719739,,640,17,826749499,100,5.0,0.25,10,cpd
obesity,2,8,,1.2377624648464267,0.5743531383182332,,640,17,1399498030,100,5.0,0.25,10,cpd
obesity,2,8,,1.2215361659149453,0.5854399216206799,,640,17,358916519,100,5.0,0.25,10,cpd
obesity,2,8,,1.255780497570833,0.5618707110232746,,640,17,328531638,100,5.0,0.25,10,cpd
obesity,2,8,,1.2441781933867009,0.5699291681268162,,640,17,787755760,100,5.0,0.25,10,cpd
obesity,2,8,,1.2286767382646082,0.5805790778249322,,640,17,4192420569,100,5.0,0.25,10,cpd
obesity,2,12,,1.2423060451283114,0.5712224725634001,,960,16,2582264110,100,5.0,0.25,10,cpd
obesity,2,12,,1.247697835038916,0.5674924813901812,,960,17,1011906602,100,5.0,0.25,10,cpd
obesity,2,12,,1.2432136308107447,0.5705957437521285,,960,16,1729841207,100,5.0,0.25,10,cpd
obesity,2,12,,1.2373998056762547,0.5746025272404529,,960,16,3653141251,100,5.0,0.25,10,cpd
obesity,2,12,,1.2442284558946273,0.5698944192856246,,960,16,826749499,100,5.0,0.25,10,cpd
obesity,2,12,,1.243866030551659,0.5701449495783955,,960,16,1399498030,100,5.0,0.25,10,cpd
obesity,2,12,,1.244856811198672,0.5694598891730009,,960,17,358916519,100,5.0,0.25,10,cpd
obesity,2,12,,1.2409055158678943,0.5721887030287873,,960,16,328531638,100,5.0,0.25,10,cpd
obesity,2,12,,1.226961839581553,0.5817490559256506,,960,17,787755760,100,5.0,0.25,10,cpd
obesity,2,12,,1.2423376968571225,0.5712006233210797,,960,17,4192420569,100,5.0,0.25,10,cpd
obesity,2,16,,1.2246141625754363,0.5833480929750263,,1280,16,2582264110,100,5.0,0.25,10,cpd
obesity,2,16,,1.221546436293372,0.5854329505511314,,1280,16,1011906602,100,5.0,0.25,10,cpd
obesity,2,16,,1.2254562373756412,0.5827748957846896,,1280,16,1729841207,100,5.0,0.25,10,cpd
obesity,2,16,,1.2175570651901413,0.5881363454236064,,1280,16,3653141251,100,5.0,0.25,10,cpd
obesity,2,16,,1.2370800504634152,0.5748223518824646,,1280,16,826749499,100,5.0,0.25,10,cpd
obesity,2,16,,1.2191388563742227,0.5870655036476954,,1280,16,1399498030,100,5.0,0.25,10,cpd
obesity,2,16,,1.2246728572085328,0.5833081525307335,,1280,16,358916519,100,5.0,0.25,10,cpd
obesity,2,16,,1.222181274859947,0.585001936990227,,1280,16,328531638,100,5.0,0.25,10,cpd
obesity,2,16,,1.2225080754494437,0.584779973609772,,1280,16,787755760,100,5.0,0.25,10,cpd
obesity,2,16,,1.2326042623269464,0.5778933940699751,,1280,16,4192420569,100,5.0,0.25,10,cpd
obesity,2,64,,1.2269474512877365,0.5817588653296483,,5120,15,2582264110,100,5.0,0.25,10,cpd
obesity,2,64,,1.2206322044955205,0.5860532602469475,,5120,15,1011906602,100,5.0,0.25,10,cpd
obesity,2,64,,1.2269513742604168,0.5817561908040743,,5120,15,1729841207,100,5.0,0.25,10,cpd
obesity,2,64,,1.2267197376872594,0.5819140966831193,,5120,15,3653141251,100,5.0,0.25,10,cpd
obesity,2,64,,1.229043009184026,0.580328980171962,,5120,15,826749499,100,5.0,0.25,10,cpd
obesity,2,64,,1.2288156995874013,0.5804842008239941,,5120,15,1399498030,100,5.0,0.25,10,cpd
obesity,2,64,,1.2342587692956808,0.5767594582983635,,5120,15,358916519,100,5.0,0.25,10,cpd
obesity,2,64,,1.2304599017998104,0.5793607935077545,,5120,15,328531638,100,5.0,0.25,10,cpd
obesity,2,64,,1.2313319584607156,0.5787643478879437,,5120,15,787755760,100,5.0,0.25,10,cpd
obesity,2,64,,1.225676411641946,0.5826249590007938,,5120,15,4192420569,100,5.0,0.25,10,cpd
obesity,2,144,,1.2380853812001846,0.5741310177325463,,11520,14,2582264110,100,5.0,0.25,10,cpd
obesity,2,144,,1.2377725750514148,0.5743461848118511,,11520,14,1011906602,100,5.0,0.25,10,cpd
obesity,2,144,,1.2354346150170916,0.5759526540059433,,11520,14,1729841207,100,5.0,0.25,10,cpd
obesity,2,144,,1.235823269791362,0.575685810343038,,11520,14,3653141251,100,5.0,0.25,10,cpd
obesity,2,144,,1.2382251119098426,0.5740348848906514,,11520,14,826749499,100,5.0,0.25,10,cpd
obesity,2,144,,1.2387149172357637,0.5736978197706812,,11520,14,1399498030,100,5.0,0.25,10,cpd
obesity,2,144,,1.2369698065351398,0.5748981289763424,,11520,14,358916519,100,5.0,0.25,10,cpd
obesity,2,144,,1.236936015505061,0.5749213541736445,,11520,14,328531638,100,5.0,0.25,10,cpd
obesity,2,144,,1.2340336453045078,0.5769138390697995,,11520,14,787755760,100,5.0,0.25,10,cpd
obesity,2,144,,1.2376524383067158,0.574428807715483,,11520,14,4192420569,100,5.0,0.25,10,cpd
obesity,2,256,,1.2424717821585658,0.5711080578349378,,20480,13,2582264110,100,5.0,0.25,10,cpd
obesity,2,256,,1.2389928836736255,0.5735064747045535,,20480,13,1011906602,100,5.0,0.25,10,cpd
obesity,2,256,,1.2386343941140898,0.5737532418312783,,20480,13,1729841207,100,5.0,0.25,10,cpd
obesity,2,256,,1.241433145520942,0.571824817281921,,20480,14,3653141251,100,5.0,0.25,10,cpd
obesity,2,256,,1.240223939554156,0.5726585308523676,,20480,14,826749499,100,5.0,0.25,10,cpd
obesity,2,256,,1.2388810086897535,0.5735834917766036,,20480,13,1399498030,100,5.0,0.25,10,cpd
obesity,2,256,,1.2418409552310017,0.5715434607255533,,20480,13,358916519,100,5.0,0.25,10,cpd
obesity,2,256,,1.2395179540573884,0.5731449123851688,,20480,13,328531638,100,5.0,0.25,10,cpd
obesity,2,256,,1.241546535666124,0.5717465962942216,,20480,13,787755760,100,5.0,0.25,10,cpd
obesity,2,256,,1.2399279974259458,0.5728624508879137,,20480,13,4192420569,100,5.0,0.25,10,cpd
obesity,3,4,,1.2100313662974795,0.5932120544293973,,480,53,2582264110,100,5.0,0.25,10,cpd
obesity,3,4,,1.3630944181258609,0.4837896626486583,,480,53,1011906602,100,5.0,0.25,10,cpd
obesity,3,4,,1.1618766546817254,0.6249450775822256,,480,31,1729841207,100,5.0,0.25,10,cpd
obesity,3,4,,1.3544880388593872,0.49028763755004223,,480,53,3653141251,100,5.0,0.25,10,cpd
obesity,3,4,,1.2471046536032286,0.5679036297271332,,480,29,826749499,100,5.0,0.25,10,cpd
obesity,3,4,,1.2119988902272762,0.5918880958269873,,480,43,1399498030,100,5.0,0.25,10,cpd
obesity,3,4,,1.3836669989850543,0.4680902091478315,,480,51,358916519,100,5.0,0.25,10,cpd
obesity,3,4,,1.3782344108891327,0.4722588047681866,,480,26,328531638,100,5.0,0.25,10,cpd
obesity,3,4,,1.3329288590217854,0.506384532037559,,480,35,787755760,100,5.0,0.25,10,cpd
obesity,3,4,,1.2483954039748204,0.5670087294110333,,480,35,4192420569,100,5.0,0.25,10,cpd
obesity,3,8,,1.1859015671170363,0.6092741861543567,,960,27,2582264110,100,5.0,0.25,10,cpd
obesity,3,8,,1.237245996410644,0.5747082748025363,,960,23,1011906602,100,5.0,0.25,10,cpd
obesity,3,8,,1.175993781279867,0.615775663892919,,960,24,1729841207,100,5.0,0.25,10,cpd
obesity,3,8,,1.215582479986871,0.5894711500832011,,960,38,3653141251,100,5.0,0.25,10,cpd
obesity,3,8,,1.3075127389946077,0.5250294568935079,,960,31,826749499,100,5.0,0.25,10,cpd
obesity,3,8,,1.245768264529688,0.5688291967532743,,960,28,1399498030,100,5.0,0.25,10,cpd
obesity,3,8,,1.1724470786428582,0.6180897484510418,,960,27,358916519,100,5.0,0.25,10,cpd
obesity,3,8,,1.1109480398363276,0.6571040839981459,,960,31,328531638,100,5.0,0.25,10,cpd
obesity,3,8,,1.2599659770840919,0.5589452998768185,,960,32,787755760,100,5.0,0.25,10,cpd
obesity,3,8,,1.1382818365788165,0.640023267668615,,960,23,4192420569,100,5.0,0.25,10,cpd
obesity,3,12,,1.1029277419240506,0.6620371686530169,,1440,24,2582264110,100,5.0,0.25,10,cpd
obesity,3,12,,1.147653783076379,0.6340711896659257,,1440,32,1011906602,100,5.0,0.25,10,cpd
obesity,3,12,,1.1192596621390898,0.6519540994074786,,1440,24,1729841207,100,5.0,0.25,10,cpd
obesity,3,12,,1.094186815279841,0.6673727899287353,,1440,23,3653141251,100,5.0,0.25,10,cpd
obesity,3,12,,1.1611678470283384,0.6254025456093786,,1440,27,826749499,100,5.0,0.25,10,cpd
obesity,3,12,,1.108130881215435,0.6588409202182708,,1440,27,1399498030,100,5.0,0.25,10,cpd
obesity,3,12,,1.1337735709117729,0.6428690602128825,,1440,31,358916519,100,5.0,0.25,10,cpd
obesity,3,12,,1.1396938623611725,0.639129619577696,,1440,25,328531638,100,5.0,0.25,10,cpd
obesity,3,12,,1.2560156312177513,0.5617066240949864,,1440,25,787755760,100,5.0,0.25,10,cpd
obesity,3,12,,1.106082132871347,0.6601012460366711,,1440,26,4192420569,100,5.0,0.25,10,cpd
obesity,3,16,,1.1203498447713107,0.6512757610431741,,1920,21,2582264110,100,5.0,0.25,10,cpd
obesity,3,16,,1.1185006920046368,0.6524259593174533,,1920,21,1011906602,100,5.0,0.25,10,cpd
obesity,3,16,,1.164672753720236,0.62313773846379,,1920,21,1729841207,100,5.0,0.25,10,cpd
