dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
obesity,2,4,,1.2463411388493781,0.5684325523991075,,352,26,2582264110,100,5.0,0.25,10,cpd_type1
obesity,2,4,,1.2406164398936166,0.5723880019457278,,352,25,1011906602,100,5.0,0.25,10,cpd_type1
obesity,2,4,,1.2450981547690767,0.5692929331679766,,352,27,1729841207,100,5.0,0.25,10,cpd_type1
obesity,2,4,,1.2717789796831447,0.5506361791021543,,352,25,3653141251,100,5.0,0.25,10,cpd_type1
obesity,2,4,,1.2434497217213158,0.57043263732308,,352,25,826749499,100,5.0,0.25,10,cpd_type1
obesity,2,4,,1.234819423237805,0.5763748624937817,,352,22,1399498030,100,5.0,0.25,10,cpd_type1
obesity,2,4,,1.2420988125234713,0.5713655118298321,,352,25,358916519,100,5.0,0.25,10,cpd_type1
obesity,2,4,,1.2100674440896542,0.5931877968272307,,352,25,328531638,100,5.0,0.25,10,cpd_type1
obesity,2,4,,1.2567004732309637,0.5612285352209351,,352,21,787755760,100,5.0,0.25,10,cpd_type1
obesity,2,4,,1.2083020896999024,0.5943739188877898,,352,25,4192420569,100,5.0,0.25,10,cpd_type1
obesity,2,8,,1.2224003194854376,0.5848531681566919,,664,21,2582264110,100,5.0,0.25,10,cpd_type1
obesity,2,8,,1.2023545247218776,0.5983572771248715,,664,21,1011906602,100,5.0,0.25,10,cpd_type1
obesity,2,8,,1.2240158937317185,0.583755092948635,,664,21,1729841207,100,5.0,0.25,10,cpd_type1
obesity,2,8,,1.205018846491197,0.596575288431521,,664,21,3653141251,100,5.0,0.25,10,cpd_type1
obesity,2,8,,1.2044654526409526,0.5969457415438169,,664,21,826749499,100,5.0,0.25,10,cpd_type1
obesity,2,8,,1.215170336284788,0.5897494828161393,,664,21,1399498030,100,5.0,0.25,10,cpd_type1
obesity,2,8,,1.2203591208609255,0.5862384584331681,,664,21,358916519,100,5.0,0.25,10,cpd_type1
obesity,2,8,,1.2202510698192393,0.5863117243851468,,664,21,328531638,100,5.0,0.25,10,cpd_type1
obesity,2,8,,1.2030858047106048,0.597868565020415,,664,21,787755760,100,5.0,0.25,10,cpd_type1
obesity,2,8,,1.2040322889585213,0.5972355914065526,,664,21,4192420569,100,5.0,0.25,10,cpd_type1
obesity,2,12,,1.2125071666814737,0.591545723950227,,976,21,2582264110,100,5.0,0.25,10,cpd_type1
obesity,2,12,,1.2188440947108077,0.5872651569424399,,976,21,1011906602,100,5.0,0.25,10,cpd_type1
obesity,2,12,,1.2186812784940724,0.5873754178652056,,976,21,1729841207,100,5.0,0.25,10,cpd_type1
obesity,2,12,,1.2187932295011852,0.587299605000794,,976,21,3653141251,100,5.0,0.25,10,cpd_type1
obesity,2,12,,1.2096612762776264,0.5934608498579254,,976,21,826749499,100,5.0,0.25,10,cpd_type1
obesity,2,12,,1.2214812074704489,0.5854772239374887,,976,21,1399498030,100,5.0,0.25,10,cpd_type1
obesity,2,12,,1.2019171263813428,0.5986494470338148,,976,21,358916519,100,5.0,0.25,10,cpd_type1
obesity,2,12,,1.2201662025218831,0.5863692656336368,,976,21,328531638,100,5.0,0.25,10,cpd_type1
obesity,2,12,,1.2163821453320578,0.588930843389905,,976,21,787755760,100,5.0,0.25,10,cpd_type1
obesity,2,12,,1.2249301014882705,0.5831330807123007,,976,21,4192420569,100,5.0,0.25,10,cpd_type1
obesity,2,16,,1.2220808234888194,0.5850701517668148,,1288,20,2582264110,100,5.0,0.25,10,cpd_type1
obesity,2,16,,1.2316868476210574,0.5785214994686849,,1288,21,1011906602,100,5.0,0.25,10,cpd_type1
obesity,2,16,,1.2221411607562778,0.5850291784518142,,1288,21,1729841207,100,5.0,0.25,10,cpd_type1
obesity,2,16,,1.2334132654678225,0.5773391243093703,,1288,21,3653141251,100,5.0,0.25,10,cpd_type1
obesity,2,16,,1.2343339310049464,0.5767079092197815,,1288,21,826749499,100,5.0,0.25,10,cpd_type1
obesity,2,16,,1.21914616073138,0.5870605555155546,,1288,20,1399498030,100,5.0,0.25,10,cpd_type1
obesity,2,16,,1.228631072232308,0.58061025434655,,1288,21,358916519,100,5.0,0.25,10,cpd_type1
