dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
obesity,,4,,3.0447833862418663,-1.5756545886143485,,1160,193,42,100,5.0,0.25,40,tnml_sin-cos
obesity,,4,,2.900080618204453,-1.3366569656867697,,1160,198,43,100,5.0,0.25,40,tnml_sin-cos
obesity,,4,,2.799389216438036,-1.1772153579903422,,1160,204,44,100,5.0,0.25,40,tnml_sin-cos
obesity,,4,,2.9465628715234407,-1.412160730009877,,1160,185,45,100,5.0,0.25,40,tnml_sin-cos
obesity,,4,,2.974341523244015,-1.4578562927301761,,1160,192,46,100,5.0,0.25,40,tnml_sin-cos
obesity,,8,,2.75924667744142,-1.1152216113701576,,4392,193,42,100,5.0,0.25,40,tnml_sin-cos
obesity,,8,,2.7826927660448786,-1.1513215942825377,,4392,132,43,100,5.0,0.25,40,tnml_sin-cos
obesity,,8,,2.7458885179808656,-1.094790620447061,,4392,142,44,100,5.0,0.25,40,tnml_sin-cos
obesity,,8,,2.7406560524529833,-1.086814712996727,,4392,142,45,100,5.0,0.25,40,tnml_sin-cos
obesity,,8,,2.672001213143324,-0.9835726910171689,,4392,193,46,100,5.0,0.25,40,tnml_sin-cos
obesity,,12,,2.626252126859338,-0.916230078014864,,9480,132,42,100,5.0,0.25,40,tnml_sin-cos
obesity,,12,,2.526897223745398,-0.7739851295605509,,9480,127,43,100,5.0,0.25,40,tnml_sin-cos
obesity,,12,,2.650281665359925,-0.95145653561335,,9480,138,44,100,5.0,0.25,40,tnml_sin-cos
obesity,,12,,2.911525406060622,-1.3551359769713347,,9480,60,45,100,5.0,0.25,40,tnml_sin-cos
obesity,,12,,2.5849275025812175,-0.8563999715361739,,9480,193,46,100,5.0,0.25,40,tnml_sin-cos
obesity,,16,,2.5369005959340307,-0.7880584832867907,,16552,126,42,100,5.0,0.25,40,tnml_sin-cos
obesity,,16,,2.511623886422817,-0.7526049255683644,,16552,193,43,100,5.0,0.25,40,tnml_sin-cos
obesity,,16,,2.533880810329478,-0.7838042057542931,,16552,126,44,100,5.0,0.25,40,tnml_sin-cos
obesity,,16,,2.5170355446528307,-0.7601655454410243,,16552,193,45,100,5.0,0.25,40,tnml_sin-cos
obesity,,16,,2.537605005995138,-0.7890515858553955,,16552,125,46,100,5.0,0.25,40,tnml_sin-cos
