dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
obesity,3,8,,1.1271275213676124,0.6470437091198182,,3200,19,2582264110,100,5.0,0.25,10,tt_cumsum
obesity,3,8,,1.1265481044067083,0.647406500892852,,3200,21,1011906602,100,5.0,0.25,10,tt_cumsum
obesity,3,8,,1.1129255137943785,0.655882296486874,,3200,19,1729841207,100,5.0,0.25,10,tt_cumsum
obesity,3,8,,1.1238327787485014,0.6491041689291779,,3200,19,3653141251,100,5.0,0.25,10,tt_cumsum
obesity,3,8,,1.1064965964398226,0.6598464692162469,,3200,22,826749499,100,5.0,0.25,10,tt_cumsum
obesity,3,8,,1.1113269436487099,0.656870145557414,,3200,19,1399498030,100,5.0,0.25,10,tt_cumsum
obesity,3,8,,1.121850433964629,0.6503409775491078,,3200,21,358916519,100,5.0,0.25,10,tt_cumsum
obesity,3,8,,1.1368592363653092,0.6409224877952493,,3200,19,328531638,100,5.0,0.25,10,tt_cumsum
obesity,3,8,,1.1424687839947778,0.6373701890059457,,3200,20,787755760,100,5.0,0.25,10,tt_cumsum
obesity,3,8,,1.1453589951613263,0.635533110473743,,3200,19,4192420569,100,5.0,0.25,10,tt_cumsum
obesity,3,12,,1.1104103791768647,0.6574359033548872,,6720,19,2582264110,100,5.0,0.25,10,tt_cumsum
obesity,3,12,,1.114133509153045,0.6551348642737593,,6720,18,1011906602,100,5.0,0.25,10,tt_cumsum
obesity,3,12,,1.1101156264428387,0.6576177429787747,,6720,19,1729841207,100,5.0,0.25,10,tt_cumsum
obesity,3,12,,1.1159077343013228,0.6540356143493382,,6720,19,3653141251,100,5.0,0.25,10,tt_cumsum
obesity,3,12,,1.101559792603249,0.662874992030302,,6720,19,826749499,100,5.0,0.25,10,tt_cumsum
obesity,3,12,,1.099082326920967,0.6643897103808145,,6720,18,1399498030,100,5.0,0.25,10,tt_cumsum
obesity,3,12,,1.1176034378802944,0.6529833790075692,,6720,18,358916519,100,5.0,0.25,10,tt_cumsum
obesity,3,12,,1.1138615583510934,0.6553032011978681,,6720,19,328531638,100,5.0,0.25,10,tt_cumsum
obesity,3,12,,1.104933794243667,0.6608066479988299,,6720,19,787755760,100,5.0,0.25,10,tt_cumsum
