dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
obesity,2,4,,1.279038903669568,0.5454911676576819,,352,25,42,100,5.0,0.25,10,tt_cumsum_type1
obesity,2,4,,1.2604577482946588,0.5586009408449786,,352,22,43,100,5.0,0.25,10,tt_cumsum_type1
obesity,2,4,,1.252082598636159,0.564447231989075,,352,27,44,100,5.0,0.25,10,tt_cumsum_type1
obesity,2,4,,1.241229319097275,0.5719654068125901,,352,25,45,100,5.0,0.25,10,tt_cumsum_type1
obesity,2,4,,1.2009143766965753,0.5993188546818629,,352,24,46,100,5.0,0.25,10,tt_cumsum_type1
obesity,2,8,,1.2435858564193913,0.5703385728452259,,664,21,42,100,5.0,0.25,10,tt_cumsum_type1
obesity,2,8,,1.2524425312842586,0.5641967817481501,,664,21,43,100,5.0,0.25,10,tt_cumsum_type1
obesity,2,8,,1.2506624443164729,0.565434708940294,,664,21,44,100,5.0,0.25,10,tt_cumsum_type1
obesity,2,8,,1.2357293413540342,0.5757503076787875,,664,21,45,100,5.0,0.25,10,tt_cumsum_type1
obesity,2,8,,1.2311320477529588,0.5789011147133711,,664,21,46,100,5.0,0.25,10,tt_cumsum_type1
obesity,2,12,,1.2389923067028432,0.5735068719211136,,976,20,42,100,5.0,0.25,10,tt_cumsum_type1
obesity,2,12,,1.2295606324365826,0.5799754087814999,,976,20,43,100,5.0,0.25,10,tt_cumsum_type1
obesity,2,12,,1.240726440812413,0.572312169002535,,976,20,44,100,5.0,0.25,10,tt_cumsum_type1
obesity,2,12,,1.2413188747446977,0.5719036385359357,,976,20,45,100,5.0,0.25,10,tt_cumsum_type1
obesity,2,12,,1.2402299009256892,0.5726544226468888,,976,20,46,100,5.0,0.25,10,tt_cumsum_type1
obesity,2,16,,1.229668997485528,0.5799013693402257,,1288,20,42,100,5.0,0.25,10,tt_cumsum_type1
obesity,2,16,,1.2298741433326874,0.5797611874238103,,1288,20,43,100,5.0,0.25,10,tt_cumsum_type1
obesity,2,16,,1.229391981437497,0.5800906250740715,,1288,20,44,100,5.0,0.25,10,tt_cumsum_type1
obesity,2,16,,1.2300759664915484,0.5796232531740328,,1288,20,45,100,5.0,0.25,10,tt_cumsum_type1
obesity,2,16,,1.2424432007278974,0.5711277897990623,,1288,20,46,100,5.0,0.25,10,tt_cumsum_type1
