dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
obesity,3,8,0.25,1.1271275213676097,0.6470437091198199,,3200,19,2582264110,100,5.0,0.25,10,tt_lin
obesity,3,8,0.25,1.1265481044066907,0.6474065008928629,,3200,21,1011906602,100,5.0,0.25,10,tt_lin
obesity,3,8,0.25,1.1129255137943785,0.655882296486874,,3200,19,1729841207,100,5.0,0.25,10,tt_lin
obesity,3,8,0.25,1.1238327787485027,0.6491041689291769,,3200,19,3653141251,100,5.0,0.25,10,tt_lin
obesity,3,8,0.25,1.1064965964398275,0.6598464692162438,,3200,22,826749499,100,5.0,0.25,10,tt_lin
obesity,3,8,0.25,1.1113269436487077,0.6568701455574153,,3200,19,1399498030,100,5.0,0.25,10,tt_lin
obesity,3,8,0.25,1.1218504339646294,0.6503409775491076,,3200,21,358916519,100,5.0,0.25,10,tt_lin
obesity,3,8,0.25,1.1368592363653098,0.6409224877952489,,3200,19,328531638,100,5.0,0.25,10,tt_lin
obesity,3,8,0.25,1.142468783994772,0.6373701890059493,,3200,20,787755760,100,5.0,0.25,10,tt_lin
obesity,3,8,0.25,1.1453589951613257,0.6355331104737434,,3200,19,4192420569,100,5.0,0.25,10,tt_lin
obesity,3,8,0.5,1.1271275213676097,0.6470437091198199,,3200,19,2582264110,100,5.0,0.25,10,tt_lin
obesity,3,8,0.5,1.1265481044066907,0.6474065008928629,,3200,21,1011906602,100,5.0,0.25,10,tt_lin
obesity,3,8,0.5,1.1129255137943785,0.655882296486874,,3200,19,1729841207,100,5.0,0.25,10,tt_lin
obesity,3,8,0.5,1.1238327787485027,0.6491041689291769,,3200,19,3653141251,100,5.0,0.25,10,tt_lin
obesity,3,8,0.5,1.1064965964398275,0.6598464692162438,,3200,22,826749499,100,5.0,0.25,10,tt_lin
obesity,3,8,0.5,1.1113269436487077,0.6568701455574153,,3200,19,1399498030,100,5.0,0.25,10,tt_lin
obesity,3,8,0.5,1.1218504339646294,0.6503409775491076,,3200,21,358916519,100,5.0,0.25,10,tt_lin
obesity,3,8,0.5,1.1368592363653098,0.6409224877952489,,3200,19,328531638,100,5.0,0.25,10,tt_lin
obesity,3,8,0.5,1.142468783994772,0.6373701890059493,,3200,20,787755760,100,5.0,0.25,10,tt_lin
obesity,3,8,0.5,1.1453589951613257,0.6355331104737434,,3200,19,4192420569,100,5.0,0.25,10,tt_lin
obesity,3,8,0.75,1.1271275213676097,0.6470437091198199,,3200,19,2582264110,100,5.0,0.25,10,tt_lin
obesity,3,8,0.75,1.1265481044066907,0.6474065008928629,,3200,21,1011906602,100,5.0,0.25,10,tt_lin
obesity,3,8,0.75,1.1129255137943785,0.655882296486874,,3200,19,1729841207,100,5.0,0.25,10,tt_lin
obesity,3,8,0.75,1.1238327787485027,0.6491041689291769,,3200,19,3653141251,100,5.0,0.25,10,tt_lin
obesity,3,8,0.75,1.1064965964398275,0.6598464692162438,,3200,22,826749499,100,5.0,0.25,10,tt_lin
obesity,3,8,0.75,1.1113269436487077,0.6568701455574153,,3200,19,1399498030,100,5.0,0.25,10,tt_lin
obesity,3,8,0.75,1.1218504339646294,0.6503409775491076,,3200,21,358916519,100,5.0,0.25,10,tt_lin
obesity,3,8,0.75,1.1368592363653098,0.6409224877952489,,3200,19,328531638,100,5.0,0.25,10,tt_lin
obesity,3,8,0.75,1.142468783994772,0.6373701890059493,,3200,20,787755760,100,5.0,0.25,10,tt_lin
obesity,3,8,0.75,1.1453589951613257,0.6355331104737434,,3200,19,4192420569,100,5.0,0.25,10,tt_lin
obesity,3,12,0.25,1.1104103791768676,0.6574359033548856,,6720,19,2582264110,100,5.0,0.25,10,tt_lin
obesity,3,12,0.25,1.1141335091530469,0.6551348642737582,,6720,18,1011906602,100,5.0,0.25,10,tt_lin
obesity,3,12,0.25,1.1101156264428425,0.6576177429787724,,6720,19,1729841207,100,5.0,0.25,10,tt_lin
obesity,3,12,0.25,1.1159077343013215,0.6540356143493391,,6720,19,3653141251,100,5.0,0.25,10,tt_lin
obesity,3,12,0.25,1.1015597926032505,0.6628749920303011,,6720,19,826749499,100,5.0,0.25,10,tt_lin
