dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
obesity,2,4,0.25,1.2778121995051015,0.5463625727549672,,352,22,42,100,5.0,0.25,10,tt_lin_type1
obesity,2,4,0.25,1.2965150886785586,0.5329859253639084,,352,22,43,100,5.0,0.25,10,tt_lin_type1
obesity,2,4,0.25,1.2642829307011254,0.5559177983001296,,352,22,44,100,5.0,0.25,10,tt_lin_type1
obesity,2,4,0.25,1.2712284859049876,0.5510251121692809,,352,22,45,100,5.0,0.25,10,tt_lin_type1
obesity,2,4,0.25,1.2396996312014446,0.5730197742276146,,352,27,46,100,5.0,0.25,10,tt_lin_type1
obesity,2,4,0.5,1.241008418484236,0.5721177472202994,,352,27,42,100,5.0,0.25,10,tt_lin_type1
obesity,2,4,0.5,1.2481149174715018,0.5672032744465587,,352,26,43,100,5.0,0.25,10,tt_lin_type1
obesity,2,4,0.5,1.2647472956188939,0.5555915199629557,,352,27,44,100,5.0,0.25,10,tt_lin_type1
obesity,2,4,0.5,1.2392864646200696,0.573304334387466,,352,27,45,100,5.0,0.25,10,tt_lin_type1
obesity,2,4,0.5,1.256854657846666,0.5611208628499598,,352,27,46,100,5.0,0.25,10,tt_lin_type1
obesity,2,4,0.75,1.2586664170519501,0.5598546600916156,,352,25,42,100,5.0,0.25,10,tt_lin_type1
obesity,2,4,0.75,1.2859099656190398,0.5405947619580013,,352,22,43,100,5.0,0.25,10,tt_lin_type1
obesity,2,4,0.75,1.2552028267086779,0.5622737055141989,,352,25,44,100,5.0,0.25,10,tt_lin_type1
obesity,2,4,0.75,1.281956263677934,0.543415424558694,,352,20,45,100,5.0,0.25,10,tt_lin_type1
obesity,2,4,0.75,1.3073926805302638,0.5251166784008373,,352,22,46,100,5.0,0.25,10,tt_lin_type1
obesity,2,8,0.25,1.2478504476258314,0.5673866703096447,,664,22,42,100,5.0,0.25,10,tt_lin_type1
obesity,2,8,0.25,1.2556548546538826,0.5619583777582831,,664,22,43,100,5.0,0.25,10,tt_lin_type1
obesity,2,8,0.25,1.2448983660636501,0.5694311447670185,,664,21,44,100,5.0,0.25,10,tt_lin_type1
obesity,2,8,0.25,1.245690317958956,0.5688831509838481,,664,21,45,100,5.0,0.25,10,tt_lin_type1
obesity,2,8,0.25,1.240078465422139,0.5727587764311184,,664,21,46,100,5.0,0.25,10,tt_lin_type1
obesity,2,8,0.5,1.2493752560989173,0.5663287622847265,,664,22,42,100,5.0,0.25,10,tt_lin_type1
obesity,2,8,0.5,1.2385482064293707,0.5738125586777025,,664,21,43,100,5.0,0.25,10,tt_lin_type1
obesity,2,8,0.5,1.256413029318311,0.5614292318314296,,664,20,44,100,5.0,0.25,10,tt_lin_type1
obesity,2,8,0.5,1.2532674871748948,0.5636224850016758,,664,21,45,100,5.0,0.25,10,tt_lin_type1
