dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
obesity,3,8,,1.123635066769508,0.649227621827024,,3784,26,2582264110,100,5.0,0.25,10,tt_type1
obesity,3,8,,1.117642842210412,0.6529589084340476,,3784,26,1011906602,100,5.0,0.25,10,tt_type1
obesity,3,8,,1.12145113928876,0.6505898380660116,,3784,32,1729841207,100,5.0,0.25,10,tt_type1
obesity,3,8,,1.1153118770737775,0.6544049824179983,,3784,26,3653141251,100,5.0,0.25,10,tt_type1
obesity,3,8,,1.120232923573838,0.6513485438943902,,3784,27,826749499,100,5.0,0.25,10,tt_type1
obesity,3,8,,1.0713550363966748,0.6811094499510523,,3784,27,1399498030,100,5.0,0.25,10,tt_type1
obesity,3,8,,1.0901537127061165,0.6698203560308494,,3784,27,358916519,100,5.0,0.25,10,tt_type1
obesity,3,8,,1.1050078310999263,0.6607611907036912,,3784,30,328531638,100,5.0,0.25,10,tt_type1
obesity,3,8,,1.1109052888707722,0.657130473800217,,3784,26,787755760,100,5.0,0.25,10,tt_type1
obesity,3,8,,1.0987735351090169,0.6645782661399944,,3784,27,4192420569,100,5.0,0.25,10,tt_type1
obesity,3,12,,1.1163493229918426,0.6537617490766103,,7528,27,2582264110,100,5.0,0.25,10,tt_type1
obesity,3,12,,1.1346866161688045,0.6422936225481304,,7528,26,1011906602,100,5.0,0.25,10,tt_type1
obesity,3,12,,1.106538939634204,0.6598204348611318,,7528,26,1729841207,100,5.0,0.25,10,tt_type1
obesity,3,12,,1.0830802672856625,0.6740911863013945,,7528,26,3653141251,100,5.0,0.25,10,tt_type1
obesity,3,12,,1.110264892952177,0.6575256631286654,,7528,26,826749499,100,5.0,0.25,10,tt_type1
obesity,3,12,,1.1155244369966104,0.6542732405225274,,7528,26,1399498030,100,5.0,0.25,10,tt_type1
obesity,3,12,,1.0813352074780807,0.6751405493439464,,7528,32,358916519,100,5.0,0.25,10,tt_type1
obesity,3,12,,1.1054166372227718,0.6605101362734057,,7528,26,328531638,100,5.0,0.25,10,tt_type1
obesity,3,12,,1.1107637348351957,0.6572178466364158,,7528,26,787755760,100,5.0,0.25,10,tt_type1
obesity,3,12,,1.0945387819326058,0.6671587633774445,,7528,27,4192420569,100,5.0,0.25,10,tt_type1
obesity,3,16,,1.0917911102720392,0.6688277595687356,,12520,26,2582264110,100,5.0,0.25,10,tt_type1
obesity,3,16,,1.087984310089248,0.6711331614917253,,12520,26,1011906602,100,5.0,0.25,10,tt_type1
obesity,3,16,,1.1071235801439008,0.6594608717456611,,12520,26,1729841207,100,5.0,0.25,10,tt_type1
obesity,3,16,,1.1194336305862511,0.6518458962576055,,12520,26,3653141251,100,5.0,0.25,10,tt_type1
obesity,3,16,,1.1021829782545294,0.6624934405310361,,12520,24,826749499,100,5.0,0.25,10,tt_type1
obesity,3,16,,1.1049009658078361,0.6608268030919784,,12520,26,1399498030,100,5.0,0.25,10,tt_type1
obesity,3,16,,1.095696164327643,0.6664544881791272,,12520,26,358916519,100,5.0,0.25,10,tt_type1
obesity,3,16,,1.0941259095237397,0.6674098189764446,,12520,26,328531638,100,5.0,0.25,10,tt_type1
