dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
popularity,2,4,,15216.243236283275,-0.0005355990005317945,,523,19,2582264110,100,5.0,0.25,10,cpd_type1
popularity,2,4,,15230.755557939456,-0.0024450083605611628,,523,19,1011906602,100,5.0,0.25,10,cpd_type1
popularity,2,4,,15213.43626662696,-0.00016649159594628316,,523,19,1729841207,100,5.0,0.25,10,cpd_type1
popularity,2,4,,15217.917433911447,-0.0007557829780797665,,523,16,3653141251,100,5.0,0.25,10,cpd_type1
popularity,2,4,,15235.079875642039,-0.0030143177504122765,,523,19,826749499,100,5.0,0.25,10,cpd_type1
popularity,2,4,,15215.562156018641,-0.0004460328981508166,,523,19,1399498030,100,5.0,0.25,10,cpd_type1
popularity,2,4,,15223.842776328509,-0.0015352556163801268,,523,16,358916519,100,5.0,0.25,10,cpd_type1
popularity,2,4,,15214.054581192293,-0.00024779210764402926,,523,19,328531638,100,5.0,0.25,10,cpd_type1
popularity,2,4,,15219.184273673653,-0.0009224089298287552,,523,19,787755760,100,5.0,0.25,10,cpd_type1
popularity,2,4,,15223.271697542863,-0.0014601175821364887,,523,17,4192420569,100,5.0,0.25,10,cpd_type1
popularity,2,8,,15206.42585791553,0.0007550569986547462,,987,16,2582264110,100,5.0,0.25,10,cpd_type1
popularity,2,8,,15214.091852840129,-0.000252692961512313,,987,16,1011906602,100,5.0,0.25,10,cpd_type1
popularity,2,8,,15207.313373787154,0.0006384126753921082,,987,16,1729841207,100,5.0,0.25,10,cpd_type1
popularity,2,8,,15206.148794956605,0.0007914693997054245,,987,16,3653141251,100,5.0,0.25,10,cpd_type1
popularity,2,8,,15208.083590622782,0.0005371791973994844,,987,16,826749499,100,5.0,0.25,10,cpd_type1
popularity,2,8,,15197.452139556812,0.0019340713123857656,,987,16,1399498030,100,5.0,0.25,10,cpd_type1
popularity,2,8,,15204.563752499364,0.0009997674272191892,,987,16,358916519,100,5.0,0.25,10,cpd_type1
popularity,2,8,,15225.111333552344,-0.0017021724370258617,,987,16,328531638,100,5.0,0.25,10,cpd_type1
popularity,2,8,,15210.240878416238,0.00025360870603219343,,987,16,787755760,100,5.0,0.25,10,cpd_type1
popularity,2,8,,15216.577658304906,-0.0005795789513594052,,987,16,4192420569,100,5.0,0.25,10,cpd_type1
popularity,2,12,,15204.205600809033,0.0010468308502477042,,1451,16,2582264110,100,5.0,0.25,10,cpd_type1
popularity,2,12,,15213.920490477949,-0.00023016060130331972,,1451,16,1011906602,100,5.0,0.25,10,cpd_type1
popularity,2,12,,15201.117704391241,0.0014525542078247522,,1451,16,1729841207,100,5.0,0.25,10,cpd_type1
popularity,2,12,,15196.66613325929,0.0020373078037961845,,1451,16,3653141251,100,5.0,0.25,10,cpd_type1
popularity,2,12,,15222.308856159432,-0.0013334409030534289,,1451,15,826749499,100,5.0,0.25,10,cpd_type1
popularity,2,12,,15212.717211597568,-7.194914837560518e-05,,1451,16,1399498030,100,5.0,0.25,10,cpd_type1
popularity,2,12,,15220.789559656876,-0.001133570240916093,,1451,16,358916519,100,5.0,0.25,10,cpd_type1
popularity,2,12,,15218.074981123624,-0.0007765042233489616,,1451,16,328531638,100,5.0,0.25,10,cpd_type1
popularity,2,12,,15215.310364295816,-0.00041292180526553146,,1451,16,787755760,100,5.0,0.25,10,cpd_type1
popularity,2,12,,15212.951549025705,-0.00010275969855655376,,1451,16,4192420569,100,5.0,0.25,10,cpd_type1
popularity,2,16,,15213.815221155619,-0.00021631891112638968,,1915,15,2582264110,100,5.0,0.25,10,cpd_type1
popularity,2,16,,15201.517832062926,0.001399985478234833,,1915,16,1011906602,100,5.0,0.25,10,cpd_type1
popularity,2,16,,15215.791114968939,-0.0004761419134593492,,1915,15,1729841207,100,5.0,0.25,10,cpd_type1
popularity,2,16,,15212.130587319289,5.1777929702678804e-06,,1915,15,3653141251,100,5.0,0.25,10,cpd_type1
popularity,2,16,,15205.882097560601,0.0008265189023570763,,1915,15,826749499,100,5.0,0.25,10,cpd_type1
popularity,2,16,,15210.645242010305,0.00020045157054648932,,1915,16,1399498030,100,5.0,0.25,10,cpd_type1
popularity,2,16,,15214.672598178546,-0.00032905679328965043,,1915,15,358916519,100,5.0,0.25,10,cpd_type1
popularity,2,16,,15200.622117526646,0.0015176624374440006,,1915,16,328531638,100,5.0,0.25,10,cpd_type1
popularity,2,16,,15209.972300367748,0.0002889148614401149,,1915,15,787755760,100,5.0,0.25,10,cpd_type1
popularity,2,16,,15220.319020595867,-0.0010716726413446676,,1915,15,4192420569,100,5.0,0.25,10,cpd_type1
popularity,2,64,,15234.471941854496,-0.0029342716814440006,,7483,13,2582264110,100,5.0,0.25,10,cpd_type1
popularity,2,64,,15219.978850734682,-0.0010269257991746272,,7483,13,1011906602,100,5.0,0.25,10,cpd_type1
popularity,2,64,,15219.486469750478,-0.0009621584752390611,,7483,13,1729841207,100,5.0,0.25,10,cpd_type1
popularity,2,64,,15224.826245045158,-0.0016646592659153026,,7483,13,3653141251,100,5.0,0.25,10,cpd_type1
popularity,2,64,,15216.837241029853,-0.000613717427813798,,7483,13,826749499,100,5.0,0.25,10,cpd_type1
popularity,2,64,,15228.623071963897,-0.0021643196892966454,,7483,13,1399498030,100,5.0,0.25,10,cpd_type1
popularity,2,64,,15220.635828086028,-0.0011133472349351692,,7483,13,358916519,100,5.0,0.25,10,cpd_type1
popularity,2,64,,15224.585631615764,-0.0016329988633074777,,7483,13,328531638,100,5.0,0.25,10,cpd_type1
popularity,2,64,,15221.412717075771,-0.0012155471423145325,,7483,13,787755760,100,5.0,0.25,10,cpd_type1
popularity,2,64,,15220.316268148788,-0.0010713105731714467,,7483,13,4192420569,100,5.0,0.25,10,cpd_type1
popularity,2,144,,15204.605559714495,0.0009942736194727964,,16763,13,2582264110,100,5.0,0.25,10,cpd_type1
popularity,2,144,,15203.374187592812,0.0011560795911146338,,16763,13,1011906602,100,5.0,0.25,10,cpd_type1
popularity,2,144,,15205.854419311458,0.0008301563562316261,,16763,13,1729841207,100,5.0,0.25,10,cpd_type1
