dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
popularity,1,4,,15657.71902884194,-0.059435820145498974,,1768,60,2582264110,100,5.0,0.25,59,tnml_polynomial
popularity,1,4,,15657.722979734162,-0.05943635479773812,,1768,69,1011906602,100,5.0,0.25,59,tnml_polynomial
popularity,1,4,,15657.56231108601,-0.05941461251326707,,1768,63,1729841207,100,5.0,0.25,59,tnml_polynomial
popularity,1,4,,15657.72324751491,-0.05943639103502041,,1768,60,3653141251,100,5.0,0.25,59,tnml_polynomial
popularity,1,4,,15657.72224022921,-0.059436254724641424,,1768,78,826749499,100,5.0,0.25,59,tnml_polynomial
popularity,1,4,,15657.723175295514,-0.05943638126197048,,1768,76,1399498030,100,5.0,0.25,59,tnml_polynomial
popularity,1,4,,15657.722764380533,-0.059436325655127575,,1768,67,358916519,100,5.0,0.25,59,tnml_polynomial
popularity,1,4,,15657.721683068406,-0.05943617932716849,,1768,60,328531638,100,5.0,0.25,59,tnml_polynomial
popularity,1,4,,15657.72254956994,-0.05943629658600358,,1768,64,787755760,100,5.0,0.25,59,tnml_polynomial
popularity,1,4,,15657.723265497923,-0.05943639346856178,,1768,60,4192420569,100,5.0,0.25,59,tnml_polynomial
popularity,1,8,,15657.722710828279,-0.05943631840819852,,6824,63,2582264110,100,5.0,0.25,59,tnml_polynomial
popularity,1,8,,15657.457560143763,-0.059400437342768564,,6824,64,1011906602,100,5.0,0.25,59,tnml_polynomial
popularity,1,8,,15657.723247284044,-0.05943639100377829,,6824,74,1729841207,100,5.0,0.25,59,tnml_polynomial
popularity,1,8,,15657.723207781308,-0.059436385658092394,,6824,60,3653141251,100,5.0,0.25,59,tnml_polynomial
popularity,1,8,,15657.697673094155,-0.059432930193431543,,6824,66,826749499,100,5.0,0.25,59,tnml_polynomial
popularity,1,8,,15657.718213229637,-0.05943570977324564,,6824,60,1399498030,100,5.0,0.25,59,tnml_polynomial
popularity,1,8,,15657.723133792892,-0.05943637564565085,,6824,66,358916519,100,5.0,0.25,59,tnml_polynomial
popularity,1,8,,15657.723214599535,-0.05943638658076522,,6824,63,328531638,100,5.0,0.25,59,tnml_polynomial
popularity,1,8,,15657.722985633798,-0.059436355596103274,,6824,60,787755760,100,5.0,0.25,59,tnml_polynomial
popularity,1,8,,15657.723213137135,-0.05943638638286686,,6824,69,4192420569,100,5.0,0.25,59,tnml_polynomial
popularity,1,12,,15657.723202959496,-0.05943638500558346,,14952,67,2582264110,100,5.0,0.25,59,tnml_polynomial
popularity,1,12,,15657.720873319902,-0.05943606974841176,,14952,63,1011906602,100,5.0,0.25,59,tnml_polynomial
popularity,1,12,,15657.72106025991,-0.05943609504596159,,14952,62,1729841207,100,5.0,0.25,59,tnml_polynomial
popularity,1,12,,15657.72326023784,-0.05943639275674384,,14952,60,3653141251,100,5.0,0.25,59,tnml_polynomial
