dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
popularity,,4,,15657.153639445507,-0.05935931053855281,,1768,79,2582264110,100,5.0,0.25,59,tnml_sin-cos
popularity,,4,,15657.474296675522,-0.0594027021674981,,1768,78,1011906602,100,5.0,0.25,59,tnml_sin-cos
popularity,,4,,15657.18378142555,-0.05936338934095442,,1768,66,1729841207,100,5.0,0.25,59,tnml_sin-cos
popularity,,4,,15656.951448493763,-0.05933195033130656,,1768,84,3653141251,100,5.0,0.25,59,tnml_sin-cos
popularity,,4,,15657.680020933067,-0.059430541429694284,,1768,77,826749499,100,5.0,0.25,59,tnml_sin-cos
popularity,,4,,15657.09548288406,-0.05935144083479482,,1768,86,1399498030,100,5.0,0.25,59,tnml_sin-cos
popularity,,4,,15657.009567761117,-0.05933981491609619,,1768,81,358916519,100,5.0,0.25,59,tnml_sin-cos
popularity,,4,,15656.838677478565,-0.05931669046291588,,1768,77,328531638,100,5.0,0.25,59,tnml_sin-cos
popularity,,4,,15657.500094153293,-0.05940619314435125,,1768,77,787755760,100,5.0,0.25,59,tnml_sin-cos
popularity,,4,,15657.169942089546,-0.05936151660577749,,1768,84,4192420569,100,5.0,0.25,59,tnml_sin-cos
popularity,,8,,15656.276196524994,-0.05924057870480004,,6824,100,2582264110,100,5.0,0.25,59,tnml_sin-cos
popularity,,8,,15644.867760658339,-0.0576974435091715,,6824,87,1011906602,100,5.0,0.25,59,tnml_sin-cos
popularity,,8,,15657.316442532307,-0.05938134108975168,,6824,105,1729841207,100,5.0,0.25,59,tnml_sin-cos
popularity,,8,,15657.558568419201,-0.05941410604420705,,6824,77,3653141251,100,5.0,0.25,59,tnml_sin-cos
popularity,,8,,15652.243283608661,-0.058694947704642786,,6824,81,826749499,100,5.0,0.25,59,tnml_sin-cos
popularity,,8,,15657.488229510882,-0.059404587591636915,,6824,96,1399498030,100,5.0,0.25,59,tnml_sin-cos
popularity,,8,,15656.0688124676,-0.05921251735083133,,6824,73,358916519,100,5.0,0.25,59,tnml_sin-cos
popularity,,8,,15657.576990507356,-0.05941659897839591,,6824,100,328531638,100,5.0,0.25,59,tnml_sin-cos
popularity,,8,,15656.107607212687,-0.05921776668015011,,6824,71,787755760,100,5.0,0.25,59,tnml_sin-cos
popularity,,8,,15651.587657396993,-0.058606258357278396,,6824,102,4192420569,100,5.0,0.25,59,tnml_sin-cos
popularity,,12,,15657.013805787177,-0.059340388398577915,,14952,149,2582264110,100,5.0,0.25,59,tnml_sin-cos
popularity,,12,,15656.959984058061,-0.05933310534522729,,14952,121,1011906602,100,5.0,0.25,59,tnml_sin-cos
popularity,,12,,15649.77303409089,-0.05836080591206172,,14952,103,1729841207,100,5.0,0.25,59,tnml_sin-cos
popularity,,12,,15656.414308097921,-0.05925926693255712,,14952,109,3653141251,100,5.0,0.25,59,tnml_sin-cos
popularity,,12,,15656.933403377405,-0.05932950850764085,,14952,84,826749499,100,5.0,0.25,59,tnml_sin-cos
popularity,,12,,15657.648898724254,-0.059426329849725956,,14952,174,1399498030,100,5.0,0.25,59,tnml_sin-cos
popularity,,12,,15657.403242704117,-0.05939308700261492,,14952,124,358916519,100,5.0,0.25,59,tnml_sin-cos
popularity,,12,,15656.911508769263,-0.059326545783374485,,14952,107,328531638,100,5.0,0.25,59,tnml_sin-cos
popularity,,12,,15657.54803159935,-0.05941268017033563,,14952,60,787755760,100,5.0,0.25,59,tnml_sin-cos
popularity,,12,,15656.67558268347,-0.05929462111133388,,14952,108,4192420569,100,5.0,0.25,59,tnml_sin-cos
popularity,,16,,15653.406597026777,-0.05885232320457545,,26280,80,2582264110,100,5.0,0.25,59,tnml_sin-cos
popularity,,16,,15655.229000999314,-0.05909888538203001,,26280,66,1011906602,100,5.0,0.25,59,tnml_sin-cos
popularity,,16,,15656.984642430942,-0.059336442065933026,,26280,106,1729841207,100,5.0,0.25,59,tnml_sin-cos
popularity,,16,,15656.372645129099,-0.05925362939305101,,26280,64,3653141251,100,5.0,0.25,59,tnml_sin-cos
popularity,,16,,15619.866682592128,-0.054319665204788814,,26280,96,826749499,100,5.0,0.25,59,tnml_sin-cos
popularity,,16,,15655.84074823877,-0.05918165817036325,,26280,66,1399498030,100,5.0,0.25,59,tnml_sin-cos
popularity,,16,,15645.299623232057,-0.05775583789788197,,26280,80,358916519,100,5.0,0.25,59,tnml_sin-cos
popularity,,16,,15656.61059206544,-0.05928582689843043,,26280,103,328531638,100,5.0,0.25,59,tnml_sin-cos
popularity,,16,,15656.613498161407,-0.05928622013635865,,26280,106,787755760,100,5.0,0.25,59,tnml_sin-cos
popularity,,16,,15650.889518477741,-0.058511822219226906,,26280,77,4192420569,100,5.0,0.25,59,tnml_sin-cos
