dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
popularity,2,4,,15248.53843246643,-0.0047872113374507475,,472,14,42,100,5.0,0.25,10,tt_cumsum
popularity,2,4,,15209.508825377128,0.00034983989368120305,,472,14,43,100,5.0,0.25,10,tt_cumsum
popularity,2,4,,15213.802446625223,-0.00021463921563680266,,472,16,44,100,5.0,0.25,10,tt_cumsum
popularity,2,4,,15196.097153231929,0.0021120360639304003,,472,16,45,100,5.0,0.25,10,tt_cumsum
popularity,2,4,,15233.603121960632,-0.0028198805290937656,,472,15,46,100,5.0,0.25,10,tt_cumsum
popularity,2,8,,15208.296712806268,0.0005091665697818382,,944,14,42,100,5.0,0.25,10,tt_cumsum
popularity,2,8,,15196.225673224557,0.002095156848852864,,944,14,43,100,5.0,0.25,10,tt_cumsum
popularity,2,8,,15204.301341875564,0.001034249970264356,,944,14,44,100,5.0,0.25,10,tt_cumsum
popularity,2,8,,15209.572219299203,0.000341506701972194,,944,14,45,100,5.0,0.25,10,tt_cumsum
popularity,2,8,,15193.326741113146,0.0024758543359505447,,944,14,46,100,5.0,0.25,10,tt_cumsum
popularity,3,4,,15656.316007634787,-0.05924596563028106,,1416,12,42,100,5.0,0.25,10,tt_cumsum
popularity,3,4,,15655.954634775848,-0.059197068006457965,,1416,12,43,100,5.0,0.25,10,tt_cumsum
popularity,3,4,,15423.170066610324,-0.02793334983950091,,1416,26,44,100,5.0,0.25,10,tt_cumsum
popularity,3,4,,15657.05540181921,-0.059346017111154836,,1416,11,45,100,5.0,0.25,10,tt_cumsum
popularity,3,4,,15511.518940577187,-0.03974374515409651,,1416,21,46,100,5.0,0.25,10,tt_cumsum
popularity,3,8,,15656.954990202525,-0.05933242958752505,,4720,11,42,100,5.0,0.25,10,tt_cumsum
popularity,3,8,,15657.399102947931,-0.059392526803910606,,4720,11,43,100,5.0,0.25,10,tt_cumsum
popularity,3,8,,15657.021078543396,-0.059341372535946846,,4720,11,44,100,5.0,0.25,10,tt_cumsum
popularity,3,8,,15656.380790975287,-0.05925473163040551,,4720,12,45,100,5.0,0.25,10,tt_cumsum
popularity,3,8,,15657.484701128249,-0.05940411012241942,,4720,11,46,100,5.0,0.25,10,tt_cumsum
popularity,4,4,,15656.17452336573,-0.0592268211567073,,2360,16,42,100,5.0,0.25,10,tt_cumsum
popularity,4,4,,15656.424635395428,-0.05926066435204014,,2360,12,43,100,5.0,0.25,10,tt_cumsum
popularity,4,4,,15656.109157857552,-0.05921797649867133,,2360,13,44,100,5.0,0.25,10,tt_cumsum
popularity,4,4,,15656.481947187616,-0.05926841940973637,,2360,15,45,100,5.0,0.25,10,tt_cumsum
popularity,4,4,,15656.61934326224,-0.059287011065498385,,2360,12,46,100,5.0,0.25,10,tt_cumsum
popularity,4,8,,15656.994492107146,-0.05933777490548886,,8496,12,42,100,5.0,0.25,10,tt_cumsum
popularity,4,8,,15656.352689020008,-0.059250929078234815,,8496,13,43,100,5.0,0.25,10,tt_cumsum
popularity,4,8,,15656.116016218008,-0.05921890450705458,,8496,12,44,100,5.0,0.25,10,tt_cumsum
popularity,4,8,,15657.433711700802,-0.059397210122568156,,8496,12,45,100,5.0,0.25,10,tt_cumsum
popularity,4,8,,15657.286898232074,-0.059377343131227,,8496,12,46,100,5.0,0.25,10,tt_cumsum
popularity,5,4,,15657.721767369889,-0.05943619073521922,,3304,11,42,100,5.0,0.25,10,tt_cumsum
popularity,5,4,,15657.708973605915,-0.05943445942702086,,3304,11,43,100,5.0,0.25,10,tt_cumsum
popularity,5,4,,15657.722889727129,-0.059436342617586346,,3304,11,44,100,5.0,0.25,10,tt_cumsum
popularity,5,4,,15657.714527336771,-0.059435210982041076,,3304,11,45,100,5.0,0.25,10,tt_cumsum
popularity,5,4,,15657.720665263363,-0.05943604159327953,,3304,11,46,100,5.0,0.25,10,tt_cumsum
