dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
popularity,2,4,0.25,15212.335556440326,-2.1770363890283306e-05,,472,16,42,100,5.0,0.25,10,tt_lin
popularity,2,4,0.25,15206.642665462612,0.0007265630722760319,,472,16,43,100,5.0,0.25,10,tt_lin
popularity,2,4,0.25,15226.744227435787,-0.0019170491663431655,,472,16,44,100,5.0,0.25,10,tt_lin
popularity,2,4,0.25,15214.23298099538,-0.000271250029976855,,472,15,45,100,5.0,0.25,10,tt_lin
popularity,2,4,0.25,15206.033093008615,0.0008066750819812896,,472,16,46,100,5.0,0.25,10,tt_lin
popularity,2,4,0.5,15215.614876622707,-0.0004529658277432347,,472,14,42,100,5.0,0.25,10,tt_lin
popularity,2,4,0.5,15216.127967481938,-0.0005204401862877184,,472,14,43,100,5.0,0.25,10,tt_lin
popularity,2,4,0.5,15236.121251663824,-0.0031514421720548746,,472,14,44,100,5.0,0.25,10,tt_lin
popularity,2,4,0.5,15232.170361212027,-0.0026312536646846407,,472,16,45,100,5.0,0.25,10,tt_lin
popularity,2,4,0.5,15220.750965752823,-0.0011284932895772037,,472,14,46,100,5.0,0.25,10,tt_lin
popularity,2,4,0.75,15190.227072289726,0.002882832891831444,,472,16,42,100,5.0,0.25,10,tt_lin
popularity,2,4,0.75,15201.115144217132,0.0014528905587631868,,472,16,43,100,5.0,0.25,10,tt_lin
popularity,2,4,0.75,15202.955897739343,0.0012110411443075897,,472,16,44,100,5.0,0.25,10,tt_lin
popularity,2,4,0.75,15209.4384494361,0.0003590908377796298,,472,16,45,100,5.0,0.25,10,tt_lin
popularity,2,4,0.75,15206.823112565446,0.0007028475065928852,,472,15,46,100,5.0,0.25,10,tt_lin
popularity,2,8,0.25,15205.063603607905,0.0009340819409507928,,944,14,42,100,5.0,0.25,10,tt_lin
popularity,2,8,0.25,15204.37012829321,0.0010252110240884793,,944,14,43,100,5.0,0.25,10,tt_lin
popularity,2,8,0.25,15209.43303108278,0.00035980308060057364,,944,14,44,100,5.0,0.25,10,tt_lin
popularity,2,8,0.25,15208.777580876455,0.0004459601718952433,,944,14,45,100,5.0,0.25,10,tt_lin
popularity,2,8,0.25,15212.066299990625,1.3629845046381206e-05,,944,14,46,100,5.0,0.25,10,tt_lin
popularity,2,8,0.5,15197.429750197645,0.0019370120737558505,,944,14,42,100,5.0,0.25,10,tt_lin
popularity,2,8,0.5,15204.930002671266,0.0009516386654070397,,944,14,43,100,5.0,0.25,10,tt_lin
popularity,2,8,0.5,15206.970682638736,0.0006834526509463812,,944,14,44,100,5.0,0.25,10,tt_lin
popularity,2,8,0.5,15205.01123718794,0.0009409635189184806,,944,14,45,100,5.0,0.25,10,tt_lin
popularity,2,8,0.5,15200.872163376072,0.0014848126743522982,,944,14,46,100,5.0,0.25,10,tt_lin
popularity,2,8,0.75,15208.943310209366,0.0004241758666254647,,944,14,42,100,5.0,0.25,10,tt_lin
popularity,2,8,0.75,15211.165125301331,0.00013210628287818604,,944,14,43,100,5.0,0.25,10,tt_lin
popularity,2,8,0.75,15205.880003698278,0.0008267940763387882,,944,14,44,100,5.0,0.25,10,tt_lin
popularity,2,8,0.75,15217.422913849497,-0.0006907430969091966,,944,14,45,100,5.0,0.25,10,tt_lin
popularity,2,8,0.75,15193.433411030299,0.0024618473717984424,,944,14,46,100,5.0,0.25,10,tt_lin
popularity,2,12,0.25,15206.16594228535,0.0007892158683149297,,1416,14,42,100,5.0,0.25,10,tt_lin
popularity,2,12,0.25,15214.654488920578,-0.00032667551218823476,,1416,14,43,100,5.0,0.25,10,tt_lin
popularity,2,12,0.25,15212.00539894399,2.1636659302659567e-05,,1416,14,44,100,5.0,0.25,10,tt_lin
popularity,2,12,0.25,15209.498823347578,0.00035115466686264085,,1416,14,45,100,5.0,0.25,10,tt_lin
popularity,2,12,0.25,15220.59265399661,-0.0011076678275361296,,1416,14,46,100,5.0,0.25,10,tt_lin
popularity,2,12,0.5,15209.889555218806,0.0002997920696291567,,1416,14,42,100,5.0,0.25,10,tt_lin
popularity,2,12,0.5,15213.127569604161,-0.00012590309504090236,,1416,14,43,100,5.0,0.25,10,tt_lin
