dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
popularity,2,4,0.25,15209.051624599299,0.0004099383448061822,,523,17,42,100,5.0,0.25,10,tt_lin_type1
popularity,2,4,0.25,15198.23934422329,0.0018306720717942149,,523,17,43,100,5.0,0.25,10,tt_lin_type1
popularity,2,4,0.25,15181.395073964473,0.004041996205413789,,523,17,44,100,5.0,0.25,10,tt_lin_type1
popularity,2,4,0.25,15175.317246981293,0.004839294305827302,,523,17,45,100,5.0,0.25,10,tt_lin_type1
popularity,2,4,0.25,15218.231987005014,-0.0007971544840243983,,523,16,46,100,5.0,0.25,10,tt_lin_type1
popularity,2,4,0.5,15189.136447970433,0.0030260093153481327,,523,19,42,100,5.0,0.25,10,tt_lin_type1
popularity,2,4,0.5,15190.326690389576,0.002869754582632833,,523,19,43,100,5.0,0.25,10,tt_lin_type1
popularity,2,4,0.5,15207.012260108075,0.0006779881687988265,,523,19,44,100,5.0,0.25,10,tt_lin_type1
popularity,2,4,0.5,15170.057583381093,0.0055290068678396365,,523,19,45,100,5.0,0.25,10,tt_lin_type1
popularity,2,4,0.5,15191.939117938933,0.0026580559610793753,,523,17,46,100,5.0,0.25,10,tt_lin_type1
popularity,2,4,0.75,15182.320215486989,0.003920606810797644,,523,17,42,100,5.0,0.25,10,tt_lin_type1
popularity,2,4,0.75,15198.988342680037,0.0017322862401839556,,523,17,43,100,5.0,0.25,10,tt_lin_type1
popularity,2,4,0.75,15185.496637643464,0.0035037667508333037,,523,17,44,100,5.0,0.25,10,tt_lin_type1
popularity,2,4,0.75,15173.726492100075,0.005047919107844412,,523,19,45,100,5.0,0.25,10,tt_lin_type1
popularity,2,4,0.75,15182.031074934039,0.003958546229800741,,523,19,46,100,5.0,0.25,10,tt_lin_type1
popularity,2,8,0.25,15212.452429909777,-3.713637555402549e-05,,987,16,42,100,5.0,0.25,10,tt_lin_type1
popularity,2,8,0.25,15198.266985145068,0.0018270413426313414,,987,16,43,100,5.0,0.25,10,tt_lin_type1
popularity,2,8,0.25,15199.450195964648,0.001671616382800889,,987,16,44,100,5.0,0.25,10,tt_lin_type1
popularity,2,8,0.25,15185.031623138731,0.003564795786428654,,987,16,45,100,5.0,0.25,10,tt_lin_type1
popularity,2,8,0.25,15215.682801215617,-0.0004618981663522259,,987,16,46,100,5.0,0.25,10,tt_lin_type1
popularity,2,8,0.5,15196.300526701712,0.002085325877273836,,987,16,42,100,5.0,0.25,10,tt_lin_type1
popularity,2,8,0.5,15198.267871639897,0.0018269248984088549,,987,16,43,100,5.0,0.25,10,tt_lin_type1
popularity,2,8,0.5,15189.166123879877,0.0030221136180689223,,987,16,44,100,5.0,0.25,10,tt_lin_type1
popularity,2,8,0.5,15191.555606713328,0.0027084099021333907,,987,17,45,100,5.0,0.25,10,tt_lin_type1
popularity,2,8,0.5,15196.32607396731,0.0020819705852923587,,987,16,46,100,5.0,0.25,10,tt_lin_type1
popularity,2,8,0.75,15207.860946995761,0.0005664428974987423,,987,17,42,100,5.0,0.25,10,tt_lin_type1
popularity,2,8,0.75,15183.392725802047,0.0037798716474899408,,987,16,43,100,5.0,0.25,10,tt_lin_type1
popularity,2,8,0.75,15218.462003243358,-0.0008274078454786338,,987,17,44,100,5.0,0.25,10,tt_lin_type1
popularity,2,8,0.75,15213.983039680841,-0.00023838513854901322,,987,16,45,100,5.0,0.25,10,tt_lin_type1
popularity,2,8,0.75,15215.080086826158,-0.000382640357508901,,987,16,46,100,5.0,0.25,10,tt_lin_type1
popularity,2,12,0.25,15212.91675334442,-9.818475240330748e-05,,1451,15,42,100,5.0,0.25,10,tt_lin_type1
popularity,2,12,0.25,15213.026725981646,-0.00011264402200628076,,1451,15,43,100,5.0,0.25,10,tt_lin_type1
popularity,2,12,0.25,15206.282030335527,0.000773959310565786,,1451,15,44,100,5.0,0.25,10,tt_lin_type1
popularity,2,12,0.25,15208.838089053737,0.00043800669726024033,,1451,15,45,100,5.0,0.25,10,tt_lin_type1
popularity,2,12,0.25,15211.760049217088,5.3893082223366306e-05,,1451,15,46,100,5.0,0.25,10,tt_lin_type1
popularity,2,12,0.5,15209.000640197635,0.0004166400665230885,,1451,16,42,100,5.0,0.25,10,tt_lin_type1
popularity,2,12,0.5,15216.917942446631,-0.0006243308236846268,,1451,15,43,100,5.0,0.25,10,tt_lin_type1
popularity,2,12,0.5,15212.718666172175,-7.21403935439735e-05,,1451,15,44,100,5.0,0.25,10,tt_lin_type1
popularity,2,12,0.5,15209.04276835915,0.00041110246828723884,,1451,15,45,100,5.0,0.25,10,tt_lin_type1
popularity,2,12,0.5,15210.403873114812,0.00023218179555573037,,1451,15,46,100,5.0,0.25,10,tt_lin_type1
popularity,2,12,0.75,15206.451818655054,0.0007516451305311644,,1451,16,42,100,5.0,0.25,10,tt_lin_type1
popularity,2,12,0.75,15204.414279507724,0.001019409269215621,,1451,15,43,100,5.0,0.25,10,tt_lin_type1
popularity,2,12,0.75,15204.805693806553,0.0009679741644730289,,1451,15,44,100,5.0,0.25,10,tt_lin_type1
popularity,2,12,0.75,15210.348574516813,0.0002394512485742739,,1451,15,45,100,5.0,0.25,10,tt_lin_type1
popularity,2,12,0.75,15208.469318783285,0.00048647907570209536,,1451,16,46,100,5.0,0.25,10,tt_lin_type1
popularity,2,16,0.25,15223.880025616158,-0.00154015668124452,,1915,15,42,100,5.0,0.25,10,tt_lin_type1
popularity,2,16,0.25,15216.60076861048,-0.0005826182310055827,,1915,15,43,100,5.0,0.25,10,tt_lin_type1
popularity,2,16,0.25,15208.903195970224,0.000429448707736535,,1915,15,44,100,5.0,0.25,10,tt_lin_type1
popularity,2,16,0.25,15212.806835310075,-8.373276646733707e-05,,1915,15,45,100,5.0,0.25,10,tt_lin_type1
popularity,2,16,0.25,15218.968310063425,-0.0008940025081174419,,1915,15,46,100,5.0,0.25,10,tt_lin_type1
popularity,2,16,0.5,15224.352501243315,-0.001602323573761666,,1915,15,42,100,5.0,0.25,10,tt_lin_type1
popularity,2,16,0.5,15203.653913933555,0.0011193238654785276,,1915,15,43,100,5.0,0.25,10,tt_lin_type1
popularity,2,16,0.5,15219.05117878007,-0.0009049024621239354,,1915,15,44,100,5.0,0.25,10,tt_lin_type1
popularity,2,16,0.5,15207.944452905263,0.0005554671478390505,,1915,15,45,100,5.0,0.25,10,tt_lin_type1
popularity,2,16,0.5,15209.638403942678,0.0003328066302050736,,1915,15,46,100,5.0,0.25,10,tt_lin_type1
popularity,2,16,0.75,15215.521215526425,-0.0004406491078581265,,1915,15,42,100,5.0,0.25,10,tt_lin_type1
popularity,2,16,0.75,15210.109570234761,0.000270870012409552,,1915,15,43,100,5.0,0.25,10,tt_lin_type1
popularity,2,16,0.75,15212.324629230376,-2.03337082400612e-05,,1915,15,44,100,5.0,0.25,10,tt_lin_type1
popularity,2,16,0.75,15204.316581593303,0.0010322473838449975,,1915,15,45,100,5.0,0.25,10,tt_lin_type1
popularity,2,16,0.75,15213.372912978122,-0.00015816158244463807,,1915,15,46,100,5.0,0.25,10,tt_lin_type1
popularity,3,4,0.25,15194.080223131463,0.0023769115360163795,,1915,26,42,100,5.0,0.25,10,tt_lin_type1
popularity,3,4,0.25,15209.627692336528,0.0003342146896474496,,1915,24,43,100,5.0,0.25,10,tt_lin_type1
popularity,3,4,0.25,15219.273239152391,-0.0009341109763982836,,1915,26,44,100,5.0,0.25,10,tt_lin_type1
popularity,3,4,0.25,15204.380846535605,0.001023802579329658,,1915,26,45,100,5.0,0.25,10,tt_lin_type1
popularity,3,4,0.25,15236.029560366758,-0.0031393682355722596,,1915,26,46,100,5.0,0.25,10,tt_lin_type1
