dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
popularity,3,8,,15277.964301279115,-0.008668929575996742,,5627,26,2582264110,100,5.0,0.25,10,tt_type1
popularity,3,8,,15271.688706311204,-0.007840455641221933,,5627,26,1011906602,100,5.0,0.25,10,tt_type1
popularity,3,8,,15313.455312007296,-0.013360688191432768,,5627,26,1729841207,100,5.0,0.25,10,tt_type1
popularity,3,8,,15259.781340137173,-0.006269437912107767,,5627,26,3653141251,100,5.0,0.25,10,tt_type1
popularity,3,8,,15289.468421072574,-0.010188532154792762,,5627,26,826749499,100,5.0,0.25,10,tt_type1
popularity,3,8,,15264.822813562781,-0.006934443331319873,,5627,26,1399498030,100,5.0,0.25,10,tt_type1
popularity,3,8,,15412.365551944538,-0.026493641827899594,,5627,15,358916519,100,5.0,0.25,10,tt_type1
popularity,3,8,,15417.133493482157,-0.027128848499639258,,5627,15,328531638,100,5.0,0.25,10,tt_type1
popularity,3,8,,15300.500095091771,-0.011646802726229089,,5627,26,787755760,100,5.0,0.25,10,tt_type1
popularity,3,8,,15247.659917107485,-0.00467143688819438,,5627,26,4192420569,100,5.0,0.25,10,tt_type1
popularity,4,8,,15499.180062808391,-0.038090242565421484,,13979,16,2582264110,100,5.0,0.25,10,tt_type1
popularity,4,8,,15361.149688737776,-0.01968282396196286,,13979,19,1011906602,100,5.0,0.25,10,tt_type1
popularity,4,8,,15480.680526857874,-0.03561363066698764,,13979,17,1729841207,100,5.0,0.25,10,tt_type1
popularity,4,8,,15415.4414081803,-0.02690339877474468,,13979,22,3653141251,100,5.0,0.25,10,tt_type1
popularity,4,8,,15393.85871697858,-0.02402993920203067,,13979,20,826749499,100,5.0,0.25,10,tt_type1
popularity,4,8,,15458.35140719794,-0.0326282756593943,,13979,21,1399498030,100,5.0,0.25,10,tt_type1
popularity,4,8,,15432.374591689435,-0.029160654161925592,,13979,23,358916519,100,5.0,0.25,10,tt_type1
popularity,4,8,,15515.811656827145,-0.04031930999547595,,13979,17,328531638,100,5.0,0.25,10,tt_type1
popularity,4,8,,15446.973387856235,-0.03110871639995172,,13979,17,787755760,100,5.0,0.25,10,tt_type1
popularity,4,8,,15402.044824699782,-0.02511934094899737,,13979,23,4192420569,100,5.0,0.25,10,tt_type1
