dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
realstate,2,4,,8.966266023925925,0.5181177496326109,,56,17,2582264110,100,5.0,0.25,10,cpd
realstate,2,4,,9.0075949429838,0.5136651554513186,,56,16,1011906602,100,5.0,0.25,10,cpd
realstate,2,4,,8.94270332580738,0.5206471251012225,,56,16,1729841207,100,5.0,0.25,10,cpd
realstate,2,4,,9.089746323523608,0.5047537268473858,,56,16,3653141251,100,5.0,0.25,10,cpd
realstate,2,4,,8.873425562588508,0.5280453050875682,,56,17,826749499,100,5.0,0.25,10,cpd
realstate,2,4,,8.994778548123072,0.5150481272897998,,56,16,1399498030,100,5.0,0.25,10,cpd
realstate,2,4,,9.039407284460586,0.5102238882334289,,56,19,358916519,100,5.0,0.25,10,cpd
realstate,2,4,,9.038619912820828,0.5103092077710543,,56,17,328531638,100,5.0,0.25,10,cpd
realstate,2,4,,9.08767189441036,0.5049797476891702,,56,17,787755760,100,5.0,0.25,10,cpd
realstate,2,4,,8.907134252648305,0.5244527370957242,,56,18,4192420569,100,5.0,0.25,10,cpd
realstate,2,8,,8.927320330478159,0.52229484628587,,112,18,2582264110,100,5.0,0.25,10,cpd
realstate,2,8,,8.896754594136734,0.525560420450583,,112,18,1011906602,100,5.0,0.25,10,cpd
realstate,2,8,,8.913771822942046,0.5237437201672328,,112,18,1729841207,100,5.0,0.25,10,cpd
realstate,2,8,,8.95815226331395,0.5189894855698678,,112,17,3653141251,100,5.0,0.25,10,cpd
realstate,2,8,,8.953174158287057,0.5195239385382688,,112,18,826749499,100,5.0,0.25,10,cpd
realstate,2,8,,8.971937946188229,0.5175078941707869,,112,18,1399498030,100,5.0,0.25,10,cpd
realstate,2,8,,8.944340051711281,0.5204716432505511,,112,18,358916519,100,5.0,0.25,10,cpd
realstate,2,8,,8.877081265299559,0.5276563501235059,,112,18,328531638,100,5.0,0.25,10,cpd
realstate,2,8,,8.96847248511629,0.5178805527200336,,112,18,787755760,100,5.0,0.25,10,cpd
realstate,2,8,,8.974997663933674,0.5171787475810332,,112,18,4192420569,100,5.0,0.25,10,cpd
realstate,2,12,,8.94189639609912,0.5207336283900152,,168,18,2582264110,100,5.0,0.25,10,cpd
realstate,2,12,,8.879171216202272,0.52743391411907,,168,17,1011906602,100,5.0,0.25,10,cpd
realstate,2,12,,8.841401974167558,0.5314456628571247,,168,17,1729841207,100,5.0,0.25,10,cpd
realstate,2,12,,8.94397903248975,0.5205103527493551,,168,17,3653141251,100,5.0,0.25,10,cpd
realstate,2,12,,8.895348403459579,0.5257103852006845,,168,17,826749499,100,5.0,0.25,10,cpd
realstate,2,12,,8.776137509531829,0.5383375748522317,,168,17,1399498030,100,5.0,0.25,10,cpd
realstate,2,12,,8.865948333473025,0.5288403591586945,,168,17,358916519,100,5.0,0.25,10,cpd
realstate,2,12,,8.86114376477899,0.5293508754410647,,168,17,328531638,100,5.0,0.25,10,cpd
realstate,2,12,,8.87101016701187,0.5283022074806933,,168,17,787755760,100,5.0,0.25,10,cpd
realstate,2,12,,8.90364166264859,0.524825599105061,,168,17,4192420569,100,5.0,0.25,10,cpd
realstate,2,16,,8.913197416627005,0.5238050984043813,,224,17,2582264110,100,5.0,0.25,10,cpd
realstate,2,16,,8.858395820903095,0.5296427377282508,,224,17,1011906602,100,5.0,0.25,10,cpd
realstate,2,16,,8.845532964669207,0.5310077129238411,,224,17,1729841207,100,5.0,0.25,10,cpd
realstate,2,16,,8.866566961243914,0.5287746058751809,,224,17,3653141251,100,5.0,0.25,10,cpd
realstate,2,16,,8.910336802930539,0.524110710632927,,224,17,826749499,100,5.0,0.25,10,cpd
realstate,2,16,,8.817945779839308,0.5339285095244566,,224,17,1399498030,100,5.0,0.25,10,cpd
realstate,2,16,,8.912611145116308,0.5238677404192916,,224,17,358916519,100,5.0,0.25,10,cpd
realstate,2,16,,8.856000148256173,0.5298971110213154,,224,17,328531638,100,5.0,0.25,10,cpd
realstate,2,16,,8.72598137682599,0.5435993509303723,,224,17,787755760,100,5.0,0.25,10,cpd
realstate,2,16,,8.900272741505766,0.5251851199145761,,224,17,4192420569,100,5.0,0.25,10,cpd
realstate,2,64,,8.957955404211036,0.5190106261477769,,896,16,2582264110,100,5.0,0.25,10,cpd
realstate,2,64,,8.956562442203488,0.519160202206395,,896,16,1011906602,100,5.0,0.25,10,cpd
realstate,2,64,,8.95971589661659,0.518821551451695,,896,16,1729841207,100,5.0,0.25,10,cpd
realstate,2,64,,8.959719901642808,0.5188211212744986,,896,16,3653141251,100,5.0,0.25,10,cpd
realstate,2,64,,8.957457842596417,0.5190640569123234,,896,16,826749499,100,5.0,0.25,10,cpd
realstate,2,64,,8.959244370532875,0.5188721964100325,,896,16,1399498030,100,5.0,0.25,10,cpd
realstate,2,64,,8.960031111522254,0.5187876938407896,,896,16,358916519,100,5.0,0.25,10,cpd
realstate,2,64,,8.958985711636792,0.5188999769202985,,896,16,328531638,100,5.0,0.25,10,cpd
realstate,2,64,,8.96334926522537,0.518431214709371,,896,16,787755760,100,5.0,0.25,10,cpd
realstate,2,64,,8.95903803988828,0.5188943568205839,,896,16,4192420569,100,5.0,0.25,10,cpd
realstate,2,144,,8.897690766262457,0.5254605682014271,,2016,14,2582264110,100,5.0,0.25,10,cpd
realstate,2,144,,8.912262440441179,0.5239049969077103,,2016,14,1011906602,100,5.0,0.25,10,cpd
realstate,2,144,,8.916969655406987,0.5234019431931503,,2016,14,1729841207,100,5.0,0.25,10,cpd
realstate,2,144,,8.943275421416491,0.5205857914223887,,2016,14,3653141251,100,5.0,0.25,10,cpd
realstate,2,144,,8.900849595480347,0.5251235695026202,,2016,14,826749499,100,5.0,0.25,10,cpd
realstate,2,144,,8.949429176436166,0.519925806696357,,2016,14,1399498030,100,5.0,0.25,10,cpd
realstate,2,144,,8.921155364182331,0.5229543990255026,,2016,14,358916519,100,5.0,0.25,10,cpd
realstate,2,144,,8.903938349230504,0.5247939311150446,,2016,14,328531638,100,5.0,0.25,10,cpd
realstate,2,144,,8.915993345643725,0.5235063019340642,,2016,14,787755760,100,5.0,0.25,10,cpd
realstate,2,144,,8.935749100679883,0.5213923654474357,,2016,14,4192420569,100,5.0,0.25,10,cpd
realstate,2,256,,8.873457508172397,0.528041906874481,,3584,14,2582264110,100,5.0,0.25,10,cpd
realstate,2,256,,8.882797332325833,0.5270478579520237,,3584,14,1011906602,100,5.0,0.25,10,cpd
realstate,2,256,,8.862172309492395,0.5292416092387666,,3584,14,1729841207,100,5.0,0.25,10,cpd
realstate,2,256,,8.886927257644233,0.5266079715014531,,3584,14,3653141251,100,5.0,0.25,10,cpd
realstate,2,256,,8.869478864769999,0.5284650411447975,,3584,14,826749499,100,5.0,0.25,10,cpd
