dataset,num_channels,num_layers,val_rmse,val_r2,val_accuracy,num_params,seed,model_type,early_stopping
realstate,16,1,35.21015689087453,-6.431108634967388,,161,42,mlp,10
realstate,16,1,35.41990334773859,-6.519906372328483,,161,43,mlp,10
realstate,16,1,35.31162081501576,-6.473998294230476,,161,44,mlp,10
realstate,16,1,35.09310166804794,-6.381781721533122,,161,45,mlp,10
realstate,16,1,34.99431939657903,-6.340282803082,,161,46,mlp,10
realstate,64,1,28.637635534709187,-3.9157750960019246,,641,42,mlp,10
realstate,64,1,28.063261205062776,-3.7205648363434163,,641,43,mlp,10
realstate,64,1,28.215454298908366,-3.7719049483826677,,641,44,mlp,10
realstate,64,1,27.431471998341326,-3.510408901077989,,641,45,mlp,10
realstate,64,1,27.776293201449818,-3.6245157782581527,,641,46,mlp,10
realstate,256,1,11.70023225192888,0.17944696687662032,,2561,42,mlp,10
realstate,256,1,11.465011675210345,0.21210799697926763,,2561,43,mlp,10
realstate,256,1,11.687900728552304,0.18117570804668826,,2561,44,mlp,10
realstate,256,1,11.638021530987155,0.18814961216038995,,2561,45,mlp,10
realstate,256,1,11.725294071842354,0.1759279637543374,,2561,46,mlp,10
realstate,16,3,34.317743533873205,-6.059194343994855,,769,42,mlp,10
realstate,16,3,34.318459837374455,-6.059489035770919,,769,43,mlp,10
realstate,16,3,34.75253260319668,-6.239200558728935,,769,44,mlp,10
realstate,16,3,34.97669321917823,-6.332890257931503,,769,45,mlp,10
realstate,16,3,34.15466137483473,-5.992261431396668,,769,46,mlp,10
realstate,64,3,26.887845339727118,-3.3334091160773545,,9217,42,mlp,10
realstate,64,3,26.981625652123792,-3.3636902459360254,,9217,43,mlp,10
realstate,64,3,26.69560089835476,-3.271664069423734,,9217,44,mlp,10
realstate,64,3,26.286295202181105,-3.1416791482639406,,9217,45,mlp,10
realstate,64,3,27.078626302179703,-3.39512212899355,,9217,46,mlp,10
realstate,256,3,12.42453272996315,0.07471010609377349,,135169,42,mlp,10
realstate,256,3,12.09589457786423,0.12301194931533677,,135169,43,mlp,10
realstate,256,3,12.642662766710536,0.04193539210870134,,135169,44,mlp,10
realstate,256,3,12.213657582967349,0.10585249283586307,,135169,45,mlp,10
realstate,256,3,12.133745763325676,0.11751471633723098,,135169,46,mlp,10
realstate,16,5,34.458546594404815,-6.1172398405100745,,1377,42,mlp,10
realstate,16,5,35.26920512928019,-6.456053812538647,,1377,43,mlp,10
realstate,16,5,34.770211127457415,-6.246567557577917,,1377,44,mlp,10
realstate,16,5,34.788424180537774,-6.25416122366181,,1377,45,mlp,10
realstate,16,5,33.87790217697803,-5.87940232973001,,1377,46,mlp,10
realstate,64,5,27.133633254528373,-3.41299658290536,,17793,42,mlp,10
realstate,64,5,26.422642394586735,-3.184756416257117,,17793,43,mlp,10
realstate,64,5,27.69100904449712,-3.5961612063835684,,17793,44,mlp,10
realstate,64,5,27.449530814443037,-3.51634948319752,,17793,45,mlp,10
realstate,64,5,27.570152960797508,-3.5561293048644895,,17793,46,mlp,10
realstate,256,5,13.553958644058216,-0.10115892262118353,,267777,42,mlp,10
realstate,256,5,13.504168179204191,-0.09308356807854956,,267777,43,mlp,10
realstate,256,5,13.249494180366712,-0.05224358634082993,,267777,44,mlp,10
realstate,256,5,13.322430778189887,-0.06386037821452173,,267777,45,mlp,10
realstate,256,5,13.424119970803599,-0.0801631058162866,,267777,46,mlp,10
