dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
realstate,1,4,,8.211401660010555,0.5958409741514723,,104,78,2582264110,100,5.0,0.25,10,tnml_polynomial
realstate,1,4,,8.154977880526607,0.6013761634979977,,104,78,1011906602,100,5.0,0.25,10,tnml_polynomial
realstate,1,4,,8.87719698151423,0.5276440356760435,,104,57,1729841207,100,5.0,0.25,10,tnml_polynomial
realstate,1,4,,8.16895829580501,0.6000082373539629,,104,78,3653141251,100,5.0,0.25,10,tnml_polynomial
realstate,1,4,,8.153662470671167,0.6015047503418416,,104,78,826749499,100,5.0,0.25,10,tnml_polynomial
realstate,1,4,,8.20989074992203,0.5959896921888403,,104,78,1399498030,100,5.0,0.25,10,tnml_polynomial
realstate,1,4,,8.216834221827604,0.5953060240223869,,104,73,358916519,100,5.0,0.25,10,tnml_polynomial
realstate,1,4,,8.210281689994323,0.5959512147999801,,104,78,328531638,100,5.0,0.25,10,tnml_polynomial
realstate,1,4,,8.21861160894404,0.5951309260137372,,104,78,787755760,100,5.0,0.25,10,tnml_polynomial
realstate,1,4,,8.155199916651329,0.6013544564871158,,104,78,4192420569,100,5.0,0.25,10,tnml_polynomial
realstate,1,8,,8.371360653876657,0.5799414828475529,,168,55,2582264110,100,5.0,0.25,10,tnml_polynomial
realstate,1,8,,8.37387387041924,0.579689228398953,,168,55,1011906602,100,5.0,0.25,10,tnml_polynomial
realstate,1,8,,8.407443356733362,0.5763125598503729,,168,55,1729841207,100,5.0,0.25,10,tnml_polynomial
realstate,1,8,,8.404531112254048,0.5766060302086768,,168,55,3653141251,100,5.0,0.25,10,tnml_polynomial
realstate,1,8,,8.385678531401506,0.5785033678406892,,168,55,826749499,100,5.0,0.25,10,tnml_polynomial
realstate,1,8,,8.384794816706133,0.5785922009958524,,168,55,1399498030,100,5.0,0.25,10,tnml_polynomial
realstate,1,8,,8.393984793432521,0.5776679445863546,,168,55,358916519,100,5.0,0.25,10,tnml_polynomial
realstate,1,8,,8.386449131706279,0.5784258975785149,,168,55,328531638,100,5.0,0.25,10,tnml_polynomial
realstate,1,8,,8.372082540692631,0.5798690339847181,,168,55,787755760,100,5.0,0.25,10,tnml_polynomial
realstate,1,8,,8.370119091089926,0.5800660719963249,,168,55,4192420569,100,5.0,0.25,10,tnml_polynomial
realstate,1,12,,8.371360653876657,0.5799414828475529,,168,55,2582264110,100,5.0,0.25,10,tnml_polynomial
