dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
realstate,,4,,32.36106691793658,-5.277162229206851,,104,38,42,100,5.0,0.25,10,tnml_sin-cos
realstate,,4,,32.77735591131932,-5.439698337575708,,104,35,43,100,5.0,0.25,10,tnml_sin-cos
realstate,,4,,33.028628438401284,-5.538810759151358,,104,34,44,100,5.0,0.25,10,tnml_sin-cos
realstate,,4,,32.633897800424066,-5.383451867697102,,104,35,45,100,5.0,0.25,10,tnml_sin-cos
realstate,,4,,32.72765875491773,-5.4201853495608985,,104,35,46,100,5.0,0.25,10,tnml_sin-cos
realstate,,8,,32.73844583202446,-5.4244182492129465,,168,31,42,100,5.0,0.25,10,tnml_sin-cos
realstate,,8,,32.739576623035546,-5.424862057688551,,168,31,43,100,5.0,0.25,10,tnml_sin-cos
realstate,,8,,32.73948128295922,-5.424824638392992,,168,31,44,100,5.0,0.25,10,tnml_sin-cos
realstate,,8,,32.73886907662675,-5.424584360819902,,168,31,45,100,5.0,0.25,10,tnml_sin-cos
realstate,,8,,32.739362374141315,-5.424777968935462,,168,31,46,100,5.0,0.25,10,tnml_sin-cos
realstate,,12,,32.73844583202446,-5.4244182492129465,,168,31,42,100,5.0,0.25,10,tnml_sin-cos
realstate,,12,,32.739576623035546,-5.424862057688551,,168,31,43,100,5.0,0.25,10,tnml_sin-cos
realstate,,12,,32.73948128295922,-5.424824638392992,,168,31,44,100,5.0,0.25,10,tnml_sin-cos
realstate,,12,,32.73886907662675,-5.424584360819902,,168,31,45,100,5.0,0.25,10,tnml_sin-cos
realstate,,12,,32.739362374141315,-5.424777968935462,,168,31,46,100,5.0,0.25,10,tnml_sin-cos
realstate,,16,,32.73844583202446,-5.4244182492129465,,168,31,42,100,5.0,0.25,10,tnml_sin-cos
realstate,,16,,32.739576623035546,-5.424862057688551,,168,31,43,100,5.0,0.25,10,tnml_sin-cos
realstate,,16,,32.73948128295922,-5.424824638392992,,168,31,44,100,5.0,0.25,10,tnml_sin-cos
realstate,,16,,32.73886907662675,-5.424584360819902,,168,31,45,100,5.0,0.25,10,tnml_sin-cos
realstate,,16,,32.739362374141315,-5.424777968935462,,168,31,46,100,5.0,0.25,10,tnml_sin-cos
