dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
realstate,2,4,,8.938010785664819,0.5211500585794474,,56,17,42,100,5.0,0.25,10,tt_cumsum
realstate,2,4,,8.948814448382395,0.519991756140306,,56,19,43,100,5.0,0.25,10,tt_cumsum
realstate,2,4,,8.970673328515065,0.5176439015853448,,56,17,44,100,5.0,0.25,10,tt_cumsum
realstate,2,4,,8.97669179296462,0.5169964547870507,,56,15,45,100,5.0,0.25,10,tt_cumsum
realstate,2,4,,8.945894136615319,0.5203049920459055,,56,19,46,100,5.0,0.25,10,tt_cumsum
realstate,2,8,,8.812473005371686,0.5345068557020465,,112,15,42,100,5.0,0.25,10,tt_cumsum
realstate,2,8,,8.787981138664415,0.5370906828147781,,112,15,43,100,5.0,0.25,10,tt_cumsum
realstate,2,8,,8.822588489280626,0.5334376005984738,,112,15,44,100,5.0,0.25,10,tt_cumsum
realstate,2,8,,8.81956527232683,0.5337572976324698,,112,15,45,100,5.0,0.25,10,tt_cumsum
realstate,2,8,,8.719238121647514,0.5443044720497181,,112,15,46,100,5.0,0.25,10,tt_cumsum
realstate,2,12,,8.862201219573489,0.5292385378280615,,168,15,42,100,5.0,0.25,10,tt_cumsum
realstate,2,12,,8.823715828636661,0.5333183594574659,,168,15,43,100,5.0,0.25,10,tt_cumsum
realstate,2,12,,8.880941448749125,0.5272454651666401,,168,15,44,100,5.0,0.25,10,tt_cumsum
realstate,2,12,,8.878064386682093,0.5275517218470784,,168,15,45,100,5.0,0.25,10,tt_cumsum
realstate,2,12,,8.860997891946292,0.5293663710379599,,168,15,46,100,5.0,0.25,10,tt_cumsum
realstate,2,16,,8.943927973692952,0.5205158272913895,,224,15,42,100,5.0,0.25,10,tt_cumsum
realstate,2,16,,8.9221777799901,0.5228450484106104,,224,15,43,100,5.0,0.25,10,tt_cumsum
realstate,2,16,,8.963143124519252,0.5184533648644036,,224,15,44,100,5.0,0.25,10,tt_cumsum
realstate,2,16,,8.89378928812944,0.5258766310566143,,224,15,45,100,5.0,0.25,10,tt_cumsum
realstate,2,16,,8.934513930662357,0.5215246701789508,,224,15,46,100,5.0,0.25,10,tt_cumsum
realstate,3,4,,8.660905532735779,0.5503813750372695,,168,24,42,100,5.0,0.25,10,tt_cumsum
realstate,3,4,,8.716795631658009,0.544559741112195,,168,21,43,100,5.0,0.25,10,tt_cumsum
realstate,3,4,,8.725364500041545,0.5436638784604972,,168,24,44,100,5.0,0.25,10,tt_cumsum
