dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
realstate,2,4,,8.852843129849328,0.530232219177587,,55,57,42,100,5.0,0.25,10,tt_cumsum_type1
realstate,2,4,,8.852452651590768,0.5302736589855374,,55,55,43,100,5.0,0.25,10,tt_cumsum_type1
realstate,2,4,,8.861170811107835,0.5293480023694257,,55,55,44,100,5.0,0.25,10,tt_cumsum_type1
realstate,2,4,,8.852383448938728,0.5302810029799658,,55,55,45,100,5.0,0.25,10,tt_cumsum_type1
realstate,2,4,,8.855144139943581,0.5299879855754526,,55,57,46,100,5.0,0.25,10,tt_cumsum_type1
realstate,2,8,,8.861254144344615,0.5293391500090279,,103,53,42,100,5.0,0.25,10,tt_cumsum_type1
realstate,2,8,,8.861253552227415,0.5293392129090128,,103,53,43,100,5.0,0.25,10,tt_cumsum_type1
realstate,2,8,,8.86146139713494,0.5293171335058106,,103,53,44,100,5.0,0.25,10,tt_cumsum_type1
realstate,2,8,,8.86115754692934,0.5293494113948392,,103,53,45,100,5.0,0.25,10,tt_cumsum_type1
realstate,2,8,,8.861435044926141,0.5293199329345227,,103,53,46,100,5.0,0.25,10,tt_cumsum_type1
realstate,2,12,,8.861740120289072,0.5292875238803876,,151,53,42,100,5.0,0.25,10,tt_cumsum_type1
realstate,2,12,,8.861780324963918,0.529283252736183,,151,53,43,100,5.0,0.25,10,tt_cumsum_type1
realstate,2,12,,8.862000369250742,0.5292598759849856,,151,53,44,100,5.0,0.25,10,tt_cumsum_type1
realstate,2,12,,8.861940956384213,0.5292661878615914,,151,53,45,100,5.0,0.25,10,tt_cumsum_type1
realstate,2,12,,8.862079186155059,0.5292515026058935,,151,53,46,100,5.0,0.25,10,tt_cumsum_type1
realstate,2,16,,8.862585231463122,0.5291977394054437,,199,53,42,100,5.0,0.25,10,tt_cumsum_type1
realstate,2,16,,8.862518268382983,0.5292048538646179,,199,53,43,100,5.0,0.25,10,tt_cumsum_type1
realstate,2,16,,8.862750432239297,0.5291801875011777,,199,53,44,100,5.0,0.25,10,tt_cumsum_type1
realstate,2,16,,8.862491949270959,0.5292076501108807,,199,53,45,100,5.0,0.25,10,tt_cumsum_type1
