dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
realstate,3,8,,10.891094946673158,0.28901444361570106,,583,92,2582264110,100,5.0,0.25,10,tt_type1
realstate,3,8,,10.585162535269065,0.32839680761081647,,583,102,1011906602,100,5.0,0.25,10,tt_type1
realstate,3,8,,10.85448701348487,0.2937860425711767,,583,102,1729841207,100,5.0,0.25,10,tt_type1
realstate,3,8,,10.658996430540954,0.3189949642029104,,583,102,3653141251,100,5.0,0.25,10,tt_type1
realstate,3,8,,10.674943013186736,0.3169557803861094,,583,92,826749499,100,5.0,0.25,10,tt_type1
realstate,3,8,,10.671507944051859,0.31739530059850507,,583,84,1399498030,100,5.0,0.25,10,tt_type1
realstate,3,8,,10.702313715660493,0.3134486201658808,,583,92,358916519,100,5.0,0.25,10,tt_type1
realstate,3,8,,10.747762528049384,0.3076051737045006,,583,102,328531638,100,5.0,0.25,10,tt_type1
realstate,3,8,,10.481632209273927,0.3414700626975359,,583,92,787755760,100,5.0,0.25,10,tt_type1
realstate,3,8,,10.595767392785897,0.32705042792257144,,583,102,4192420569,100,5.0,0.25,10,tt_type1
realstate,3,12,,10.712773365399922,0.3121059953309787,,1159,92,2582264110,100,5.0,0.25,10,tt_type1
realstate,3,12,,10.826788382297762,0.29738569711063123,,1159,102,1011906602,100,5.0,0.25,10,tt_type1
realstate,3,12,,10.773701777941714,0.3042590120352361,,1159,102,1729841207,100,5.0,0.25,10,tt_type1
realstate,3,12,,10.69028297116313,0.31499129252081515,,1159,102,3653141251,100,5.0,0.25,10,tt_type1
realstate,3,12,,10.717494161063655,0.31149959352620615,,1159,92,826749499,100,5.0,0.25,10,tt_type1
realstate,3,12,,10.860775279881292,0.29296755196156854,,1159,102,1399498030,100,5.0,0.25,10,tt_type1
realstate,3,12,,10.649568812307116,0.3201990956155032,,1159,94,358916519,100,5.0,0.25,10,tt_type1
realstate,3,12,,10.704303486192893,0.3131933096355771,,1159,92,328531638,100,5.0,0.25,10,tt_type1
realstate,3,12,,10.76279678781281,0.3056667378123423,,1159,102,787755760,100,5.0,0.25,10,tt_type1
realstate,3,12,,10.61431503334913,0.3246924012288147,,1159,102,4192420569,100,5.0,0.25,10,tt_type1
realstate,3,16,,10.760549114025656,0.305956712945078,,1927,102,2582264110,100,5.0,0.25,10,tt_type1
realstate,3,16,,10.606643938491791,0.3256681545734682,,1927,92,1011906602,100,5.0,0.25,10,tt_type1
