dataset,n_estimators,max_depth,val_rmse,val_r2,val_accuracy,num_params,seed,model_type,learning_rate
realstate,50,3,8.04803883974041,0.611762200231335,,,42,xgboost,0.1
realstate,50,3,8.04803883974041,0.611762200231335,,,43,xgboost,0.1
realstate,50,3,8.04803883974041,0.611762200231335,,,44,xgboost,0.1
realstate,50,3,8.04803883974041,0.611762200231335,,,45,xgboost,0.1
realstate,50,3,8.04803883974041,0.611762200231335,,,46,xgboost,0.1
realstate,50,6,7.938457946922765,0.6222625998880141,,,42,xgboost,0.1
realstate,50,6,7.938457946922765,0.6222625998880141,,,43,xgboost,0.1
realstate,50,6,7.938457946922765,0.6222625998880141,,,44,xgboost,0.1
realstate,50,6,7.938457946922765,0.6222625998880141,,,45,xgboost,0.1
realstate,50,6,7.938457946922765,0.6222625998880141,,,46,xgboost,0.1
realstate,50,9,7.932776222196233,0.6228031159177072,,,42,xgboost,0.1
realstate,50,9,7.932776222196233,0.6228031159177072,,,43,xgboost,0.1
realstate,50,9,7.932776222196233,0.6228031159177072,,,44,xgboost,0.1
realstate,50,9,7.932776222196233,0.6228031159177072,,,45,xgboost,0.1
realstate,50,9,7.932776222196233,0.6228031159177072,,,46,xgboost,0.1
realstate,100,3,8.178025288670549,0.599119816814777,,,42,xgboost,0.1
realstate,100,3,8.178025288670549,0.599119816814777,,,43,xgboost,0.1
realstate,100,3,8.178025288670549,0.599119816814777,,,44,xgboost,0.1
realstate,100,3,8.178025288670549,0.599119816814777,,,45,xgboost,0.1
realstate,100,3,8.178025288670549,0.599119816814777,,,46,xgboost,0.1
realstate,100,6,8.12613734084681,0.6041906892231277,,,42,xgboost,0.1
realstate,100,6,8.12613734084681,0.6041906892231277,,,43,xgboost,0.1
realstate,100,6,8.12613734084681,0.6041906892231277,,,44,xgboost,0.1
realstate,100,6,8.12613734084681,0.6041906892231277,,,45,xgboost,0.1
realstate,100,6,8.12613734084681,0.6041906892231277,,,46,xgboost,0.1
realstate,100,9,7.9514693962547955,0.6210233317724898,,,42,xgboost,0.1
realstate,100,9,7.9514693962547955,0.6210233317724898,,,43,xgboost,0.1
realstate,100,9,7.9514693962547955,0.6210233317724898,,,44,xgboost,0.1
realstate,100,9,7.9514693962547955,0.6210233317724898,,,45,xgboost,0.1
realstate,100,9,7.9514693962547955,0.6210233317724898,,,46,xgboost,0.1
realstate,200,3,8.235753242276012,0.5934402865049638,,,42,xgboost,0.1
realstate,200,3,8.235753242276012,0.5934402865049638,,,43,xgboost,0.1
realstate,200,3,8.235753242276012,0.5934402865049638,,,44,xgboost,0.1
realstate,200,3,8.235753242276012,0.5934402865049638,,,45,xgboost,0.1
realstate,200,3,8.235753242276012,0.5934402865049638,,,46,xgboost,0.1
realstate,200,6,8.182349537882574,0.5986957623362956,,,42,xgboost,0.1
realstate,200,6,8.182349537882574,0.5986957623362956,,,43,xgboost,0.1
realstate,200,6,8.182349537882574,0.5986957623362956,,,44,xgboost,0.1
realstate,200,6,8.182349537882574,0.5986957623362956,,,45,xgboost,0.1
realstate,200,6,8.182349537882574,0.5986957623362956,,,46,xgboost,0.1
realstate,200,9,7.954206760485097,0.6207623546648305,,,42,xgboost,0.1
realstate,200,9,7.954206760485097,0.6207623546648305,,,43,xgboost,0.1
realstate,200,9,7.954206760485097,0.6207623546648305,,,44,xgboost,0.1
realstate,200,9,7.954206760485097,0.6207623546648305,,,45,xgboost,0.1
realstate,200,9,7.954206760485097,0.6207623546648305,,,46,xgboost,0.1
realstate,500,3,8.321260890111198,0.5849542544244091,,,42,xgboost,0.1
realstate,500,3,8.321260890111198,0.5849542544244091,,,43,xgboost,0.1
realstate,500,3,8.321260890111198,0.5849542544244091,,,44,xgboost,0.1
realstate,500,3,8.321260890111198,0.5849542544244091,,,45,xgboost,0.1
realstate,500,3,8.321260890111198,0.5849542544244091,,,46,xgboost,0.1
realstate,500,6,8.178482394231853,0.5990750016727711,,,42,xgboost,0.1
realstate,500,6,8.178482394231853,0.5990750016727711,,,43,xgboost,0.1
realstate,500,6,8.178482394231853,0.5990750016727711,,,44,xgboost,0.1
realstate,500,6,8.178482394231853,0.5990750016727711,,,45,xgboost,0.1
realstate,500,6,8.178482394231853,0.5990750016727711,,,46,xgboost,0.1
realstate,500,9,7.954105035780553,0.6207720545863699,,,42,xgboost,0.1
realstate,500,9,7.954105035780553,0.6207720545863699,,,43,xgboost,0.1
realstate,500,9,7.954105035780553,0.6207720545863699,,,44,xgboost,0.1
realstate,500,9,7.954105035780553,0.6207720545863699,,,45,xgboost,0.1
realstate,500,9,7.954105035780553,0.6207720545863699,,,46,xgboost,0.1
