dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
seoulBike,2,4,,0.14664492586267083,0.40098429957085424,,163,25,42,100,5.0,0.25,10,cpd_type1
seoulBike,2,4,,0.1437922468506758,0.42406288746718135,,163,29,43,100,5.0,0.25,10,cpd_type1
seoulBike,2,4,,0.14461272298935926,0.41747156103868477,,163,28,44,100,5.0,0.25,10,cpd_type1
seoulBike,2,4,,0.14435549975915604,0.41954200938226216,,163,25,45,100,5.0,0.25,10,cpd_type1
seoulBike,2,4,,0.1461718727198881,0.40484272441330693,,163,26,46,100,5.0,0.25,10,cpd_type1
seoulBike,2,8,,0.14429300379230633,0.420044497071841,,307,24,42,100,5.0,0.25,10,cpd_type1
seoulBike,2,8,,0.1453954935480488,0.4111481864416946,,307,34,43,100,5.0,0.25,10,cpd_type1
seoulBike,2,8,,0.14388656994802776,0.42330704713530387,,307,24,44,100,5.0,0.25,10,cpd_type1
seoulBike,2,8,,0.14351028963635848,0.42631934308760466,,307,24,45,100,5.0,0.25,10,cpd_type1
seoulBike,2,8,,0.14574444498443395,0.40831828766624445,,307,23,46,100,5.0,0.25,10,cpd_type1
seoulBike,2,12,,0.14554396797416033,0.4099449294028429,,451,32,42,100,5.0,0.25,10,cpd_type1
seoulBike,2,12,,0.14554865522325836,0.4099069232982787,,451,33,43,100,5.0,0.25,10,cpd_type1
seoulBike,2,12,,0.14553915196042652,0.4099839783080975,,451,33,44,100,5.0,0.25,10,cpd_type1
seoulBike,2,12,,0.14553771945464547,0.40999559301370836,,451,32,45,100,5.0,0.25,10,cpd_type1
seoulBike,2,12,,0.1454570753616387,0.4106492680615179,,451,30,46,100,5.0,0.25,10,cpd_type1
seoulBike,2,16,,0.14548384250938445,0.4104323423524906,,595,32,42,100,5.0,0.25,10,cpd_type1
seoulBike,2,16,,0.14541270192875175,0.41100879029401427,,595,30,43,100,5.0,0.25,10,cpd_type1
seoulBike,2,16,,0.14554065531901833,0.40997178900748976,,595,32,44,100,5.0,0.25,10,cpd_type1
seoulBike,2,16,,0.14543761988923676,0.4108069136081969,,595,30,45,100,5.0,0.25,10,cpd_type1
seoulBike,2,16,,0.1455219054338706,0.410123804931145,,595,30,46,100,5.0,0.25,10,cpd_type1
seoulBike,2,64,,0.14551462392604014,0.41018283495361485,,2323,20,42,100,5.0,0.25,10,cpd_type1
seoulBike,2,64,,0.14542749580881195,0.41088893957342276,,2323,20,43,100,5.0,0.25,10,cpd_type1
seoulBike,2,64,,0.1443928449748689,0.4192416379671908,,2323,20,44,100,5.0,0.25,10,cpd_type1
seoulBike,2,64,,0.14440196712889836,0.41916825573583427,,2323,20,45,100,5.0,0.25,10,cpd_type1
seoulBike,2,64,,0.14505756592528538,0.41388221957582594,,2323,20,46,100,5.0,0.25,10,cpd_type1
seoulBike,2,144,,0.14547427680447433,0.41050986910370535,,5203,28,42,100,5.0,0.25,10,cpd_type1
seoulBike,2,144,,0.14548162893914895,0.4104502830319221,,5203,26,43,100,5.0,0.25,10,cpd_type1
seoulBike,2,144,,0.14546351640569125,0.41059707234585086,,5203,26,44,100,5.0,0.25,10,cpd_type1
seoulBike,2,144,,0.14546843601166845,0.41055720421574404,,5203,28,45,100,5.0,0.25,10,cpd_type1
seoulBike,2,144,,0.14550292051282507,0.41027770646860573,,5203,26,46,100,5.0,0.25,10,cpd_type1
seoulBike,2,256,,0.14539748522213,0.41113205376937023,,9235,26,42,100,5.0,0.25,10,cpd_type1
seoulBike,2,256,,0.1454589694263704,0.4106339195375507,,9235,26,43,100,5.0,0.25,10,cpd_type1
seoulBike,2,256,,0.14545813693558157,0.41064066563827095,,9235,25,44,100,5.0,0.25,10,cpd_type1
seoulBike,2,256,,0.1454822087306171,0.4104455839289556,,9235,25,45,100,5.0,0.25,10,cpd_type1
seoulBike,2,256,,0.14547709142997614,0.4104870580605037,,9235,25,46,100,5.0,0.25,10,cpd_type1
seoulBike,3,4,,1.347719581018067,-49.594487547727375,,379,14,42,100,5.0,0.25,10,cpd_type1
seoulBike,3,4,,1.2149757646943053,-40.118698052434766,,379,14,43,100,5.0,0.25,10,cpd_type1
seoulBike,3,4,,2.818987719037253,-220.35558935536045,,379,14,44,100,5.0,0.25,10,cpd_type1
