dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
seoulBike,1,4,,0.15317606977566617,0.34643923999691495,,488,196,2582264110,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,4,,0.14918817084321256,0.3800268185967144,,488,162,1011906602,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,4,,0.15074068201576504,0.36705630702141645,,488,179,1729841207,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,4,,0.1505376328767029,0.3687603209913295,,488,196,3653141251,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,4,,0.15337124641842081,0.3447726472532997,,488,162,826749499,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,4,,0.15011879302929443,0.3722680223261794,,488,158,1399498030,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,4,,0.14459293986683783,0.4176309307397801,,488,197,358916519,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,4,,0.15098312325205918,0.36501870111349877,,488,162,328531638,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,4,,0.14971137208672486,0.37567071556398346,,488,157,787755760,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,4,,0.14869783132428507,0.38409547595667104,,488,162,4192420569,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,8,,0.16294954268870648,0.26037698478555904,,1704,95,2582264110,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,8,,0.1490467438352929,0.3812017025270201,,1704,147,1011906602,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,8,,0.14917011663556548,0.3801768632981659,,1704,129,1729841207,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,8,,0.1540185431541226,0.3392302585674908,,1704,125,3653141251,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,8,,0.15244945342557537,0.35262508324842357,,1704,149,826749499,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,8,,0.14421806178075863,0.4206467680631527,,1704,146,1399498030,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,8,,0.15232419497422825,0.3536884634661478,,1704,127,358916519,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,8,,0.14138988609606423,0.44314667893651805,,1704,189,328531638,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,8,,0.1397205024002338,0.4562185329157039,,1704,185,787755760,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,8,,0.14375525274297377,0.4243591974456933,,1704,147,4192420569,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,12,,0.14173651789137912,0.4404129660853727,,3432,129,2582264110,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,12,,0.1564250266706305,0.3184203733393606,,3432,116,1011906602,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,12,,0.1604337543779143,0.2830388579437815,,3432,94,1729841207,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,12,,0.16244965913903245,0.26490793670147617,,3432,94,3653141251,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,12,,0.15205977804936519,0.35593035788844773,,3432,116,826749499,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,12,,0.14466135179800405,0.4170797223918,,3432,127,1399498030,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,12,,0.16330564796373365,0.2571407504462847,,3432,94,358916519,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,12,,0.1416948769439993,0.4407417213230149,,3432,127,328531638,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,12,,0.14574508029761687,0.4083131292670853,,3432,130,787755760,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,12,,0.16966759629871794,0.198133741565221,,3432,92,4192420569,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,16,,0.16277513643430583,0.26195938686508635,,5800,92,2582264110,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,16,,0.14121719792696127,0.44450608672521585,,5800,127,1011906602,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,16,,0.1681298657605807,0.21260281585274976,,5800,92,1729841207,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,16,,0.14215403729352602,0.4371113107777086,,5800,138,3653141251,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,16,,0.14175953426492718,0.4402312103861188,,5800,127,826749499,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,16,,0.16073735473823225,0.2803227759334387,,5800,92,1399498030,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,16,,0.16775270283854327,0.21613156334369088,,5800,93,358916519,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,16,,0.17597558105903477,0.13740101917846304,,5800,94,328531638,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,16,,0.16328757167029898,0.2573051954457427,,5800,92,787755760,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,16,,0.16034337378984792,0.28384643260263775,,5800,93,4192420569,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,4,,0.9803952826658506,-25.77358643830771,,762,57,2582264110,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,4,,0.9804364239036638,-25.775833535203923,,762,25,1011906602,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,4,,0.9805358635333681,-25.78126522650249,,762,21,1729841207,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,4,,0.9809045115482097,-25.801406695177263,,762,23,3653141251,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,4,,0.9803938873166861,-25.773510227261927,,762,59,826749499,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,4,,0.980420799663612,-25.77498014235332,,762,20,1399498030,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,4,,0.9786546065032854,-25.67859868782279,,762,27,358916519,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,4,,0.9806672015768073,-25.7884401492683,,762,21,328531638,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,4,,0.9802557941986771,-25.765968407247634,,762,21,787755760,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,4,,0.9808640993299786,-25.799198362006923,,762,23,4192420569,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,8,,0.980034109446543,-25.753863533877293,,2850,31,2582264110,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,8,,0.343109088850782,-2.279205018622242,,2850,158,1011906602,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,8,,0.9798726998740285,-25.74505164860809,,2850,27,1729841207,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,8,,0.9798164904640672,-25.741983330745118,,2850,25,3653141251,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,8,,0.9760028830679225,-25.534220023530644,,2850,56,826749499,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,8,,0.9619741350937009,-24.77691356486398,,2850,91,1399498030,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,8,,0.9484166969317201,-24.055467311450585,,2850,94,358916519,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,8,,0.9797071302890825,-25.736014162439588,,2850,26,328531638,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,8,,0.9803799964329625,-25.772751542232303,,2850,24,787755760,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,8,,0.9703581658421985,-25.22818599420574,,2850,93,4192420569,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,12,,0.9221016886359478,-22.68436577514212,,6012,95,2582264110,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,12,,0.9771007845449609,-25.593950061361344,,6012,56,1011906602,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,12,,0.9251911397601191,-22.843337980138717,,6012,94,1729841207,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,12,,0.9766862409783258,-25.571389415632733,,6012,57,3653141251,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,12,,0.9772265947026046,-25.600798903368478,,6012,57,826749499,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,12,,0.9799917382261185,-25.7515502075697,,6012,27,1399498030,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,12,,0.9198918932141497,-22.57098372460853,,6012,95,358916519,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,12,,0.9757800205911397,-25.522103651851236,,6012,57,328531638,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,12,,0.9759584833680985,-25.531805922860244,,6012,57,787755760,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,12,,0.9798836638604689,-25.74565016313794,,6012,23,4192420569,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,16,,0.9448384832447051,-23.86676398702592,,10260,91,2582264110,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,16,,0.9765058799065044,-25.561576639385535,,10260,56,1011906602,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,16,,0.95309797186943,-24.3034195043267,,10260,93,1729841207,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,16,,0.9768012945574821,-25.577650000439228,,10260,56,3653141251,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,16,,0.980210720219568,-25.763506966120556,,10260,24,826749499,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,16,,0.9802594918734652,-25.766170338281984,,10260,27,1399498030,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,16,,0.9802048841304144,-25.76318827189591,,10260,31,358916519,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,16,,0.9802671042936358,-25.76658605703364,,10260,29,328531638,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,16,,0.9800584505812486,-25.75519252330138,,10260,23,787755760,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,16,,0.9801857230262712,-25.762141945288597,,10260,31,4192420569,100,5.0,0.25,19,tnml_polynomial
seoulBike,3,4,,0.9811607383248925,-25.81541037214953,,1056,21,2582264110,100,5.0,0.25,19,tnml_polynomial
seoulBike,3,4,,0.9811656401030042,-25.81567830688198,,1056,24,1011906602,100,5.0,0.25,19,tnml_polynomial
seoulBike,3,4,,0.9811761038777973,-25.816250268849405,,1056,22,1729841207,100,5.0,0.25,19,tnml_polynomial
seoulBike,3,4,,0.9811754112393926,-25.81621240824889,,1056,20,3653141251,100,5.0,0.25,19,tnml_polynomial
seoulBike,3,4,,0.9811746074797337,-25.816168473636054,,1056,26,826749499,100,5.0,0.25,19,tnml_polynomial
seoulBike,3,4,,0.9811766780911374,-25.81628165618768,,1056,20,1399498030,100,5.0,0.25,19,tnml_polynomial
seoulBike,3,4,,0.9809904869556421,-25.806105139962664,,1056,23,358916519,100,5.0,0.25,19,tnml_polynomial
seoulBike,3,4,,0.9811537967853957,-25.815030944876312,,1056,20,328531638,100,5.0,0.25,19,tnml_polynomial
seoulBike,3,4,,0.9807831189576317,-25.794773448347733,,1056,27,787755760,100,5.0,0.25,19,tnml_polynomial
seoulBike,3,4,,0.9811767677374128,-25.816286556385442,,1056,20,4192420569,100,5.0,0.25,19,tnml_polynomial
seoulBike,3,8,,0.9804433428485069,-25.776211450924983,,3872,90,2582264110,100,5.0,0.25,19,tnml_polynomial
seoulBike,3,8,,0.9807105053289104,-25.79080601932449,,3872,65,1011906602,100,5.0,0.25,19,tnml_polynomial
seoulBike,3,8,,0.9792675133889231,-25.712025428968946,,3872,116,1729841207,100,5.0,0.25,19,tnml_polynomial
seoulBike,3,8,,0.9800494543717397,-25.754701339918295,,3872,89,3653141251,100,5.0,0.25,19,tnml_polynomial
