dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
seoulBike,,4,,0.9442682763620234,-23.83675902495721,,488,166,2582264110,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,4,,0.9471080467773461,-23.986370637339075,,488,83,1011906602,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,4,,0.9343642737487433,-23.318488256955504,,488,298,1729841207,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,4,,0.9464909384349492,-23.953820445344267,,488,87,3653141251,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,4,,0.946992453996403,-23.98027192911871,,488,94,826749499,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,4,,0.9493967181438451,-24.107274868394544,,488,61,1399498030,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,4,,0.9412099367622104,-23.67613468671267,,488,95,358916519,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,4,,0.946579936613888,-23.958513462254608,,488,95,328531638,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,4,,0.9355764852619388,-23.381629100172926,,488,95,787755760,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,4,,0.9419626441443256,-23.715618621183538,,488,95,4192420569,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,8,,0.9266465090421622,-22.918410369466578,,1704,85,2582264110,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,8,,0.9355573362659272,-23.380631044005934,,1704,71,1011906602,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,8,,0.9318573057597506,-23.18816674183859,,1704,88,1729841207,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,8,,0.9290027301902576,-23.0402016123445,,1704,85,3653141251,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,8,,0.9364966524840193,-23.429612796007447,,1704,60,826749499,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,8,,0.936186551202741,-23.413436763878874,,1704,60,1399498030,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,8,,0.9301056061929376,-23.097314682979952,,1704,87,358916519,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,8,,0.948495390640445,-24.059625377104545,,1704,34,328531638,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,8,,0.9347945326194995,-23.3408899147742,,1704,71,787755760,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,8,,0.9290809136755518,-23.044248157694845,,1704,61,4192420569,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,12,,0.9296868016080349,-23.0756186654601,,3432,60,2582264110,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,12,,0.9246674427831472,-22.81635296160297,,3432,60,1011906602,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,12,,0.9203398522065422,-22.593945999002376,,3432,60,1729841207,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,12,,0.9284439940090821,-23.011292997288354,,3432,60,3653141251,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,12,,0.9258957122951951,-22.879667246769788,,3432,60,826749499,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,12,,0.9345164430427969,-23.32640985375859,,3432,60,1399498030,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,12,,0.9385049719033801,-23.534503876922383,,3432,33,358916519,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,12,,0.9280386235202889,-22.99033030107149,,3432,60,328531638,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,12,,0.924683219696673,-22.81716569000531,,3432,60,787755760,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,12,,0.9277819840247473,-22.97706357961953,,3432,59,4192420569,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,16,,0.9283745149770275,-23.007699417094738,,5800,33,2582264110,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,16,,0.9278976806548935,-22.983043946712282,,5800,59,1011906602,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,16,,0.9271958512050649,-22.946777790825237,,5800,59,1729841207,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,16,,0.9249484036254685,-22.830828391108174,,5800,60,3653141251,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,16,,0.9271916578820548,-22.946561188589314,,5800,59,826749499,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,16,,0.9230844148278782,-22.734875712655594,,5800,60,1399498030,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,16,,0.9255703791565452,-22.862888937685117,,5800,59,358916519,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,16,,0.9238392042641772,-22.77370673935174,,5800,59,328531638,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,16,,0.9257697546641099,-22.87317057184797,,5800,60,787755760,100,5.0,0.25,19,tnml_sin-cos
seoulBike,,16,,0.9248655391149684,-22.826558657865977,,5800,59,4192420569,100,5.0,0.25,19,tnml_sin-cos
