dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
seoulBike,3,8,,0.12589491977999448,0.5585103407798927,,1520,21,2582264110,100,5.0,0.25,10,tt_cumsum
seoulBike,3,8,,0.125173557315264,0.563555209319259,,1520,21,1011906602,100,5.0,0.25,10,tt_cumsum
seoulBike,3,8,,0.13183185177673026,0.5158891349140744,,1520,21,1729841207,100,5.0,0.25,10,tt_cumsum
seoulBike,3,8,,0.12875356167385318,0.5382332815536253,,1520,21,3653141251,100,5.0,0.25,10,tt_cumsum
seoulBike,3,8,,0.12995822957752468,0.5295519231269648,,1520,21,826749499,100,5.0,0.25,10,tt_cumsum
seoulBike,3,8,,0.1269873269752784,0.5508153692332389,,1520,21,1399498030,100,5.0,0.25,10,tt_cumsum
seoulBike,3,8,,0.12953331939364035,0.5326232389938326,,1520,20,358916519,100,5.0,0.25,10,tt_cumsum
seoulBike,3,8,,0.1281350625427162,0.5426590439210777,,1520,21,328531638,100,5.0,0.25,10,tt_cumsum
seoulBike,3,8,,0.12822687916909006,0.5420033834390938,,1520,21,787755760,100,5.0,0.25,10,tt_cumsum
seoulBike,3,8,,0.12575813722407506,0.5594691607040716,,1520,21,4192420569,100,5.0,0.25,10,tt_cumsum
seoulBike,3,12,,0.14145794749953944,0.4426104405718587,,3192,19,2582264110,100,5.0,0.25,10,tt_cumsum
seoulBike,3,12,,0.13876161406741655,0.4636567606389389,,3192,21,1011906602,100,5.0,0.25,10,tt_cumsum
seoulBike,3,12,,0.13954543123901517,0.4575804061942301,,3192,18,1729841207,100,5.0,0.25,10,tt_cumsum
seoulBike,3,12,,0.1396717735308219,0.4565977648101206,,3192,21,3653141251,100,5.0,0.25,10,tt_cumsum
seoulBike,3,12,,0.13767761541535886,0.4720038015262118,,3192,19,826749499,100,5.0,0.25,10,tt_cumsum
seoulBike,3,12,,0.1289634049393499,0.5367268750853037,,3192,21,1399498030,100,5.0,0.25,10,tt_cumsum
seoulBike,3,12,,0.13969082186253443,0.4564495371247128,,3192,19,358916519,100,5.0,0.25,10,tt_cumsum
seoulBike,3,12,,0.13503969519642564,0.4920429141921193,,3192,19,328531638,100,5.0,0.25,10,tt_cumsum
seoulBike,3,12,,0.1377601925978758,0.4713702415419484,,3192,21,787755760,100,5.0,0.25,10,tt_cumsum
seoulBike,3,12,,0.13090483017411003,0.5226735856089921,,3192,20,4192420569,100,5.0,0.25,10,tt_cumsum
seoulBike,3,16,,0.13105515766171075,0.5215766592169633,,5472,18,2582264110,100,5.0,0.25,10,tt_cumsum
seoulBike,3,16,,0.13177999042734745,0.5162699488679588,,5472,18,1011906602,100,5.0,0.25,10,tt_cumsum
seoulBike,3,16,,0.12961472199167826,0.5320356274463642,,5472,19,1729841207,100,5.0,0.25,10,tt_cumsum
seoulBike,3,16,,0.12859939159400846,0.5393384624737027,,5472,18,3653141251,100,5.0,0.25,10,tt_cumsum
seoulBike,3,16,,0.1312078407560478,0.5204612554676524,,5472,18,826749499,100,5.0,0.25,10,tt_cumsum
seoulBike,3,16,,0.1409800224310649,0.44637043340586924,,5472,19,1399498030,100,5.0,0.25,10,tt_cumsum
seoulBike,3,16,,0.1377326511530846,0.4715815910133755,,5472,19,358916519,100,5.0,0.25,10,tt_cumsum
seoulBike,3,16,,0.12852576074856437,0.5398658240382016,,5472,18,328531638,100,5.0,0.25,10,tt_cumsum
seoulBike,3,16,,0.13283469217518656,0.5084958917223079,,5472,18,787755760,100,5.0,0.25,10,tt_cumsum
seoulBike,3,16,,0.13496116979578862,0.49263349515185806,,5472,19,4192420569,100,5.0,0.25,10,tt_cumsum
seoulBike,4,8,,0.12102824117775095,0.5919836476507265,,2736,48,2582264110,100,5.0,0.25,10,tt_cumsum
seoulBike,4,8,,0.12158493349659759,0.5882215182033076,,2736,29,1011906602,100,5.0,0.25,10,tt_cumsum
seoulBike,4,8,,0.12421389726086768,0.5702216826372125,,2736,32,1729841207,100,5.0,0.25,10,tt_cumsum
seoulBike,4,8,,0.11111140534532657,0.6561085279618111,,2736,36,3653141251,100,5.0,0.25,10,tt_cumsum
seoulBike,4,8,,0.12362063422077858,0.5743172420978799,,2736,30,826749499,100,5.0,0.25,10,tt_cumsum
seoulBike,4,8,,0.13267801704430524,0.5096546410768492,,2736,29,1399498030,100,5.0,0.25,10,tt_cumsum
seoulBike,4,8,,0.14262964468920206,0.4333384756683337,,2736,29,358916519,100,5.0,0.25,10,tt_cumsum
seoulBike,4,8,,0.12270845980684407,0.580576137889841,,2736,33,328531638,100,5.0,0.25,10,tt_cumsum
seoulBike,4,8,,0.12893189934620708,0.5369532014875846,,2736,42,787755760,100,5.0,0.25,10,tt_cumsum
seoulBike,4,8,,0.1300157820399709,0.5291351516674947,,2736,29,4192420569,100,5.0,0.25,10,tt_cumsum
seoulBike,4,12,,0.136892570004772,0.4780079618587514,,5928,24,2582264110,100,5.0,0.25,10,tt_cumsum
seoulBike,4,12,,0.12497436031002322,0.5649431912799137,,5928,31,1011906602,100,5.0,0.25,10,tt_cumsum
seoulBike,4,12,,0.1399624310692867,0.45433376696585115,,5928,24,1729841207,100,5.0,0.25,10,tt_cumsum
seoulBike,4,12,,0.12563321057427,0.5603439622559916,,5928,34,3653141251,100,5.0,0.25,10,tt_cumsum
seoulBike,4,12,,0.13744133706346565,0.47381451013756937,,5928,27,826749499,100,5.0,0.25,10,tt_cumsum
seoulBike,4,12,,0.12412046885563625,0.570867961399923,,5928,35,1399498030,100,5.0,0.25,10,tt_cumsum
seoulBike,4,12,,0.13679219555734792,0.4787731670642883,,5928,30,358916519,100,5.0,0.25,10,tt_cumsum
seoulBike,4,12,,0.14179017615897405,0.43998919167734407,,5928,29,328531638,100,5.0,0.25,10,tt_cumsum
seoulBike,4,12,,0.1467249325638988,0.40033049796873155,,5928,29,787755760,100,5.0,0.25,10,tt_cumsum
seoulBike,4,12,,0.12534087060359275,0.5623876813238793,,5928,33,4192420569,100,5.0,0.25,10,tt_cumsum
seoulBike,4,16,,0.14856842582017854,0.38516700140250615,,10336,23,2582264110,100,5.0,0.25,10,tt_cumsum
seoulBike,4,16,,0.122418203598036,0.5825580126055858,,10336,27,1011906602,100,5.0,0.25,10,tt_cumsum
seoulBike,4,16,,0.12864948711610935,0.5389794938230253,,10336,34,1729841207,100,5.0,0.25,10,tt_cumsum
seoulBike,4,16,,0.1456775443897858,0.40886135842791127,,10336,26,3653141251,100,5.0,0.25,10,tt_cumsum
seoulBike,4,16,,0.1389357740992332,0.4623095843966093,,10336,26,826749499,100,5.0,0.25,10,tt_cumsum
seoulBike,4,16,,0.1448868019785845,0.4152613806331086,,10336,23,1399498030,100,5.0,0.25,10,tt_cumsum
seoulBike,4,16,,0.11810647519443636,0.6114458589249367,,10336,35,358916519,100,5.0,0.25,10,tt_cumsum
seoulBike,4,16,,0.19115589710206965,-0.017840027111953427,,10336,24,328531638,100,5.0,0.25,10,tt_cumsum
seoulBike,4,16,,0.12295050995773722,0.5789198260406022,,10336,31,787755760,100,5.0,0.25,10,tt_cumsum
seoulBike,4,16,,0.1259378636000593,0.558209097709883,,10336,25,4192420569,100,5.0,0.25,10,tt_cumsum
