dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
seoulBike,2,4,,0.14763122140241725,0.39289955588981607,,163,42,42,100,5.0,0.25,10,tt_cumsum_type1
seoulBike,2,4,,0.1460670264877859,0.40569620761144,,163,30,43,100,5.0,0.25,10,tt_cumsum_type1
seoulBike,2,4,,0.14614939607662494,0.4050257433351845,,163,29,44,100,5.0,0.25,10,tt_cumsum_type1
seoulBike,2,4,,0.1458833310640753,0.4071900730286131,,163,31,45,100,5.0,0.25,10,tt_cumsum_type1
seoulBike,2,4,,0.14587010064203462,0.4072975941526915,,163,30,46,100,5.0,0.25,10,tt_cumsum_type1
seoulBike,2,8,,0.1452647821007424,0.4122064733640194,,307,41,42,100,5.0,0.25,10,tt_cumsum_type1
seoulBike,2,8,,0.14548052568137335,0.410459224681089,,307,46,43,100,5.0,0.25,10,tt_cumsum_type1
seoulBike,2,8,,0.14528867193913542,0.41201312371884435,,307,37,44,100,5.0,0.25,10,tt_cumsum_type1
seoulBike,2,8,,0.14557196307885373,0.40971791563687343,,307,37,45,100,5.0,0.25,10,tt_cumsum_type1
seoulBike,2,8,,0.14529633128903577,0.41195112692483704,,307,41,46,100,5.0,0.25,10,tt_cumsum_type1
seoulBike,2,12,,0.14552305365873144,0.41011449618574203,,451,33,42,100,5.0,0.25,10,tt_cumsum_type1
seoulBike,2,12,,0.14549514631593635,0.4103407223135901,,451,33,43,100,5.0,0.25,10,tt_cumsum_type1
seoulBike,2,12,,0.14550127227528986,0.41029106698275564,,451,33,44,100,5.0,0.25,10,tt_cumsum_type1
seoulBike,2,12,,0.14554267679469923,0.4099553985912161,,451,32,45,100,5.0,0.25,10,tt_cumsum_type1
seoulBike,2,12,,0.14547806290959187,0.41047918463228383,,451,33,46,100,5.0,0.25,10,tt_cumsum_type1
seoulBike,2,16,,0.14548918407271194,0.4103890485992068,,595,33,42,100,5.0,0.25,10,tt_cumsum_type1
seoulBike,2,16,,0.14547018349597216,0.4105430424051322,,595,33,43,100,5.0,0.25,10,tt_cumsum_type1
seoulBike,2,16,,0.14550704279962742,0.4102442907975543,,595,33,44,100,5.0,0.25,10,tt_cumsum_type1
seoulBike,2,16,,0.14547846639545214,0.41047591453590704,,595,33,45,100,5.0,0.25,10,tt_cumsum_type1
seoulBike,2,16,,0.14548434980066904,0.41042823078861246,,595,33,46,100,5.0,0.25,10,tt_cumsum_type1
seoulBike,3,4,,0.1810538473250125,0.08689727135874337,,595,56,42,100,5.0,0.25,10,tt_cumsum_type1
seoulBike,3,4,,0.12773976286470298,0.5454765064241526,,595,47,43,100,5.0,0.25,10,tt_cumsum_type1
seoulBike,3,4,,0.28688277648617366,-1.2925196966785295,,595,47,44,100,5.0,0.25,10,tt_cumsum_type1
seoulBike,3,4,,0.34723741483726506,-2.3585912595591982,,595,64,45,100,5.0,0.25,10,tt_cumsum_type1
