dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
seoulBike,3,8,,0.1256446669623141,0.5602637748627807,,1747,56,2582264110,100,5.0,0.25,10,tt_type1
seoulBike,3,8,,0.1271177093179906,0.5498925084782735,,1747,47,1011906602,100,5.0,0.25,10,tt_type1
seoulBike,3,8,,0.13232572048637314,0.5122551869797775,,1747,36,1729841207,100,5.0,0.25,10,tt_type1
seoulBike,3,8,,0.12678947291386045,0.5522139933453873,,1747,49,3653141251,100,5.0,0.25,10,tt_type1
seoulBike,3,8,,0.12745412062400588,0.547506977545573,,1747,64,826749499,100,5.0,0.25,10,tt_type1
seoulBike,3,8,,0.12760345196323689,0.5464460314790319,,1747,57,1399498030,100,5.0,0.25,10,tt_type1
seoulBike,3,8,,0.1252103294620023,0.5632987435035748,,1747,54,358916519,100,5.0,0.25,10,tt_type1
seoulBike,3,8,,0.15569616575969156,0.32475720312765777,,1747,33,328531638,100,5.0,0.25,10,tt_type1
seoulBike,3,8,,0.1357194788276074,0.4869159768682759,,1747,60,787755760,100,5.0,0.25,10,tt_type1
seoulBike,3,8,,0.1263320747711327,0.5554389778998632,,1747,64,4192420569,100,5.0,0.25,10,tt_type1
seoulBike,3,12,,0.18964212961956015,-0.0017832645257862545,,3475,32,2582264110,100,5.0,0.25,10,tt_type1
seoulBike,3,12,,0.16161826161222126,0.2724129055829907,,3475,64,1011906602,100,5.0,0.25,10,tt_type1
seoulBike,3,12,,0.13098616822504125,0.5220802253472305,,3475,36,1729841207,100,5.0,0.25,10,tt_type1
seoulBike,3,12,,0.1393900325797569,0.45878781718919537,,3475,36,3653141251,100,5.0,0.25,10,tt_type1
seoulBike,3,12,,0.12217600675556295,0.5842081449412797,,3475,50,826749499,100,5.0,0.25,10,tt_type1
seoulBike,3,12,,0.15480517229380736,0.33246343584732074,,3475,55,1399498030,100,5.0,0.25,10,tt_type1
seoulBike,3,12,,0.14320101173731423,0.42878934803630653,,3475,36,358916519,100,5.0,0.25,10,tt_type1
seoulBike,3,12,,0.13164766130181463,0.5172409526644444,,3475,36,328531638,100,5.0,0.25,10,tt_type1
seoulBike,3,12,,0.16844251619114106,0.20967164163302243,,3475,55,787755760,100,5.0,0.25,10,tt_type1
seoulBike,3,12,,0.19674783752001807,-0.07826140446639873,,3475,66,4192420569,100,5.0,0.25,10,tt_type1
seoulBike,3,16,,0.14364040224860034,0.4252786243158282,,5779,36,2582264110,100,5.0,0.25,10,tt_type1
seoulBike,3,16,,0.1242266758167928,0.5701332508453107,,5779,39,1011906602,100,5.0,0.25,10,tt_type1
seoulBike,3,16,,0.14202100194885905,0.4381643804187534,,5779,36,1729841207,100,5.0,0.25,10,tt_type1
seoulBike,3,16,,0.13236582012634635,0.5119595323664358,,5779,36,3653141251,100,5.0,0.25,10,tt_type1
seoulBike,3,16,,0.14505171681166565,0.4139294863330176,,5779,33,826749499,100,5.0,0.25,10,tt_type1
seoulBike,3,16,,0.14284610314632895,0.4316172100150697,,5779,32,1399498030,100,5.0,0.25,10,tt_type1
seoulBike,3,16,,0.13914693479197743,0.4606739313444187,,5779,42,358916519,100,5.0,0.25,10,tt_type1
seoulBike,3,16,,0.12614517082147592,0.5567534302508284,,5779,45,328531638,100,5.0,0.25,10,tt_type1
seoulBike,3,16,,0.1450516151951214,0.4139303074806847,,5779,35,787755760,100,5.0,0.25,10,tt_type1
seoulBike,3,16,,0.16235879056396468,0.26573007553289574,,5779,42,4192420569,100,5.0,0.25,10,tt_type1
seoulBike,4,8,,3.238541715741955,-291.1481335522795,,4339,17,2582264110,100,5.0,0.25,10,tt_type1
