dataset,n_estimators,max_depth,val_rmse,val_r2,val_accuracy,num_params,model_type,learning_rate
seoulBike,50,3,0.009890965605980299,0.9972749058697521,,,xgboost,0.1
seoulBike,50,6,0.0013079386664225498,0.9999523482469072,,,xgboost,0.1
seoulBike,50,9,0.0013079565192537146,0.9999523469460442,,,xgboost,0.1
seoulBike,100,3,0.009033539839003204,0.9977268920897427,,,xgboost,0.1
seoulBike,100,6,0.0007144113570052262,0.9999857832336886,,,xgboost,0.1
seoulBike,100,9,0.0007182416117476314,0.9999856303811036,,,xgboost,0.1
seoulBike,200,3,0.00904948141495279,0.997718862259385,,,xgboost,0.1
seoulBike,200,6,0.0007144080856385081,0.9999857833638885,,,xgboost,0.1
seoulBike,200,9,0.0007182425954641321,0.9999856303417418,,,xgboost,0.1
seoulBike,500,3,0.008980057858559279,0.9977537277364092,,,xgboost,0.1
seoulBike,500,6,0.0007144368015549518,0.9999857822209789,,,xgboost,0.1
seoulBike,500,9,0.0007182798196823778,0.9999856288522363,,,xgboost,0.1
