dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
student_dropout,2,4,,,,0.7484939759036144,444,16,2582264110,100,5.0,0.25,10,cpd
student_dropout,2,4,,,,0.7560240963855421,444,16,1011906602,100,5.0,0.25,10,cpd
student_dropout,2,4,,,,0.7530120481927711,444,14,1729841207,100,5.0,0.25,10,cpd
student_dropout,2,4,,,,0.7530120481927711,444,15,3653141251,100,5.0,0.25,10,cpd
student_dropout,2,4,,,,0.7379518072289156,444,16,826749499,100,5.0,0.25,10,cpd
student_dropout,2,4,,,,0.7409638554216867,444,16,1399498030,100,5.0,0.25,10,cpd
student_dropout,2,4,,,,0.7469879518072289,444,15,358916519,100,5.0,0.25,10,cpd
student_dropout,2,4,,,,0.7515060240963856,444,17,328531638,100,5.0,0.25,10,cpd
student_dropout,2,4,,,,0.7515060240963856,444,17,787755760,100,5.0,0.25,10,cpd
student_dropout,2,4,,,,0.7439759036144579,444,16,4192420569,100,5.0,0.25,10,cpd
student_dropout,2,8,,,,0.7484939759036144,888,13,2582264110,100,5.0,0.25,10,cpd
student_dropout,2,8,,,,0.7319277108433735,888,11,1011906602,100,5.0,0.25,10,cpd
student_dropout,2,8,,,,0.75,888,12,1729841207,100,5.0,0.25,10,cpd
student_dropout,2,8,,,,0.7424698795180723,888,11,3653141251,100,5.0,0.25,10,cpd
student_dropout,2,8,,,,0.7530120481927711,888,13,826749499,100,5.0,0.25,10,cpd
student_dropout,2,8,,,,0.7439759036144579,888,11,1399498030,100,5.0,0.25,10,cpd
student_dropout,2,8,,,,0.7424698795180723,888,12,358916519,100,5.0,0.25,10,cpd
student_dropout,2,8,,,,0.733433734939759,888,12,328531638,100,5.0,0.25,10,cpd
student_dropout,2,8,,,,0.7409638554216867,888,12,787755760,100,5.0,0.25,10,cpd
student_dropout,2,8,,,,0.7409638554216867,888,11,4192420569,100,5.0,0.25,10,cpd
student_dropout,2,12,,,,0.7424698795180723,1332,11,2582264110,100,5.0,0.25,10,cpd
student_dropout,2,12,,,,0.7409638554216867,1332,12,1011906602,100,5.0,0.25,10,cpd
student_dropout,2,12,,,,0.7454819277108434,1332,12,1729841207,100,5.0,0.25,10,cpd
student_dropout,2,12,,,,0.7409638554216867,1332,11,3653141251,100,5.0,0.25,10,cpd
student_dropout,2,12,,,,0.7454819277108434,1332,11,826749499,100,5.0,0.25,10,cpd
student_dropout,2,12,,,,0.7469879518072289,1332,12,1399498030,100,5.0,0.25,10,cpd
student_dropout,2,12,,,,0.7409638554216867,1332,11,358916519,100,5.0,0.25,10,cpd
student_dropout,2,12,,,,0.7454819277108434,1332,11,328531638,100,5.0,0.25,10,cpd
student_dropout,2,12,,,,0.7439759036144579,1332,12,787755760,100,5.0,0.25,10,cpd
student_dropout,2,12,,,,0.733433734939759,1332,11,4192420569,100,5.0,0.25,10,cpd
student_dropout,2,16,,,,0.7484939759036144,1776,11,2582264110,100,5.0,0.25,10,cpd
student_dropout,2,16,,,,0.7424698795180723,1776,12,1011906602,100,5.0,0.25,10,cpd
student_dropout,2,16,,,,0.7484939759036144,1776,11,1729841207,100,5.0,0.25,10,cpd
student_dropout,2,16,,,,0.7379518072289156,1776,11,3653141251,100,5.0,0.25,10,cpd
student_dropout,2,16,,,,0.7439759036144579,1776,10,826749499,100,5.0,0.25,10,cpd
student_dropout,2,16,,,,0.7484939759036144,1776,11,1399498030,100,5.0,0.25,10,cpd
student_dropout,2,16,,,,0.7454819277108434,1776,11,358916519,100,5.0,0.25,10,cpd
student_dropout,2,16,,,,0.7424698795180723,1776,12,328531638,100,5.0,0.25,10,cpd
student_dropout,2,16,,,,0.7484939759036144,1776,11,787755760,100,5.0,0.25,10,cpd
student_dropout,2,16,,,,0.7515060240963856,1776,11,4192420569,100,5.0,0.25,10,cpd
student_dropout,2,64,,,,0.7605421686746988,7104,10,2582264110,100,5.0,0.25,10,cpd
student_dropout,2,64,,,,0.7605421686746988,7104,10,1011906602,100,5.0,0.25,10,cpd
student_dropout,2,64,,,,0.7545180722891566,7104,10,1729841207,100,5.0,0.25,10,cpd
student_dropout,2,64,,,,0.7575301204819277,7104,10,3653141251,100,5.0,0.25,10,cpd
student_dropout,2,64,,,,0.7530120481927711,7104,9,826749499,100,5.0,0.25,10,cpd
student_dropout,2,64,,,,0.7590361445783133,7104,10,1399498030,100,5.0,0.25,10,cpd
student_dropout,2,64,,,,0.7635542168674698,7104,10,358916519,100,5.0,0.25,10,cpd
student_dropout,2,64,,,,0.7545180722891566,7104,10,328531638,100,5.0,0.25,10,cpd
student_dropout,2,64,,,,0.7560240963855421,7104,10,787755760,100,5.0,0.25,10,cpd
student_dropout,2,64,,,,0.7590361445783133,7104,10,4192420569,100,5.0,0.25,10,cpd
student_dropout,2,144,,,,0.7530120481927711,15984,10,2582264110,100,5.0,0.25,10,cpd
student_dropout,2,144,,,,0.7530120481927711,15984,10,1011906602,100,5.0,0.25,10,cpd
student_dropout,2,144,,,,0.7484939759036144,15984,10,1729841207,100,5.0,0.25,10,cpd
student_dropout,2,144,,,,0.7590361445783133,15984,10,3653141251,100,5.0,0.25,10,cpd
student_dropout,2,144,,,,0.7590361445783133,15984,10,826749499,100,5.0,0.25,10,cpd
student_dropout,2,144,,,,0.7590361445783133,15984,9,1399498030,100,5.0,0.25,10,cpd
student_dropout,2,144,,,,0.7620481927710844,15984,10,358916519,100,5.0,0.25,10,cpd
student_dropout,2,144,,,,0.7590361445783133,15984,9,328531638,100,5.0,0.25,10,cpd
student_dropout,2,144,,,,0.7545180722891566,15984,9,787755760,100,5.0,0.25,10,cpd
student_dropout,2,144,,,,0.7530120481927711,15984,9,4192420569,100,5.0,0.25,10,cpd
student_dropout,2,256,,,,0.7484939759036144,28416,9,2582264110,100,5.0,0.25,10,cpd
student_dropout,2,256,,,,0.75,28416,9,1011906602,100,5.0,0.25,10,cpd
student_dropout,2,256,,,,0.7439759036144579,28416,9,1729841207,100,5.0,0.25,10,cpd
student_dropout,2,256,,,,0.75,28416,10,3653141251,100,5.0,0.25,10,cpd
student_dropout,2,256,,,,0.75,28416,10,826749499,100,5.0,0.25,10,cpd
student_dropout,2,256,,,,0.7484939759036144,28416,10,1399498030,100,5.0,0.25,10,cpd
student_dropout,2,256,,,,0.7454819277108434,28416,9,358916519,100,5.0,0.25,10,cpd
student_dropout,2,256,,,,0.7484939759036144,28416,10,328531638,100,5.0,0.25,10,cpd
student_dropout,2,256,,,,0.7530120481927711,28416,10,787755760,100,5.0,0.25,10,cpd
student_dropout,2,256,,,,0.7484939759036144,28416,8,4192420569,100,5.0,0.25,10,cpd
student_dropout,3,4,,,,0.6024096385542169,592,12,2582264110,100,5.0,0.25,10,cpd
student_dropout,3,4,,,,0.6731927710843374,592,10,1011906602,100,5.0,0.25,10,cpd
student_dropout,3,4,,,,0.4924698795180723,592,8,1729841207,100,5.0,0.25,10,cpd
student_dropout,3,4,,,,0.7349397590361446,592,25,3653141251,100,5.0,0.25,10,cpd
student_dropout,3,4,,,,0.6792168674698795,592,18,826749499,100,5.0,0.25,10,cpd
student_dropout,3,4,,,,0.7093373493975904,592,17,1399498030,100,5.0,0.25,10,cpd
student_dropout,3,4,,,,0.6746987951807228,592,18,358916519,100,5.0,0.25,10,cpd
student_dropout,3,4,,,,0.7153614457831325,592,18,328531638,100,5.0,0.25,10,cpd
student_dropout,3,4,,,,0.7228915662650602,592,23,787755760,100,5.0,0.25,10,cpd
student_dropout,3,4,,,,0.7198795180722891,592,22,4192420569,100,5.0,0.25,10,cpd
student_dropout,3,8,,,,0.7213855421686747,1184,16,2582264110,100,5.0,0.25,10,cpd
student_dropout,3,8,,,,0.6762048192771084,1184,10,1011906602,100,5.0,0.25,10,cpd
student_dropout,3,8,,,,0.7274096385542169,1184,18,1729841207,100,5.0,0.25,10,cpd
student_dropout,3,8,,,,0.7259036144578314,1184,17,3653141251,100,5.0,0.25,10,cpd
student_dropout,3,8,,,,0.7289156626506024,1184,16,826749499,100,5.0,0.25,10,cpd
student_dropout,3,8,,,,0.7108433734939759,1184,15,1399498030,100,5.0,0.25,10,cpd
student_dropout,3,8,,,,0.6822289156626506,1184,13,358916519,100,5.0,0.25,10,cpd
student_dropout,3,8,,,,0.7319277108433735,1184,18,328531638,100,5.0,0.25,10,cpd
student_dropout,3,8,,,,0.7409638554216867,1184,17,787755760,100,5.0,0.25,10,cpd
student_dropout,3,8,,,,0.7259036144578314,1184,17,4192420569,100,5.0,0.25,10,cpd
student_dropout,3,12,,,,0.7259036144578314,1776,16,2582264110,100,5.0,0.25,10,cpd
student_dropout,3,12,,,,0.733433734939759,1776,15,1011906602,100,5.0,0.25,10,cpd
student_dropout,3,12,,,,0.733433734939759,1776,15,1729841207,100,5.0,0.25,10,cpd
student_dropout,3,12,,,,0.7364457831325302,1776,15,3653141251,100,5.0,0.25,10,cpd
