dataset,num_channels,num_layers,val_rmse,val_r2,val_accuracy,num_params,seed,model_type,early_stopping
student_dropout,16,1,,,0.7515060240963856,675,42,mlp,37
student_dropout,16,1,,,0.7575301204819277,675,43,mlp,37
student_dropout,16,1,,,0.7515060240963856,675,44,mlp,37
student_dropout,16,1,,,0.7349397590361446,675,45,mlp,37
student_dropout,16,1,,,0.7635542168674698,675,46,mlp,37
student_dropout,64,1,,,0.7469879518072289,2691,42,mlp,37
student_dropout,64,1,,,0.7484939759036144,2691,43,mlp,37
student_dropout,64,1,,,0.7394578313253012,2691,44,mlp,37
student_dropout,64,1,,,0.7590361445783133,2691,45,mlp,37
student_dropout,64,1,,,0.7545180722891566,2691,46,mlp,37
student_dropout,256,1,,,0.7515060240963856,10755,42,mlp,37
student_dropout,256,1,,,0.7530120481927711,10755,43,mlp,37
student_dropout,256,1,,,0.7469879518072289,10755,44,mlp,37
student_dropout,256,1,,,0.7605421686746988,10755,45,mlp,37
student_dropout,256,1,,,0.7394578313253012,10755,46,mlp,37
student_dropout,16,3,,,0.7243975903614458,1283,42,mlp,37
student_dropout,16,3,,,0.7213855421686747,1283,43,mlp,37
student_dropout,16,3,,,0.7259036144578314,1283,44,mlp,37
student_dropout,16,3,,,0.7228915662650602,1283,45,mlp,37
student_dropout,16,3,,,0.7409638554216867,1283,46,mlp,37
student_dropout,64,3,,,0.7033132530120482,11267,42,mlp,37
student_dropout,64,3,,,0.7018072289156626,11267,43,mlp,37
student_dropout,64,3,,,0.7153614457831325,11267,44,mlp,37
student_dropout,64,3,,,0.7183734939759037,11267,45,mlp,37
student_dropout,64,3,,,0.7063253012048193,11267,46,mlp,37
student_dropout,256,3,,,0.7469879518072289,143363,42,mlp,37
student_dropout,256,3,,,0.6792168674698795,143363,43,mlp,37
student_dropout,256,3,,,0.7274096385542169,143363,44,mlp,37
student_dropout,256,3,,,0.7259036144578314,143363,45,mlp,37
student_dropout,256,3,,,0.7108433734939759,143363,46,mlp,37
student_dropout,16,5,,,0.7409638554216867,1891,42,mlp,37
student_dropout,16,5,,,0.7198795180722891,1891,43,mlp,37
student_dropout,16,5,,,0.7259036144578314,1891,44,mlp,37
student_dropout,16,5,,,0.713855421686747,1891,45,mlp,37
student_dropout,16,5,,,0.7304216867469879,1891,46,mlp,37
student_dropout,64,5,,,0.7063253012048193,19843,42,mlp,37
student_dropout,64,5,,,0.6626506024096386,19843,43,mlp,37
student_dropout,64,5,,,0.6987951807228916,19843,44,mlp,37
student_dropout,64,5,,,0.6852409638554217,19843,45,mlp,37
student_dropout,64,5,,,0.713855421686747,19843,46,mlp,37
student_dropout,256,5,,,0.7033132530120482,275971,42,mlp,37
student_dropout,256,5,,,0.6897590361445783,275971,43,mlp,37
student_dropout,256,5,,,0.7228915662650602,275971,44,mlp,37
student_dropout,256,5,,,0.7289156626506024,275971,45,mlp,37
student_dropout,256,5,,,0.7274096385542169,275971,46,mlp,37
