dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
student_dropout,2,4,0.25,,,0.7469879518072289,506,20,42,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,4,0.25,,,0.7605421686746988,506,23,43,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,4,0.25,,,0.7033132530120482,506,10,44,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,4,0.25,,,0.7469879518072289,506,24,45,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,4,0.25,,,0.7560240963855421,506,22,46,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,4,0.5,,,0.7530120481927711,506,23,42,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,4,0.5,,,0.7620481927710844,506,20,43,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,4,0.5,,,0.7078313253012049,506,11,44,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,4,0.5,,,0.7394578313253012,506,23,45,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,4,0.5,,,0.7484939759036144,506,25,46,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,4,0.75,,,0.7530120481927711,506,20,42,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,4,0.75,,,0.7545180722891566,506,23,43,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,4,0.75,,,0.75,506,19,44,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,4,0.75,,,0.7635542168674698,506,24,45,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,4,0.75,,,0.7575301204819277,506,29,46,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,8,0.25,,,0.75,938,23,42,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,8,0.25,,,0.7515060240963856,938,23,43,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,8,0.25,,,0.7078313253012049,938,13,44,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,8,0.25,,,0.7515060240963856,938,23,45,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,8,0.25,,,0.7530120481927711,938,23,46,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,8,0.5,,,0.75,938,19,42,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,8,0.5,,,0.7560240963855421,938,24,43,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,8,0.5,,,0.7048192771084337,938,11,44,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,8,0.5,,,0.7530120481927711,938,20,45,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,8,0.5,,,0.7605421686746988,938,19,46,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,8,0.75,,,0.7620481927710844,938,23,42,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,8,0.75,,,0.7183734939759037,938,12,43,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,8,0.75,,,0.7590361445783133,938,19,44,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,8,0.75,,,0.7695783132530121,938,23,45,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,8,0.75,,,0.7439759036144579,938,23,46,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,12,0.25,,,0.7469879518072289,1370,21,42,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,12,0.25,,,0.7530120481927711,1370,19,43,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,12,0.25,,,0.7349397590361446,1370,22,44,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,12,0.25,,,0.7454819277108434,1370,19,45,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,12,0.25,,,0.7469879518072289,1370,20,46,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,12,0.5,,,0.7469879518072289,1370,19,42,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,12,0.5,,,0.7379518072289156,1370,19,43,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,12,0.5,,,0.75,1370,19,44,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,12,0.5,,,0.7439759036144579,1370,19,45,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,12,0.5,,,0.7078313253012049,1370,12,46,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,12,0.75,,,0.7409638554216867,1370,19,42,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,12,0.75,,,0.7439759036144579,1370,19,43,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,12,0.75,,,0.7454819277108434,1370,20,44,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,12,0.75,,,0.7394578313253012,1370,21,45,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,12,0.75,,,0.7379518072289156,1370,22,46,100,5.0,0.25,10,tt_lin_type1
student_dropout,2,16,0.25,,,0.7409638554216867,1802,19,42,100,5.0,0.25,10,tt_lin_type1
