dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
student_perf,2,4,,2.3170100389730046,0.15767491471647943,,408,14,42,100,5.0,0.25,10,cpd
student_perf,2,4,,2.318435688405028,0.1566380355471192,,408,14,43,100,5.0,0.25,10,cpd
student_perf,2,4,,2.3155535409206283,0.1587335715383804,,408,14,44,100,5.0,0.25,10,cpd
student_perf,2,4,,2.317050248100733,0.15764567923605077,,408,14,45,100,5.0,0.25,10,cpd
student_perf,2,4,,2.321789248225592,0.15419646658763653,,408,14,46,100,5.0,0.25,10,cpd
student_perf,2,8,,2.3140469627066014,0.1598279287476656,,816,14,42,100,5.0,0.25,10,cpd
student_perf,2,8,,2.322892234338307,0.15339266310242528,,816,14,43,100,5.0,0.25,10,cpd
student_perf,2,8,,2.3220706392590746,0.15399143854474995,,816,14,44,100,5.0,0.25,10,cpd
student_perf,2,8,,2.3245215350315958,0.15220460826670024,,816,14,45,100,5.0,0.25,10,cpd
student_perf,2,8,,2.3222569527737202,0.1538556725182152,,816,14,46,100,5.0,0.25,10,cpd
student_perf,2,12,,2.3313555094507157,0.14721233033955838,,1224,13,42,100,5.0,0.25,10,cpd
student_perf,2,12,,2.3294911692716385,0.14857570079899018,,1224,13,43,100,5.0,0.25,10,cpd
student_perf,2,12,,2.302137996618693,0.16845336686784151,,1224,13,44,100,5.0,0.25,10,cpd
student_perf,2,12,,2.3211528813511912,0.15466004663864286,,1224,13,45,100,5.0,0.25,10,cpd
student_perf,2,12,,2.331467580946864,0.14713033899433758,,1224,14,46,100,5.0,0.25,10,cpd
student_perf,2,16,,2.298998713457994,0.17071967799682242,,1632,13,42,100,5.0,0.25,10,cpd
student_perf,2,16,,2.309455408769914,0.1631587757058095,,1632,13,43,100,5.0,0.25,10,cpd
student_perf,2,16,,2.323662827496418,0.15283086516514954,,1632,13,44,100,5.0,0.25,10,cpd
student_perf,2,16,,2.3114134745273796,0.16173914683859147,,1632,13,45,100,5.0,0.25,10,cpd
student_perf,2,16,,2.3197627771820812,0.15567226666493594,,1632,13,46,100,5.0,0.25,10,cpd
student_perf,2,64,,2.3354158109600616,0.1442393043312461,,6528,12,42,100,5.0,0.25,10,cpd
student_perf,2,64,,2.3232213157159594,0.15315277040375008,,6528,12,43,100,5.0,0.25,10,cpd
student_perf,2,64,,2.344127704527429,0.13784284040643802,,6528,12,44,100,5.0,0.25,10,cpd
student_perf,2,64,,2.313006101192984,0.16058357987454108,,6528,12,45,100,5.0,0.25,10,cpd
student_perf,2,64,,2.308997070649195,0.1634909043730638,,6528,12,46,100,5.0,0.25,10,cpd
student_perf,2,144,,2.3400754301524005,0.140821072006455,,14688,12,42,100,5.0,0.25,10,cpd
student_perf,2,144,,2.3314820541999066,0.1471197500958853,,14688,12,43,100,5.0,0.25,10,cpd
student_perf,2,144,,2.329925387848231,0.1482582591974062,,14688,12,44,100,5.0,0.25,10,cpd
student_perf,2,144,,2.3293122852299537,0.14870645928733495,,14688,12,45,100,5.0,0.25,10,cpd
student_perf,2,144,,2.327070745236357,0.15034410176047164,,14688,12,46,100,5.0,0.25,10,cpd
student_perf,2,256,,2.349964868495647,0.1335437414006162,,26112,12,42,100,5.0,0.25,10,cpd
student_perf,2,256,,2.346799464974594,0.13587640307619675,,26112,12,43,100,5.0,0.25,10,cpd
student_perf,2,256,,2.347718456308188,0.1351995002601759,,26112,12,44,100,5.0,0.25,10,cpd
student_perf,2,256,,2.359908139929832,0.12619585562989077,,26112,12,45,100,5.0,0.25,10,cpd
student_perf,2,256,,2.3467176773109424,0.13593663269497924,,26112,12,46,100,5.0,0.25,10,cpd
student_perf,3,4,,2.3329820472721963,0.14602197111287485,,612,17,42,100,5.0,0.25,10,cpd
student_perf,3,4,,2.3314441538803266,0.14714747852831755,,612,17,43,100,5.0,0.25,10,cpd
student_perf,3,4,,2.3537886765160003,0.130721692453713,,612,17,44,100,5.0,0.25,10,cpd
student_perf,3,4,,2.3395920998948,0.14117595311978848,,612,17,45,100,5.0,0.25,10,cpd
student_perf,3,4,,2.339590640744203,0.141177024377663,,612,17,46,100,5.0,0.25,10,cpd
student_perf,3,8,,2.32757080396783,0.1499789014312336,,1224,16,42,100,5.0,0.25,10,cpd
student_perf,3,8,,2.340269133384479,0.1406788264863228,,1224,16,43,100,5.0,0.25,10,cpd
student_perf,3,8,,2.3428808792312745,0.13875974734119845,,1224,16,44,100,5.0,0.25,10,cpd
student_perf,3,8,,2.3127606415554567,0.16076173065185706,,1224,16,45,100,5.0,0.25,10,cpd
student_perf,3,8,,2.306330093478818,0.16542218637757955,,1224,16,46,100,5.0,0.25,10,cpd
student_perf,3,12,,2.3424050092476434,0.13910957030213456,,1836,15,42,100,5.0,0.25,10,cpd
student_perf,3,12,,2.341848981449814,0.13951822909064726,,1836,17,43,100,5.0,0.25,10,cpd
student_perf,3,12,,2.3400145104444867,0.14086580581918895,,1836,15,44,100,5.0,0.25,10,cpd
student_perf,3,12,,2.3364652326555704,0.14347005749586084,,1836,15,45,100,5.0,0.25,10,cpd
student_perf,3,12,,2.3305746655106967,0.14778348524655704,,1836,16,46,100,5.0,0.25,10,cpd
student_perf,3,16,,2.3422585409671535,0.13921722819920213,,2448,15,42,100,5.0,0.25,10,cpd
student_perf,3,16,,2.3021228916761687,0.16846427883133996,,2448,15,43,100,5.0,0.25,10,cpd
student_perf,3,16,,2.3808205710879795,0.11064072969828953,,2448,15,44,100,5.0,0.25,10,cpd
student_perf,3,16,,2.362670818077079,0.12414878218840586,,2448,15,45,100,5.0,0.25,10,cpd
