dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
wine,2,4,,,,1.0,168,17,2582264110,100,5.0,0.25,10,cpd
wine,2,4,,,,1.0,168,14,1011906602,100,5.0,0.25,10,cpd
wine,2,4,,,,1.0,168,16,1729841207,100,5.0,0.25,10,cpd
wine,2,4,,,,0.9629629629629629,168,13,3653141251,100,5.0,0.25,10,cpd
wine,2,4,,,,0.9629629629629629,168,11,826749499,100,5.0,0.25,10,cpd
wine,2,4,,,,1.0,168,14,1399498030,100,5.0,0.25,10,cpd
wine,2,4,,,,1.0,168,16,358916519,100,5.0,0.25,10,cpd
wine,2,4,,,,1.0,168,16,328531638,100,5.0,0.25,10,cpd
wine,2,4,,,,1.0,168,16,787755760,100,5.0,0.25,10,cpd
wine,2,4,,,,0.9629629629629629,168,14,4192420569,100,5.0,0.25,10,cpd
wine,2,8,,,,1.0,336,16,2582264110,100,5.0,0.25,10,cpd
wine,2,8,,,,1.0,336,16,1011906602,100,5.0,0.25,10,cpd
wine,2,8,,,,1.0,336,16,1729841207,100,5.0,0.25,10,cpd
wine,2,8,,,,1.0,336,16,3653141251,100,5.0,0.25,10,cpd
wine,2,8,,,,1.0,336,16,826749499,100,5.0,0.25,10,cpd
wine,2,8,,,,1.0,336,14,1399498030,100,5.0,0.25,10,cpd
wine,2,8,,,,1.0,336,11,358916519,100,5.0,0.25,10,cpd
wine,2,8,,,,1.0,336,16,328531638,100,5.0,0.25,10,cpd
wine,2,8,,,,1.0,336,17,787755760,100,5.0,0.25,10,cpd
wine,2,8,,,,1.0,336,16,4192420569,100,5.0,0.25,10,cpd
wine,2,12,,,,1.0,504,16,2582264110,100,5.0,0.25,10,cpd
wine,2,12,,,,1.0,504,16,1011906602,100,5.0,0.25,10,cpd
wine,2,12,,,,1.0,504,16,1729841207,100,5.0,0.25,10,cpd
wine,2,12,,,,1.0,504,11,3653141251,100,5.0,0.25,10,cpd
wine,2,12,,,,1.0,504,18,826749499,100,5.0,0.25,10,cpd
wine,2,12,,,,1.0,504,11,1399498030,100,5.0,0.25,10,cpd
wine,2,12,,,,1.0,504,16,358916519,100,5.0,0.25,10,cpd
wine,2,12,,,,1.0,504,16,328531638,100,5.0,0.25,10,cpd
wine,2,12,,,,1.0,504,16,787755760,100,5.0,0.25,10,cpd
wine,2,12,,,,1.0,504,11,4192420569,100,5.0,0.25,10,cpd
wine,2,16,,,,1.0,672,11,2582264110,100,5.0,0.25,10,cpd
wine,2,16,,,,1.0,672,16,1011906602,100,5.0,0.25,10,cpd
wine,2,16,,,,1.0,672,11,1729841207,100,5.0,0.25,10,cpd
wine,2,16,,,,1.0,672,11,3653141251,100,5.0,0.25,10,cpd
wine,2,16,,,,1.0,672,16,826749499,100,5.0,0.25,10,cpd
wine,2,16,,,,1.0,672,11,1399498030,100,5.0,0.25,10,cpd
wine,2,16,,,,1.0,672,11,358916519,100,5.0,0.25,10,cpd
wine,2,16,,,,1.0,672,16,328531638,100,5.0,0.25,10,cpd
wine,2,16,,,,1.0,672,16,787755760,100,5.0,0.25,10,cpd
wine,2,16,,,,1.0,672,11,4192420569,100,5.0,0.25,10,cpd
wine,2,64,,,,1.0,2688,11,2582264110,100,5.0,0.25,10,cpd
wine,2,64,,,,1.0,2688,11,1011906602,100,5.0,0.25,10,cpd
wine,2,64,,,,1.0,2688,11,1729841207,100,5.0,0.25,10,cpd
wine,2,64,,,,1.0,2688,11,3653141251,100,5.0,0.25,10,cpd
wine,2,64,,,,1.0,2688,14,826749499,100,5.0,0.25,10,cpd
wine,2,64,,,,1.0,2688,11,1399498030,100,5.0,0.25,10,cpd
wine,2,64,,,,1.0,2688,11,358916519,100,5.0,0.25,10,cpd
wine,2,64,,,,1.0,2688,11,328531638,100,5.0,0.25,10,cpd
wine,2,64,,,,1.0,2688,11,787755760,100,5.0,0.25,10,cpd
wine,2,64,,,,1.0,2688,11,4192420569,100,5.0,0.25,10,cpd
wine,2,144,,,,1.0,6048,13,2582264110,100,5.0,0.25,10,cpd
wine,2,144,,,,1.0,6048,14,1011906602,100,5.0,0.25,10,cpd
wine,2,144,,,,1.0,6048,13,1729841207,100,5.0,0.25,10,cpd
wine,2,144,,,,1.0,6048,11,3653141251,100,5.0,0.25,10,cpd
wine,2,144,,,,1.0,6048,14,826749499,100,5.0,0.25,10,cpd
wine,2,144,,,,1.0,6048,13,1399498030,100,5.0,0.25,10,cpd
wine,2,144,,,,1.0,6048,11,358916519,100,5.0,0.25,10,cpd
wine,2,144,,,,1.0,6048,11,328531638,100,5.0,0.25,10,cpd
wine,2,144,,,,1.0,6048,13,787755760,100,5.0,0.25,10,cpd
wine,2,144,,,,1.0,6048,13,4192420569,100,5.0,0.25,10,cpd
wine,2,256,,,,1.0,10752,13,2582264110,100,5.0,0.25,10,cpd
wine,2,256,,,,1.0,10752,13,1011906602,100,5.0,0.25,10,cpd
wine,2,256,,,,1.0,10752,14,1729841207,100,5.0,0.25,10,cpd
wine,2,256,,,,1.0,10752,13,3653141251,100,5.0,0.25,10,cpd
wine,2,256,,,,1.0,10752,13,826749499,100,5.0,0.25,10,cpd
wine,2,256,,,,1.0,10752,13,1399498030,100,5.0,0.25,10,cpd
wine,2,256,,,,1.0,10752,13,358916519,100,5.0,0.25,10,cpd
wine,2,256,,,,1.0,10752,13,328531638,100,5.0,0.25,10,cpd
wine,2,256,,,,1.0,10752,14,787755760,100,5.0,0.25,10,cpd
wine,2,256,,,,1.0,10752,13,4192420569,100,5.0,0.25,10,cpd
wine,3,4,,,,1.0,224,20,2582264110,100,5.0,0.25,10,cpd
wine,3,4,,,,0.9629629629629629,224,19,1011906602,100,5.0,0.25,10,cpd
wine,3,4,,,,1.0,224,21,1729841207,100,5.0,0.25,10,cpd
wine,3,4,,,,1.0,224,21,3653141251,100,5.0,0.25,10,cpd
wine,3,4,,,,0.9259259259259259,224,15,826749499,100,5.0,0.25,10,cpd
wine,3,4,,,,0.9629629629629629,224,18,1399498030,100,5.0,0.25,10,cpd
wine,3,4,,,,1.0,224,21,358916519,100,5.0,0.25,10,cpd
wine,3,4,,,,0.8888888888888888,224,15,328531638,100,5.0,0.25,10,cpd
wine,3,4,,,,0.9629629629629629,224,13,787755760,100,5.0,0.25,10,cpd
wine,3,4,,,,0.9259259259259259,224,15,4192420569,100,5.0,0.25,10,cpd
wine,3,8,,,,1.0,448,20,2582264110,100,5.0,0.25,10,cpd
wine,3,8,,,,1.0,448,15,1011906602,100,5.0,0.25,10,cpd
wine,3,8,,,,0.9259259259259259,448,11,1729841207,100,5.0,0.25,10,cpd
wine,3,8,,,,1.0,448,20,3653141251,100,5.0,0.25,10,cpd
wine,3,8,,,,1.0,448,21,826749499,100,5.0,0.25,10,cpd
wine,3,8,,,,1.0,448,23,1399498030,100,5.0,0.25,10,cpd
wine,3,8,,,,1.0,448,18,358916519,100,5.0,0.25,10,cpd
wine,3,8,,,,1.0,448,18,328531638,100,5.0,0.25,10,cpd
wine,3,8,,,,1.0,448,19,787755760,100,5.0,0.25,10,cpd
wine,3,8,,,,1.0,448,21,4192420569,100,5.0,0.25,10,cpd
wine,3,12,,,,1.0,672,17,2582264110,100,5.0,0.25,10,cpd
wine,3,12,,,,1.0,672,18,1011906602,100,5.0,0.25,10,cpd
wine,3,12,,,,1.0,672,17,1729841207,100,5.0,0.25,10,cpd
wine,3,12,,,,1.0,672,16,3653141251,100,5.0,0.25,10,cpd
wine,3,12,,,,1.0,672,18,826749499,100,5.0,0.25,10,cpd
wine,3,12,,,,1.0,672,20,1399498030,100,5.0,0.25,10,cpd
wine,3,12,,,,1.0,672,14,358916519,100,5.0,0.25,10,cpd
wine,3,12,,,,1.0,672,17,328531638,100,5.0,0.25,10,cpd
wine,3,12,,,,1.0,672,19,787755760,100,5.0,0.25,10,cpd
wine,3,12,,,,0.9629629629629629,672,21,4192420569,100,5.0,0.25,10,cpd
wine,3,16,,,,1.0,896,17,2582264110,100,5.0,0.25,10,cpd
wine,3,16,,,,1.0,896,17,1011906602,100,5.0,0.25,10,cpd
wine,3,16,,,,1.0,896,11,1729841207,100,5.0,0.25,10,cpd
wine,3,16,,,,1.0,896,20,3653141251,100,5.0,0.25,10,cpd
wine,3,16,,,,1.0,896,11,826749499,100,5.0,0.25,10,cpd
wine,3,16,,,,1.0,896,11,1399498030,100,5.0,0.25,10,cpd
wine,3,16,,,,0.9629629629629629,896,17,358916519,100,5.0,0.25,10,cpd
wine,3,16,,,,1.0,896,11,328531638,100,5.0,0.25,10,cpd
wine,3,16,,,,1.0,896,17,787755760,100,5.0,0.25,10,cpd
wine,3,16,,,,1.0,896,17,4192420569,100,5.0,0.25,10,cpd
wine,3,64,,,,1.0,3584,11,2582264110,100,5.0,0.25,10,cpd
wine,3,64,,,,0.9629629629629629,3584,11,1011906602,100,5.0,0.25,10,cpd
wine,3,64,,,,1.0,3584,11,1729841207,100,5.0,0.25,10,cpd
wine,3,64,,,,1.0,3584,16,3653141251,100,5.0,0.25,10,cpd
wine,3,64,,,,1.0,3584,16,826749499,100,5.0,0.25,10,cpd
wine,3,64,,,,1.0,3584,15,1399498030,100,5.0,0.25,10,cpd
wine,3,64,,,,1.0,3584,16,358916519,100,5.0,0.25,10,cpd
wine,3,64,,,,1.0,3584,11,328531638,100,5.0,0.25,10,cpd
wine,3,64,,,,1.0,3584,11,787755760,100,5.0,0.25,10,cpd
wine,3,64,,,,1.0,3584,11,4192420569,100,5.0,0.25,10,cpd
wine,3,144,,,,1.0,8064,11,2582264110,100,5.0,0.25,10,cpd
wine,3,144,,,,1.0,8064,9,1011906602,100,5.0,0.25,10,cpd
wine,3,144,,,,1.0,8064,11,1729841207,100,5.0,0.25,10,cpd
wine,3,144,,,,1.0,8064,11,3653141251,100,5.0,0.25,10,cpd
wine,3,144,,,,1.0,8064,12,826749499,100,5.0,0.25,10,cpd
wine,3,144,,,,1.0,8064,11,1399498030,100,5.0,0.25,10,cpd
wine,3,144,,,,1.0,8064,11,358916519,100,5.0,0.25,10,cpd
wine,3,144,,,,1.0,8064,11,328531638,100,5.0,0.25,10,cpd
wine,3,144,,,,1.0,8064,11,787755760,100,5.0,0.25,10,cpd
