dataset,kernel_name,alpha,val_rmse,val_r2,val_accuracy,num_params,model_type
wine,RBF,1e-06,,,0.9629629629629629,,gp
wine,Matern25,1e-06,,,0.9629629629629629,,gp
wine,DotProduct,1e-06,,,0.9629629629629629,,gp
wine,RBF_plus_DotProduct,1e-06,,,0.9629629629629629,,gp
wine,RBF_ARD,1e-06,,,1.0,,gp
wine,Matern25_ARD,1e-06,,,1.0,,gp
wine,RBF_ARD_plus_DotProduct,1e-06,,,1.0,,gp
wine,RBF_WhiteKernel,1e-06,,,0.9629629629629629,,gp
wine,Matern25_WhiteKernel,1e-06,,,0.9629629629629629,,gp
wine,DotProduct_WhiteKernel,1e-06,,,0.9629629629629629,,gp
wine,RBF_plus_DotProduct_WhiteKernel,1e-06,,,0.9629629629629629,,gp
wine,RBF_ARD_WhiteKernel,1e-06,,,1.0,,gp
wine,Matern25_ARD_WhiteKernel,1e-06,,,1.0,,gp
wine,RBF_ARD_plus_DotProduct_WhiteKernel,1e-06,,,1.0,,gp
