dataset,num_channels,num_layers,val_rmse,val_r2,val_accuracy,num_params,seed,model_type,early_stopping
wine,16,1,,,0.9629629629629629,307,42,mlp,14
wine,16,1,,,0.5925925925925926,307,43,mlp,14
wine,16,1,,,0.9259259259259259,307,44,mlp,14
wine,16,1,,,0.9259259259259259,307,45,mlp,14
wine,16,1,,,0.5555555555555556,307,46,mlp,14
wine,64,1,,,0.8888888888888888,1219,42,mlp,14
wine,64,1,,,0.8518518518518519,1219,43,mlp,14
wine,64,1,,,0.8148148148148148,1219,44,mlp,14
wine,64,1,,,1.0,1219,45,mlp,14
wine,64,1,,,1.0,1219,46,mlp,14
wine,256,1,,,1.0,4867,42,mlp,14
wine,256,1,,,1.0,4867,43,mlp,14
wine,256,1,,,1.0,4867,44,mlp,14
wine,256,1,,,1.0,4867,45,mlp,14
wine,256,1,,,1.0,4867,46,mlp,14
wine,16,3,,,0.9629629629629629,915,42,mlp,14
wine,16,3,,,0.8518518518518519,915,43,mlp,14
wine,16,3,,,0.9259259259259259,915,44,mlp,14
wine,16,3,,,1.0,915,45,mlp,14
wine,16,3,,,0.9629629629629629,915,46,mlp,14
wine,64,3,,,0.9629629629629629,9795,42,mlp,14
wine,64,3,,,1.0,9795,43,mlp,14
wine,64,3,,,0.9629629629629629,9795,44,mlp,14
wine,64,3,,,1.0,9795,45,mlp,14
wine,64,3,,,0.9629629629629629,9795,46,mlp,14
wine,256,3,,,0.9629629629629629,137475,42,mlp,14
wine,256,3,,,1.0,137475,43,mlp,14
wine,256,3,,,1.0,137475,44,mlp,14
wine,256,3,,,1.0,137475,45,mlp,14
wine,256,3,,,1.0,137475,46,mlp,14
wine,16,5,,,0.9259259259259259,1523,42,mlp,14
wine,16,5,,,0.9259259259259259,1523,43,mlp,14
wine,16,5,,,0.9629629629629629,1523,44,mlp,14
wine,16,5,,,0.4074074074074074,1523,45,mlp,14
wine,16,5,,,0.5925925925925926,1523,46,mlp,14
wine,64,5,,,0.8888888888888888,18371,42,mlp,14
wine,64,5,,,0.9629629629629629,18371,43,mlp,14
wine,64,5,,,1.0,18371,44,mlp,14
wine,64,5,,,1.0,18371,45,mlp,14
wine,64,5,,,0.9629629629629629,18371,46,mlp,14
wine,256,5,,,0.9629629629629629,270083,42,mlp,14
wine,256,5,,,1.0,270083,43,mlp,14
wine,256,5,,,0.9629629629629629,270083,44,mlp,14
wine,256,5,,,1.0,270083,45,mlp,14
wine,256,5,,,1.0,270083,46,mlp,14
