dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
wine,1,4,,,,1.0,332,40,2582264110,100,5.0,0.25,14,tnml_polynomial
wine,1,4,,,,1.0,332,63,1011906602,100,5.0,0.25,14,tnml_polynomial
wine,1,4,,,,0.7777777777777778,332,26,1729841207,100,5.0,0.25,14,tnml_polynomial
wine,1,4,,,,0.9629629629629629,332,47,3653141251,100,5.0,0.25,14,tnml_polynomial
wine,1,4,,,,0.7407407407407407,332,22,826749499,100,5.0,0.25,14,tnml_polynomial
wine,1,4,,,,0.8518518518518519,332,23,1399498030,100,5.0,0.25,14,tnml_polynomial
wine,1,4,,,,0.7037037037037037,332,42,358916519,100,5.0,0.25,14,tnml_polynomial
wine,1,4,,,,0.9259259259259259,332,41,328531638,100,5.0,0.25,14,tnml_polynomial
wine,1,4,,,,1.0,332,51,787755760,100,5.0,0.25,14,tnml_polynomial
wine,1,4,,,,0.8888888888888888,332,34,4192420569,100,5.0,0.25,14,tnml_polynomial
wine,1,8,,,,0.9629629629629629,1068,42,2582264110,100,5.0,0.25,14,tnml_polynomial
wine,1,8,,,,0.9259259259259259,1068,27,1011906602,100,5.0,0.25,14,tnml_polynomial
wine,1,8,,,,0.7777777777777778,1068,23,1729841207,100,5.0,0.25,14,tnml_polynomial
wine,1,8,,,,0.9259259259259259,1068,40,3653141251,100,5.0,0.25,14,tnml_polynomial
wine,1,8,,,,0.9259259259259259,1068,35,826749499,100,5.0,0.25,14,tnml_polynomial
wine,1,8,,,,1.0,1068,32,1399498030,100,5.0,0.25,14,tnml_polynomial
wine,1,8,,,,0.9629629629629629,1068,48,358916519,100,5.0,0.25,14,tnml_polynomial
wine,1,8,,,,1.0,1068,45,328531638,100,5.0,0.25,14,tnml_polynomial
wine,1,8,,,,0.8888888888888888,1068,44,787755760,100,5.0,0.25,14,tnml_polynomial
wine,1,8,,,,0.9259259259259259,1068,43,4192420569,100,5.0,0.25,14,tnml_polynomial
wine,1,12,,,,0.9629629629629629,1996,25,2582264110,100,5.0,0.25,14,tnml_polynomial
wine,1,12,,,,1.0,1996,36,1011906602,100,5.0,0.25,14,tnml_polynomial
wine,1,12,,,,0.9629629629629629,1996,25,1729841207,100,5.0,0.25,14,tnml_polynomial
wine,1,12,,,,1.0,1996,34,3653141251,100,5.0,0.25,14,tnml_polynomial
wine,1,12,,,,0.9629629629629629,1996,39,826749499,100,5.0,0.25,14,tnml_polynomial
wine,1,12,,,,1.0,1996,26,1399498030,100,5.0,0.25,14,tnml_polynomial
wine,1,12,,,,1.0,1996,39,358916519,100,5.0,0.25,14,tnml_polynomial
wine,1,12,,,,0.9629629629629629,1996,46,328531638,100,5.0,0.25,14,tnml_polynomial
wine,1,12,,,,0.7777777777777778,1996,34,787755760,100,5.0,0.25,14,tnml_polynomial
wine,1,12,,,,0.8888888888888888,1996,43,4192420569,100,5.0,0.25,14,tnml_polynomial
wine,1,16,,,,1.0,3244,25,2582264110,100,5.0,0.25,14,tnml_polynomial
wine,1,16,,,,0.9629629629629629,3244,27,1011906602,100,5.0,0.25,14,tnml_polynomial
wine,1,16,,,,0.9629629629629629,3244,27,1729841207,100,5.0,0.25,14,tnml_polynomial
wine,1,16,,,,0.9629629629629629,3244,23,3653141251,100,5.0,0.25,14,tnml_polynomial
wine,1,16,,,,0.9629629629629629,3244,24,826749499,100,5.0,0.25,14,tnml_polynomial
wine,1,16,,,,1.0,3244,31,1399498030,100,5.0,0.25,14,tnml_polynomial
wine,1,16,,,,0.9259259259259259,3244,27,358916519,100,5.0,0.25,14,tnml_polynomial
wine,1,16,,,,0.8518518518518519,3244,44,328531638,100,5.0,0.25,14,tnml_polynomial
wine,1,16,,,,0.9629629629629629,3244,24,787755760,100,5.0,0.25,14,tnml_polynomial
wine,1,16,,,,0.9629629629629629,3244,27,4192420569,100,5.0,0.25,14,tnml_polynomial
wine,2,4,,,,0.8518518518518519,531,37,2582264110,100,5.0,0.25,14,tnml_polynomial
wine,2,4,,,,0.8888888888888888,531,35,1011906602,100,5.0,0.25,14,tnml_polynomial
wine,2,4,,,,0.7777777777777778,531,35,1729841207,100,5.0,0.25,14,tnml_polynomial
wine,2,4,,,,0.8148148148148148,531,32,3653141251,100,5.0,0.25,14,tnml_polynomial
wine,2,4,,,,0.9629629629629629,531,51,826749499,100,5.0,0.25,14,tnml_polynomial
wine,2,4,,,,0.7037037037037037,531,33,1399498030,100,5.0,0.25,14,tnml_polynomial
wine,2,4,,,,0.7407407407407407,531,31,358916519,100,5.0,0.25,14,tnml_polynomial
wine,2,4,,,,0.7407407407407407,531,36,328531638,100,5.0,0.25,14,tnml_polynomial
wine,2,4,,,,0.7777777777777778,531,25,787755760,100,5.0,0.25,14,tnml_polynomial
wine,2,4,,,,0.8888888888888888,531,32,4192420569,100,5.0,0.25,14,tnml_polynomial
wine,2,8,,,,1.0,1899,43,2582264110,100,5.0,0.25,14,tnml_polynomial
wine,2,8,,,,0.9629629629629629,1899,43,1011906602,100,5.0,0.25,14,tnml_polynomial
wine,2,8,,,,0.9629629629629629,1899,39,1729841207,100,5.0,0.25,14,tnml_polynomial
wine,2,8,,,,0.9629629629629629,1899,39,3653141251,100,5.0,0.25,14,tnml_polynomial
wine,2,8,,,,0.9629629629629629,1899,40,826749499,100,5.0,0.25,14,tnml_polynomial
wine,2,8,,,,1.0,1899,40,1399498030,100,5.0,0.25,14,tnml_polynomial
wine,2,8,,,,0.9629629629629629,1899,26,358916519,100,5.0,0.25,14,tnml_polynomial
wine,2,8,,,,0.9629629629629629,1899,40,328531638,100,5.0,0.25,14,tnml_polynomial
wine,2,8,,,,1.0,1899,46,787755760,100,5.0,0.25,14,tnml_polynomial
wine,2,8,,,,0.9259259259259259,1899,31,4192420569,100,5.0,0.25,14,tnml_polynomial
wine,2,12,,,,0.9259259259259259,3861,26,2582264110,100,5.0,0.25,14,tnml_polynomial
wine,2,12,,,,0.8518518518518519,3861,24,1011906602,100,5.0,0.25,14,tnml_polynomial
wine,2,12,,,,0.9629629629629629,3861,31,1729841207,100,5.0,0.25,14,tnml_polynomial
wine,2,12,,,,1.0,3861,41,3653141251,100,5.0,0.25,14,tnml_polynomial
wine,2,12,,,,0.9629629629629629,3861,35,826749499,100,5.0,0.25,14,tnml_polynomial
wine,2,12,,,,0.9629629629629629,3861,39,1399498030,100,5.0,0.25,14,tnml_polynomial
wine,2,12,,,,0.9629629629629629,3861,25,358916519,100,5.0,0.25,14,tnml_polynomial
wine,2,12,,,,0.9259259259259259,3861,24,328531638,100,5.0,0.25,14,tnml_polynomial
wine,2,12,,,,0.9259259259259259,3861,27,787755760,100,5.0,0.25,14,tnml_polynomial
wine,2,12,,,,0.8888888888888888,3861,23,4192420569,100,5.0,0.25,14,tnml_polynomial
wine,2,16,,,,1.0,6429,40,2582264110,100,5.0,0.25,14,tnml_polynomial
wine,2,16,,,,0.9629629629629629,6429,25,1011906602,100,5.0,0.25,14,tnml_polynomial
wine,2,16,,,,1.0,6429,52,1729841207,100,5.0,0.25,14,tnml_polynomial
wine,2,16,,,,0.9629629629629629,6429,39,3653141251,100,5.0,0.25,14,tnml_polynomial
wine,2,16,,,,0.9629629629629629,6429,32,826749499,100,5.0,0.25,14,tnml_polynomial
wine,2,16,,,,0.9629629629629629,6429,29,1399498030,100,5.0,0.25,14,tnml_polynomial
wine,2,16,,,,0.9629629629629629,6429,33,358916519,100,5.0,0.25,14,tnml_polynomial
wine,2,16,,,,0.9259259259259259,6429,26,328531638,100,5.0,0.25,14,tnml_polynomial
wine,2,16,,,,0.9629629629629629,6429,41,787755760,100,5.0,0.25,14,tnml_polynomial
wine,2,16,,,,1.0,6429,39,4192420569,100,5.0,0.25,14,tnml_polynomial
wine,3,4,,,,0.7777777777777778,752,16,2582264110,100,5.0,0.25,14,tnml_polynomial
wine,3,4,,,,0.7407407407407407,752,27,1011906602,100,5.0,0.25,14,tnml_polynomial
wine,3,4,,,,0.5185185185185185,752,16,1729841207,100,5.0,0.25,14,tnml_polynomial
wine,3,4,,,,0.7037037037037037,752,31,3653141251,100,5.0,0.25,14,tnml_polynomial
wine,3,4,,,,0.7037037037037037,752,35,826749499,100,5.0,0.25,14,tnml_polynomial
wine,3,4,,,,0.48148148148148145,752,15,1399498030,100,5.0,0.25,14,tnml_polynomial
wine,3,4,,,,0.6296296296296297,752,15,358916519,100,5.0,0.25,14,tnml_polynomial
wine,3,4,,,,0.5555555555555556,752,25,328531638,100,5.0,0.25,14,tnml_polynomial
wine,3,4,,,,0.7407407407407407,752,47,787755760,100,5.0,0.25,14,tnml_polynomial
wine,3,4,,,,0.7037037037037037,752,41,4192420569,100,5.0,0.25,14,tnml_polynomial
wine,3,8,,,,0.7037037037037037,2608,20,2582264110,100,5.0,0.25,14,tnml_polynomial
wine,3,8,,,,0.9259259259259259,2608,39,1011906602,100,5.0,0.25,14,tnml_polynomial
wine,3,8,,,,0.7037037037037037,2608,25,1729841207,100,5.0,0.25,14,tnml_polynomial
wine,3,8,,,,0.8888888888888888,2608,37,3653141251,100,5.0,0.25,14,tnml_polynomial
wine,3,8,,,,0.8888888888888888,2608,34,826749499,100,5.0,0.25,14,tnml_polynomial
wine,3,8,,,,0.9629629629629629,2608,35,1399498030,100,5.0,0.25,14,tnml_polynomial
wine,3,8,,,,0.8888888888888888,2608,47,358916519,100,5.0,0.25,14,tnml_polynomial
wine,3,8,,,,0.6296296296296297,2608,32,328531638,100,5.0,0.25,14,tnml_polynomial
wine,3,8,,,,0.8148148148148148,2608,30,787755760,100,5.0,0.25,14,tnml_polynomial
wine,3,8,,,,0.7037037037037037,2608,22,4192420569,100,5.0,0.25,14,tnml_polynomial
wine,3,12,,,,0.9259259259259259,5616,37,2582264110,100,5.0,0.25,14,tnml_polynomial
wine,3,12,,,,0.8518518518518519,5616,31,1011906602,100,5.0,0.25,14,tnml_polynomial
wine,3,12,,,,0.8518518518518519,5616,34,1729841207,100,5.0,0.25,14,tnml_polynomial
wine,3,12,,,,1.0,5616,53,3653141251,100,5.0,0.25,14,tnml_polynomial
wine,3,12,,,,1.0,5616,39,826749499,100,5.0,0.25,14,tnml_polynomial
wine,3,12,,,,0.6296296296296297,5616,15,1399498030,100,5.0,0.25,14,tnml_polynomial
wine,3,12,,,,0.8888888888888888,5616,33,358916519,100,5.0,0.25,14,tnml_polynomial
wine,3,12,,,,0.7777777777777778,5616,27,328531638,100,5.0,0.25,14,tnml_polynomial
wine,3,12,,,,0.9259259259259259,5616,43,787755760,100,5.0,0.25,14,tnml_polynomial
wine,3,12,,,,0.7037037037037037,5616,33,4192420569,100,5.0,0.25,14,tnml_polynomial
wine,3,16,,,,1.0,9776,42,2582264110,100,5.0,0.25,14,tnml_polynomial
wine,3,16,,,,1.0,9776,46,1011906602,100,5.0,0.25,14,tnml_polynomial
wine,3,16,,,,0.8888888888888888,9776,37,1729841207,100,5.0,0.25,14,tnml_polynomial
wine,3,16,,,,1.0,9776,36,3653141251,100,5.0,0.25,14,tnml_polynomial
wine,3,16,,,,0.9259259259259259,9776,35,826749499,100,5.0,0.25,14,tnml_polynomial
wine,3,16,,,,0.9259259259259259,9776,28,1399498030,100,5.0,0.25,14,tnml_polynomial
wine,3,16,,,,0.9259259259259259,9776,35,358916519,100,5.0,0.25,14,tnml_polynomial
wine,3,16,,,,0.9629629629629629,9776,37,328531638,100,5.0,0.25,14,tnml_polynomial
wine,3,16,,,,0.8888888888888888,9776,37,787755760,100,5.0,0.25,14,tnml_polynomial
wine,3,16,,,,0.7777777777777778,9776,28,4192420569,100,5.0,0.25,14,tnml_polynomial
wine,4,4,,,,0.7777777777777778,940,34,2582264110,100,5.0,0.25,14,tnml_polynomial
wine,4,4,,,,0.6296296296296297,940,23,1011906602,100,5.0,0.25,14,tnml_polynomial
wine,4,4,,,,0.7037037037037037,940,31,1729841207,100,5.0,0.25,14,tnml_polynomial
wine,4,4,,,,0.7407407407407407,940,45,3653141251,100,5.0,0.25,14,tnml_polynomial
