dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
wine,3,8,,,,1.0,1232,11,2582264110,100,5.0,0.25,10,tt_cumsum
wine,3,8,,,,1.0,1232,11,1011906602,100,5.0,0.25,10,tt_cumsum
wine,3,8,,,,1.0,1232,16,1729841207,100,5.0,0.25,10,tt_cumsum
wine,3,8,,,,1.0,1232,14,3653141251,100,5.0,0.25,10,tt_cumsum
wine,3,8,,,,1.0,1232,16,826749499,100,5.0,0.25,10,tt_cumsum
wine,3,8,,,,1.0,1232,16,1399498030,100,5.0,0.25,10,tt_cumsum
wine,3,8,,,,1.0,1232,14,358916519,100,5.0,0.25,10,tt_cumsum
wine,3,8,,,,1.0,1232,16,328531638,100,5.0,0.25,10,tt_cumsum
wine,3,8,,,,0.9629629629629629,1232,12,787755760,100,5.0,0.25,10,tt_cumsum
wine,3,8,,,,1.0,1232,11,4192420569,100,5.0,0.25,10,tt_cumsum
wine,3,12,,,,1.0,2520,16,2582264110,100,5.0,0.25,10,tt_cumsum
wine,3,12,,,,1.0,2520,16,1011906602,100,5.0,0.25,10,tt_cumsum
wine,3,12,,,,1.0,2520,16,1729841207,100,5.0,0.25,10,tt_cumsum
wine,3,12,,,,1.0,2520,14,3653141251,100,5.0,0.25,10,tt_cumsum
wine,3,12,,,,1.0,2520,15,826749499,100,5.0,0.25,10,tt_cumsum
wine,3,12,,,,1.0,2520,14,1399498030,100,5.0,0.25,10,tt_cumsum
wine,3,12,,,,1.0,2520,16,358916519,100,5.0,0.25,10,tt_cumsum
wine,3,12,,,,1.0,2520,14,328531638,100,5.0,0.25,10,tt_cumsum
wine,3,12,,,,1.0,2520,17,787755760,100,5.0,0.25,10,tt_cumsum
wine,3,12,,,,1.0,2520,12,4192420569,100,5.0,0.25,10,tt_cumsum
wine,3,16,,,,1.0,4256,15,2582264110,100,5.0,0.25,10,tt_cumsum
wine,3,16,,,,1.0,4256,12,1011906602,100,5.0,0.25,10,tt_cumsum
wine,3,16,,,,1.0,4256,12,1729841207,100,5.0,0.25,10,tt_cumsum
wine,3,16,,,,1.0,4256,12,3653141251,100,5.0,0.25,10,tt_cumsum
wine,3,16,,,,1.0,4256,14,826749499,100,5.0,0.25,10,tt_cumsum
wine,3,16,,,,1.0,4256,11,1399498030,100,5.0,0.25,10,tt_cumsum
wine,3,16,,,,1.0,4256,11,358916519,100,5.0,0.25,10,tt_cumsum
wine,3,16,,,,1.0,4256,14,328531638,100,5.0,0.25,10,tt_cumsum
wine,3,16,,,,1.0,4256,12,787755760,100,5.0,0.25,10,tt_cumsum
wine,3,16,,,,1.0,4256,14,4192420569,100,5.0,0.25,10,tt_cumsum
wine,4,8,,,,1.0,2128,16,2582264110,100,5.0,0.25,10,tt_cumsum
wine,4,8,,,,1.0,2128,14,1011906602,100,5.0,0.25,10,tt_cumsum
wine,4,8,,,,1.0,2128,15,1729841207,100,5.0,0.25,10,tt_cumsum
wine,4,8,,,,1.0,2128,12,3653141251,100,5.0,0.25,10,tt_cumsum
wine,4,8,,,,1.0,2128,13,826749499,100,5.0,0.25,10,tt_cumsum
wine,4,8,,,,1.0,2128,15,1399498030,100,5.0,0.25,10,tt_cumsum
wine,4,8,,,,1.0,2128,12,358916519,100,5.0,0.25,10,tt_cumsum
wine,4,8,,,,1.0,2128,16,328531638,100,5.0,0.25,10,tt_cumsum
wine,4,8,,,,1.0,2128,13,787755760,100,5.0,0.25,10,tt_cumsum
wine,4,8,,,,1.0,2128,22,4192420569,100,5.0,0.25,10,tt_cumsum
wine,4,12,,,,1.0,4536,12,2582264110,100,5.0,0.25,10,tt_cumsum
wine,4,12,,,,1.0,4536,13,1011906602,100,5.0,0.25,10,tt_cumsum
wine,4,12,,,,1.0,4536,11,1729841207,100,5.0,0.25,10,tt_cumsum
wine,4,12,,,,1.0,4536,15,3653141251,100,5.0,0.25,10,tt_cumsum
wine,4,12,,,,1.0,4536,12,826749499,100,5.0,0.25,10,tt_cumsum
wine,4,12,,,,1.0,4536,13,1399498030,100,5.0,0.25,10,tt_cumsum
wine,4,12,,,,1.0,4536,17,358916519,100,5.0,0.25,10,tt_cumsum
wine,4,12,,,,1.0,4536,12,328531638,100,5.0,0.25,10,tt_cumsum
wine,4,12,,,,1.0,4536,13,787755760,100,5.0,0.25,10,tt_cumsum
wine,4,12,,,,1.0,4536,15,4192420569,100,5.0,0.25,10,tt_cumsum
wine,4,16,,,,1.0,7840,13,2582264110,100,5.0,0.25,10,tt_cumsum
wine,4,16,,,,1.0,7840,12,1011906602,100,5.0,0.25,10,tt_cumsum
wine,4,16,,,,1.0,7840,12,1729841207,100,5.0,0.25,10,tt_cumsum
wine,4,16,,,,1.0,7840,12,3653141251,100,5.0,0.25,10,tt_cumsum
wine,4,16,,,,1.0,7840,12,826749499,100,5.0,0.25,10,tt_cumsum
wine,4,16,,,,1.0,7840,13,1399498030,100,5.0,0.25,10,tt_cumsum
wine,4,16,,,,1.0,7840,12,358916519,100,5.0,0.25,10,tt_cumsum
wine,4,16,,,,1.0,7840,12,328531638,100,5.0,0.25,10,tt_cumsum
wine,4,16,,,,1.0,7840,13,787755760,100,5.0,0.25,10,tt_cumsum
wine,4,16,,,,1.0,7840,11,4192420569,100,5.0,0.25,10,tt_cumsum
