dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
wine,3,8,,,,1.0,1484,12,2582264110,100,5.0,0.25,10,tt_cumsum_type1
wine,3,8,,,,1.0,1484,12,1011906602,100,5.0,0.25,10,tt_cumsum_type1
wine,3,8,,,,1.0,1484,14,1729841207,100,5.0,0.25,10,tt_cumsum_type1
wine,3,8,,,,1.0,1484,12,3653141251,100,5.0,0.25,10,tt_cumsum_type1
wine,3,8,,,,1.0,1484,12,826749499,100,5.0,0.25,10,tt_cumsum_type1
wine,3,8,,,,1.0,1484,11,1399498030,100,5.0,0.25,10,tt_cumsum_type1
wine,3,8,,,,1.0,1484,12,358916519,100,5.0,0.25,10,tt_cumsum_type1
wine,3,8,,,,1.0,1484,12,328531638,100,5.0,0.25,10,tt_cumsum_type1
wine,3,8,,,,1.0,1484,12,787755760,100,5.0,0.25,10,tt_cumsum_type1
wine,3,8,,,,1.0,1484,12,4192420569,100,5.0,0.25,10,tt_cumsum_type1
wine,3,12,,,,1.0,2836,13,2582264110,100,5.0,0.25,10,tt_cumsum_type1
wine,3,12,,,,1.0,2836,12,1011906602,100,5.0,0.25,10,tt_cumsum_type1
wine,3,12,,,,1.0,2836,22,1729841207,100,5.0,0.25,10,tt_cumsum_type1
wine,3,12,,,,1.0,2836,12,3653141251,100,5.0,0.25,10,tt_cumsum_type1
wine,3,12,,,,1.0,2836,12,826749499,100,5.0,0.25,10,tt_cumsum_type1
wine,3,12,,,,1.0,2836,12,1399498030,100,5.0,0.25,10,tt_cumsum_type1
wine,3,12,,,,1.0,2836,12,358916519,100,5.0,0.25,10,tt_cumsum_type1
wine,3,12,,,,1.0,2836,12,328531638,100,5.0,0.25,10,tt_cumsum_type1
wine,3,12,,,,1.0,2836,14,787755760,100,5.0,0.25,10,tt_cumsum_type1
wine,3,12,,,,1.0,2836,11,4192420569,100,5.0,0.25,10,tt_cumsum_type1
wine,3,16,,,,1.0,4604,12,2582264110,100,5.0,0.25,10,tt_cumsum_type1
wine,3,16,,,,1.0,4604,12,1011906602,100,5.0,0.25,10,tt_cumsum_type1
wine,3,16,,,,1.0,4604,12,1729841207,100,5.0,0.25,10,tt_cumsum_type1
wine,3,16,,,,1.0,4604,12,3653141251,100,5.0,0.25,10,tt_cumsum_type1
wine,3,16,,,,1.0,4604,14,826749499,100,5.0,0.25,10,tt_cumsum_type1
wine,3,16,,,,1.0,4604,12,1399498030,100,5.0,0.25,10,tt_cumsum_type1
wine,3,16,,,,1.0,4604,12,358916519,100,5.0,0.25,10,tt_cumsum_type1
wine,3,16,,,,1.0,4604,11,328531638,100,5.0,0.25,10,tt_cumsum_type1
wine,3,16,,,,1.0,4604,12,787755760,100,5.0,0.25,10,tt_cumsum_type1
wine,3,16,,,,1.0,4604,12,4192420569,100,5.0,0.25,10,tt_cumsum_type1
wine,4,8,,,,1.0,3460,12,2582264110,100,5.0,0.25,10,tt_cumsum_type1
wine,4,8,,,,1.0,3460,12,1011906602,100,5.0,0.25,10,tt_cumsum_type1
wine,4,8,,,,1.0,3460,14,1729841207,100,5.0,0.25,10,tt_cumsum_type1
wine,4,8,,,,1.0,3460,12,3653141251,100,5.0,0.25,10,tt_cumsum_type1
wine,4,8,,,,1.0,3460,12,826749499,100,5.0,0.25,10,tt_cumsum_type1
wine,4,8,,,,1.0,3460,11,1399498030,100,5.0,0.25,10,tt_cumsum_type1
wine,4,8,,,,1.0,3460,12,358916519,100,5.0,0.25,10,tt_cumsum_type1
wine,4,8,,,,1.0,3460,12,328531638,100,5.0,0.25,10,tt_cumsum_type1
wine,4,8,,,,1.0,3460,12,787755760,100,5.0,0.25,10,tt_cumsum_type1
wine,4,8,,,,1.0,3460,12,4192420569,100,5.0,0.25,10,tt_cumsum_type1
wine,4,12,,,,1.0,7048,13,2582264110,100,5.0,0.25,10,tt_cumsum_type1
wine,4,12,,,,1.0,7048,12,1011906602,100,5.0,0.25,10,tt_cumsum_type1
wine,4,12,,,,1.0,7048,18,1729841207,100,5.0,0.25,10,tt_cumsum_type1
wine,4,12,,,,1.0,7048,12,3653141251,100,5.0,0.25,10,tt_cumsum_type1
wine,4,12,,,,1.0,7048,12,826749499,100,5.0,0.25,10,tt_cumsum_type1
wine,4,12,,,,1.0,7048,12,1399498030,100,5.0,0.25,10,tt_cumsum_type1
wine,4,12,,,,1.0,7048,12,358916519,100,5.0,0.25,10,tt_cumsum_type1
wine,4,12,,,,1.0,7048,12,328531638,100,5.0,0.25,10,tt_cumsum_type1
wine,4,12,,,,1.0,7048,14,787755760,100,5.0,0.25,10,tt_cumsum_type1
wine,4,12,,,,1.0,7048,11,4192420569,100,5.0,0.25,10,tt_cumsum_type1
wine,4,16,,,,1.0,11884,12,2582264110,100,5.0,0.25,10,tt_cumsum_type1
wine,4,16,,,,1.0,11884,12,1011906602,100,5.0,0.25,10,tt_cumsum_type1
wine,4,16,,,,1.0,11884,12,1729841207,100,5.0,0.25,10,tt_cumsum_type1
wine,4,16,,,,1.0,11884,12,3653141251,100,5.0,0.25,10,tt_cumsum_type1
wine,4,16,,,,1.0,11884,14,826749499,100,5.0,0.25,10,tt_cumsum_type1
wine,4,16,,,,1.0,11884,12,1399498030,100,5.0,0.25,10,tt_cumsum_type1
wine,4,16,,,,1.0,11884,12,358916519,100,5.0,0.25,10,tt_cumsum_type1
wine,4,16,,,,1.0,11884,11,328531638,100,5.0,0.25,10,tt_cumsum_type1
wine,4,16,,,,1.0,11884,12,787755760,100,5.0,0.25,10,tt_cumsum_type1
wine,4,16,,,,1.0,11884,12,4192420569,100,5.0,0.25,10,tt_cumsum_type1
